#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T00:42:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T00:42:31	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/843/16/table2&-out=PGC1,Nm,logK,Dist,sigmaV,R2t,Rg,logMK,logMd&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18430016
#Name: J/ApJ/843/16
#Title: Galaxy groups within 3500km/s (Kourkchi+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	creator=Kourkchi E.	    First author or institution
#INFO	cites=bibcode:2017ApJ...843...16K	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/843/16	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18430016	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_843_16_table2:
#Name: J/ApJ/843/16/table2
#Title: Catalog of galaxy groups
#Column	PGC1	(I7)	[35/9002824] Group Principal Galaxies Catalog ID (1)	[ucd=meta.id]
#Column	Nm	(I3)	[1/714] Number of galaxies in the group	[ucd=meta.number]
#Column	logK	(F5.2)	[1.7/13]? log Ks band absolute luminosity of group	[ucd=phys.luminosity;em.IR]
#Column	Dist	(F5.2)	[0.01/94.2]? Distance of group (G2)	[ucd=pos.distance;pos.heliocentric]
#Column	sigmaV	(I3)	[0/800] Group line-of-sight velocity dispersion (6)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F6.3)	[0.003/1.7] Second turnaround radius of group from luminosity (7)	[ucd=phys.size.radius;pos.lg]
#Column	Rg	(F6.3)	[0.001/8.3]? Projected virial radius of group (8)	[ucd=phys.size.radius]
#Column	logMK	(F6.3)	[6.5/15] log of group mass from luminosity (9)	[ucd=phys.mass]
#Column	logMd	(F6.3)	[2.5/15]? log of group dynamic mass (10)	[ucd=phys.mass]
PGC1	Nm	logK	Dist	sigmaV	R2t	Rg	logMK	logMd
  24225	  2	10.19	     	 14	 0.183	 0.053	11.789	 9.967
 943600	  1	10.19	     	  0	 0.183	      	11.788	
  54930	  1	10.18	     	  0	 0.183	      	11.787	
  16426	  1	10.19	     	  0	 0.183	      	11.788	
  29745	  2	10.18	     	 15	 0.183	 0.164	11.788	10.509
  28328	  2	10.13	45.08	 39	 0.177	 0.295	11.744	11.603
  35758	  1	 9.86	     	  0	 0.150	      	11.530	
  35788	  1	 9.72	     	  0	 0.139	      	11.430	
  23658	  1	 9.80	     	  0	 0.145	      	11.491	
  23723	  1	 9.78	     	  0	 0.144	      	11.476	
  27879	  1	10.18	     	  0	 0.182	      	11.780	
  48093	  2	10.28	27.16	 18	 0.195	 0.222	11.870	10.832
   6145	  1	10.18	     	  0	 0.182	      	11.782	
   3572	  1	10.33	19.23	  0	 0.202	      	11.918	
   2436	  1	10.18	     	  0	 0.182	      	11.780	
  40318	  1	10.17	     	  0	 0.181	      	11.779	
  19606	  1	10.18	     	  0	 0.182	      	11.781	
   7530	  1	10.18	     	  0	 0.182	      	11.780	
  46688	  2	10.17	     	 24	 0.181	 0.019	11.778	 9.979
   9485	  1	10.17	     	  0	 0.181	      	11.778	
 146649	  1	 9.94	     	  0	 0.157	      	11.591	
  16320	  2	 9.55	     	 42	 0.128	 0.033	11.320	10.711
    474	  4	10.09	     	 56	 0.172	 0.079	11.709	11.348
    800	  1	 8.85	     	  0	 0.094	      	10.928	
  51995	  1	10.17	     	  0	 0.181	      	11.775	
  39728	  1	10.17	     	  0	 0.181	      	11.776	
  30087	  2	10.08	     	319	 0.171	 0.036	11.701	12.529
  33097	  1	 9.99	     	  0	 0.162	      	11.629	
3394423	  1	 9.88	     	  0	 0.152	      	11.548	
  57181	  1	 9.76	71.12	  0	 0.142	      	11.462	
  91071	  1	 9.39	     	  0	 0.118	      	11.223	
  39697	  1	 9.24	25.82	  0	 0.111	      	11.134	
  39730	  2	 8.86	     	 18	 0.095	 0.087	10.935	10.403
  29186	  1	 8.65	 7.66	  0	 0.088	      	10.833	
  29431	  1	 7.94	     	  0	 0.067	      	10.474	
4002041	  1	 7.91	     	  0	 0.066	      	10.459	
  39663	  3	10.04	     	 36	 0.167	 0.226	11.669	11.422
  39438	  1	 8.80	     	  0	 0.093	      	10.904	
4547352	  1	 8.28	     	  0	 0.076	      	10.643	
  55606	  1	 9.92	     	  0	 0.156	      	11.579	
  54703	  1	 9.56	     	  0	 0.128	      	11.324	
  58115	  1	10.36	27.80	  0	 0.207	      	11.952	
  16494	  1	10.23	40.93	  0	 0.188	      	11.826	
  97055	  1	10.16	     	  0	 0.180	      	11.769	
   6528	  1	10.14	45.29	  0	 0.178	      	11.753	
  32306	  7	 9.95	20.42	 29	 0.158	 0.072	11.599	10.748
  24398	  1	10.16	     	  0	 0.180	      	11.766	
  61423	  3	10.13	     	 53	 0.176	 0.076	11.741	11.283
2801040	  1	 7.99	     	  0	 0.068	      	10.501	
   9236	  1	10.42	16.14	  0	 0.216	      	12.009	
  28424	  3	10.07	21.98	 75	 0.169	 0.067	11.689	11.540
  24778	  1	10.06	39.99	  0	 0.169	      	11.687	
   8480	  1	 9.86	45.92	  0	 0.150	      	11.534	
  53083	  3	 9.80	     	 51	 0.145	 0.052	11.487	11.086
  53229	  1	 9.42	     	  0	 0.120	      	11.241	
  53510	  1	 8.97	     	  0	 0.099	      	10.989	
  23239	  1	10.16	30.06	  0	 0.180	      	11.767	
3996431	  1	 8.28	     	  0	 0.076	      	10.642	
  26341	  2	10.49	 7.41	 36	 0.228	 0.126	12.079	11.170
  19750	  2	10.15	     	 66	 0.179	 0.196	11.761	11.895
  51846	  2	 9.84	15.28	  0	 0.148	 0.033	11.516	 6.497
  51973	  3	 9.75	16.14	 26	 0.141	 0.029	11.455	10.260
  51449	  1	 8.71	     	  0	 0.090	      	10.859	
  21383	  1	10.15	     	  0	 0.179	      	11.759	
  69734	  1	10.32	29.11	  0	 0.200	      	11.906	
  12130	  1	10.11	32.21	  0	 0.174	      	11.728	
  27690	  1	 9.89	39.26	  0	 0.153	      	11.556	
  35704	  1	 9.83	65.77	  0	 0.148	      	11.511	
  32681	  1	 9.69	51.05	  0	 0.137	      	11.410	
  23237	  1	10.14	     	  0	 0.178	      	11.753	
  45750	  2	 9.98	52.48	 22	 0.161	 0.216	11.623	11.000
  55228	  1	10.14	     	  0	 0.178	      	11.752	
  31467	  1	10.06	     	  0	 0.169	      	11.685	
3467760	  1	 8.81	     	  0	 0.093	      	10.912	
   1977	  1	10.22	36.48	  0	 0.187	      	11.815	
  33011	  3	10.14	     	  4	 0.177	 0.059	11.748	 8.901
  61082	  1	10.14	     	  0	 0.177	      	11.748	
  31331	  1	10.14	     	  0	 0.177	      	11.748	
  33571	  2	10.14	     	 63	 0.177	 0.003	11.748	10.083
  11403	  1	10.47	24.89	  0	 0.224	      	12.053	
  28672	  2	10.32	33.42	  1	 0.201	 0.203	11.913	 8.061
  12041	  2	10.25	20.89	 52	 0.191	 0.023	11.846	10.760
  18373	  2	10.08	28.50	 22	 0.171	 0.234	11.699	11.033
  71800	  1	 9.76	     	  0	 0.142	      	11.462	
  71473	  1	 9.71	     	  0	 0.138	      	11.425	
  66559	  1	10.13	     	  0	 0.177	      	11.744	
 136523	  1	10.13	     	  0	 0.176	      	11.742	
 170172	  1	 9.88	     	  0	 0.152	      	11.549	
  36895	  1	 9.51	     	  0	 0.125	      	11.292	
  16027	  1	10.19	38.73	  0	 0.183	      	11.789	
 398368	  1	10.13	     	  0	 0.176	      	11.739	
  84914	  1	 9.96	     	  0	 0.159	      	11.605	
  63694	  1	 9.27	     	  0	 0.112	      	11.152	
  38608	  1	10.12	     	  0	 0.175	      	11.736	
  67069	  1	10.12	     	  0	 0.175	      	11.736	
  63614	  1	10.12	     	  0	 0.175	      	11.734	
  68266	  1	 9.74	     	  0	 0.141	      	11.447	
  68215	  2	 9.36	     	 17	 0.116	 0.144	11.201	10.599
  68041	  1	 8.44	     	  0	 0.081	      	10.726	
 558560	  1	 8.40	     	  0	 0.080	      	10.706	
  11648	  1	10.12	     	  0	 0.176	      	11.736	
  16477	  1	10.12	     	  0	 0.175	      	11.733	
  68875	  1	10.08	34.83	  0	 0.171	      	11.704	
  13501	  1	10.03	18.28	  0	 0.166	      	11.663	
 165366	  1	 9.81	18.37	  0	 0.146	      	11.493	
3248655	  1	 8.36	     	  0	 0.078	      	10.686	
  38347	  1	10.11	29.92	  0	 0.174	      	11.724	
   3526	  1	10.05	28.97	  0	 0.168	      	11.679	
  53417	  1	10.05	25.94	  0	 0.168	      	11.678	
  15455	  1	 9.95	27.04	  0	 0.158	      	11.595	
  59782	  2	10.26	30.48	 13	 0.193	 0.235	11.858	10.543
  33712	  2	10.12	     	 20	 0.175	 0.250	11.732	10.937
 170431	  1	10.12	     	  0	 0.175	      	11.730	
  23888	  1	 9.78	     	  0	 0.143	      	11.471	
  24053	  1	 9.65	     	  0	 0.134	      	11.384	
  23266	  7	 9.62	35.32	 55	 0.132	 0.147	11.367	11.612
  23214	  1	 9.29	35.16	  0	 0.113	      	11.158	
  29671	  1	10.11	     	  0	 0.174	      	11.728	
 178263	  1	10.11	     	  0	 0.175	      	11.728	
  68686	  1	10.00	     	  0	 0.162	      	11.634	
3246950	  1	 8.46	     	  0	 0.081	      	10.735	
 815812	  1	 8.39	     	  0	 0.079	      	10.699	
  47429	  1	10.11	     	  0	 0.174	      	11.728	
  69841	  1	10.10	31.48	  0	 0.173	      	11.715	
  91742	  1	 9.84	52.72	  0	 0.148	      	11.516	
9002595	  2	10.11	     	 14	 0.174	 0.029	11.726	 9.713
4078651	  1	10.11	     	  0	 0.174	      	11.725	
  46108	  1	10.11	     	  0	 0.174	      	11.725	
  52247	  1	10.03	49.89	  0	 0.166	      	11.664	
  46589	  3	10.03	     	 19	 0.166	 0.107	11.661	10.559
2559875	  1	 8.70	     	  0	 0.089	      	10.857	
 152355	  1	 9.72	     	  0	 0.139	      	11.436	
  23302	  1	 9.68	     	  0	 0.136	      	11.407	
  24111	  2	10.38	19.68	 51	 0.210	 0.096	11.971	11.358
  71583	  1	 9.88	     	  0	 0.152	      	11.547	
  71679	  1	 9.43	     	  0	 0.120	      	11.243	
  70243	  1	10.11	     	  0	 0.174	      	11.722	
  63443	  2	10.10	     	 27	 0.173	 0.069	11.719	10.650
  49187	  1	 9.82	15.28	  0	 0.147	      	11.505	
  49129	  2	 9.02	14.66	 31	 0.101	 0.044	11.017	10.576
  49144	  1	 8.77	     	  0	 0.092	      	10.888	
  45671	  3	10.10	     	 52	 0.173	 0.108	11.720	11.422
  31653	  1	 9.90	38.73	  0	 0.154	      	11.562	
   2142	  2	 9.81	     	  2	 0.146	 0.007	11.493	 7.173
   2323	  1	 9.22	     	  0	 0.110	      	11.121	
 795900	  1	 8.40	     	  0	 0.080	      	10.708	
 770824	  1	 7.94	     	  0	 0.067	      	10.476	
  52887	  2	 9.70	     	 18	 0.138	 0.181	11.422	10.751
1393069	  1	 9.08	     	  0	 0.103	      	11.045	
4117578	  1	 8.52	     	  0	 0.083	      	10.763	
  87175	  1	 8.48	     	  0	 0.082	      	10.747	
4434567	  1	 8.05	     	  0	 0.070	      	10.533	
  44116	  1	10.00	     	  0	 0.163	      	11.637	
 742710	  1	 8.90	     	  0	 0.096	      	10.953	
  45071	  2	10.10	     	  5	 0.173	 0.046	11.717	 8.971
  60568	  1	 9.87	41.88	  0	 0.151	      	11.537	
  45330	  1	10.10	     	  0	 0.173	      	11.716	
  37099	  1	10.10	     	  0	 0.173	      	11.714	
  45311	  2	 9.94	40.55	  0	 0.157	 0.017	11.590	 6.529
  11252	  1	10.27	34.04	  0	 0.193	      	11.860	
   2228	  1	10.00	46.34	  0	 0.163	      	11.635	
  51697	  1	 9.98	     	  0	 0.161	      	11.623	
1103593	  1	 8.97	     	  0	 0.099	      	10.992	
  63471	  1	10.39	31.48	  0	 0.211	      	11.978	
  53463	  2	 9.88	     	  9	 0.151	 0.153	11.543	10.025
4544702	  2	 9.20	     	 29	 0.109	 0.140	11.111	11.045
4443809	  1	 8.06	     	  0	 0.070	      	10.535	
   8368	  1	10.09	     	  0	 0.172	      	11.708	
2800436	  1	10.09	     	  0	 0.172	      	11.707	
  13761	  1	10.09	     	  0	 0.171	      	11.704	
  72491	  2	10.03	     	  8	 0.165	 0.107	11.659	 9.793
2807060	  1	 8.39	     	  0	 0.079	      	10.701	
  17651	  2	10.08	     	 59	 0.171	 0.100	11.703	11.500
  32044	  1	 9.92	27.16	  0	 0.155	      	11.575	
  49734	  3	 9.78	     	 35	 0.143	 0.108	11.471	11.083
1648997	  2	 9.55	     	  3	 0.128	 0.021	11.320	 8.137
  56077	  3	10.32	25.59	  0	 0.200	 0.036	11.907	 2.930
  18557	  1	 9.88	17.06	  0	 0.152	      	11.548	
  18987	  1	 9.44	     	  0	 0.121	      	11.250	
  18277	  1	 8.03	     	  0	 0.069	      	10.520	
  11282	  1	10.18	33.27	  0	 0.182	      	11.782	
  70039	  1	10.08	     	  0	 0.171	      	11.701	
  70966	  1	10.07	37.33	  0	 0.169	      	11.689	
  67256	  1	10.08	     	  0	 0.171	      	11.700	
  16784	  1	 9.69	     	  0	 0.137	      	11.415	
  16809	  1	 9.21	     	  0	 0.109	      	11.114	
 908103	  1	 9.07	     	  0	 0.103	      	11.041	
  60216	  1	10.08	     	  0	 0.171	      	11.699	
  30538	  1	10.08	     	  0	 0.171	      	11.698	
2800919	  1	10.08	     	  0	 0.170	      	11.696	
  54491	  2	10.07	     	 22	 0.170	 0.149	11.695	10.822
  18581	  1	10.00	26.92	  0	 0.163	      	11.639	
  33118	  2	 9.67	     	 31	 0.135	 0.002	11.398	 9.121
  32706	  1	 9.26	     	  0	 0.111	      	11.143	
1980945	  1	 8.50	     	  0	 0.083	      	10.756	
2039259	  1	 8.41	     	  0	 0.080	      	10.708	
 166680	  1	 9.87	53.46	  0	 0.151	      	11.535	
  24490	  1	 9.71	39.08	  0	 0.139	      	11.428	
   1665	  2	10.13	28.58	 30	 0.177	 0.020	11.744	10.236
  66331	  1	10.07	     	  0	 0.170	      	11.694	
   8896	  1	 9.96	30.48	  0	 0.159	      	11.606	
 851810	  1	 8.97	     	  0	 0.099	      	10.989	
  70175	  4	 9.92	32.06	 35	 0.155	 0.066	11.574	10.862
  70131	  1	 9.52	     	  0	 0.126	      	11.301	
  13881	  3	10.48	10.14	 66	 0.226	 0.073	12.068	11.462
  64605	  1	10.10	39.81	  0	 0.173	      	11.719	
  25324	  1	10.07	     	  0	 0.169	      	11.689	
 198756	  2	 9.88	     	 23	 0.152	 0.113	11.547	10.751
 739828	  1	 8.75	     	  0	 0.091	      	10.879	
    824	  1	 8.56	     	  0	 0.085	      	10.787	
  70396	  2	10.07	     	 33	 0.169	 0.044	11.688	10.640
  19558	  2	10.06	     	 11	 0.169	 0.162	11.688	10.230
  29034	  4	 9.51	38.19	 48	 0.125	 0.120	11.294	11.398
 858660	  1	 9.74	     	  0	 0.140	      	11.444	
  24840	  1	 9.56	40.55	  0	 0.128	      	11.328	
 166900	  1	10.06	     	  0	 0.169	      	11.685	
  21020	  1	10.04	42.27	  0	 0.167	      	11.668	
  16599	  1	 9.75	19.95	  0	 0.141	      	11.450	
 166546	  1	10.06	     	  0	 0.169	      	11.684	
  44980	  2	10.06	     	  4	 0.168	 0.040	11.680	 8.722
  37935	  1	 9.83	44.26	  0	 0.147	      	11.509	
  35904	  1	 9.75	55.21	  0	 0.142	      	11.456	
  35569	  1	 9.76	46.77	  0	 0.142	      	11.461	
  16737	  1	10.05	     	  0	 0.168	      	11.679	
  21343	  1	10.05	     	  0	 0.168	      	11.679	
2800435	  1	10.05	     	  0	 0.168	      	11.679	
  44474	  1	 9.38	     	  0	 0.118	      	11.217	
  44240	  1	 9.18	     	  0	 0.108	      	11.104	
  44450	  1	 9.16	     	  0	 0.107	      	11.090	
3297904	  1	 8.60	     	  0	 0.086	      	10.804	
  45807	  1	 9.60	49.66	  0	 0.131	      	11.352	
   5744	  3	 9.77	     	 18	 0.143	 0.028	11.467	 9.917
   5892	  1	 9.45	     	  0	 0.122	      	11.258	
  65775	  1	10.17	21.09	  0	 0.181	      	11.772	
  60934	  1	10.05	     	  0	 0.167	      	11.674	
  47985	  1	 9.84	29.38	  0	 0.149	      	11.519	
  35671	  3	 9.75	     	 63	 0.141	 0.122	11.450	11.643
  35674	  2	 9.26	     	 22	 0.112	 0.043	11.146	10.288
3473096	  1	 8.38	     	  0	 0.079	      	10.695	
  22561	  3	 9.79	30.48	 47	 0.144	 0.084	11.479	11.223
  29478	  1	10.05	     	  0	 0.167	      	11.673	
  49318	  1	10.05	     	  0	 0.167	      	11.673	
  32754	  1	 9.61	28.05	  0	 0.131	      	11.358	
  51015	  1	10.19	21.18	  0	 0.183	      	11.789	
  52741	  3	 9.94	     	  1	 0.157	 0.087	11.594	 8.072
  17597	  1	 9.79	54.70	  0	 0.145	      	11.484	
2053650	  1	 8.18	     	  0	 0.073	      	10.597	
2056934	  1	 8.02	     	  0	 0.069	      	10.516	
  72367	  1	10.47	25.23	  0	 0.225	      	12.061	
  58549	  1	10.04	     	  0	 0.167	      	11.668	
  26605	  1	10.04	     	  0	 0.167	      	11.667	
1729014	  1	10.04	     	  0	 0.167	      	11.667	
  26609	  2	 9.74	     	  5	 0.140	 0.001	11.442	 7.517
  70756	  1	 9.74	     	  0	 0.140	      	11.442	
  86487	  1	 9.47	     	  0	 0.123	      	11.272	
 970380	  1	 9.47	     	  0	 0.123	      	11.270	
  80172	  1	10.04	     	  0	 0.166	      	11.666	
  62049	  2	10.04	     	 50	 0.166	 0.051	11.666	11.068
  11800	  1	10.04	     	  0	 0.166	      	11.666	
  33463	  1	 9.97	     	  0	 0.159	      	11.610	
4547308	  1	 8.48	     	  0	 0.082	      	10.746	
4538427	  2	 9.68	     	 19	 0.136	 0.001	11.403	 8.534
  19472	  2	 9.67	34.99	 42	 0.136	 0.260	11.401	11.629
5064950	  1	 9.55	     	  0	 0.127	      	11.318	
 193187	  1	 9.70	     	  0	 0.138	      	11.420	
  69251	  1	 9.51	     	  0	 0.125	      	11.294	
  54061	  1	 9.77	     	  0	 0.143	      	11.467	
  53644	  1	 9.39	     	  0	 0.118	      	11.217	
  61689	  1	10.03	     	  0	 0.165	      	11.657	
   8360	  1	10.03	     	  0	 0.165	      	11.657	
  58114	  1	 9.80	     	  0	 0.145	      	11.484	
  17379	  1	 9.63	     	  0	 0.133	      	11.371	
  17423	  1	 9.58	     	  0	 0.130	      	11.340	
  57818	  1	 9.31	     	  0	 0.114	      	11.173	
4666776	  1	10.03	     	  0	 0.165	      	11.658	
  62320	  1	10.03	     	  0	 0.165	      	11.657	
   9037	  1	 9.59	     	  0	 0.130	      	11.346	
   8962	  1	 9.32	     	  0	 0.114	      	11.179	
   9103	  1	 8.80	     	  0	 0.093	      	10.907	
  69443	  1	10.02	33.11	  0	 0.165	      	11.655	
  67737	  2	10.02	     	 43	 0.165	 0.157	11.654	11.425
  68134	  2	10.02	     	  4	 0.165	 0.170	11.656	 9.312
  56772	  1	10.02	     	  0	 0.165	      	11.654	
 317995	  1	10.02	     	  0	 0.165	      	11.654	
  26051	  1	10.02	     	  0	 0.165	      	11.654	
  67507	  1	 9.68	     	  0	 0.136	      	11.405	
  67362	  1	 9.00	     	  0	 0.100	      	11.004	
 130692	  1	 8.96	     	  0	 0.099	      	10.983	
  16688	  1	10.02	     	  0	 0.165	      	11.653	
 170346	  1	10.02	     	  0	 0.165	      	11.652	
  23660	  4	 9.83	     	 32	 0.148	 0.113	11.511	11.021
2285534	  1	 8.72	     	  0	 0.090	      	10.864	
2269104	  1	 8.42	     	  0	 0.080	      	10.717	
4683573	  1	10.02	     	  0	 0.165	      	11.652	
  15109	  1	10.02	     	  0	 0.164	      	11.650	
  63536	  1	 9.88	     	  0	 0.152	      	11.545	
  63612	  1	 8.96	     	  0	 0.098	      	10.983	
  31076	  1	10.20	25.35	  0	 0.185	      	11.804	
  69578	  1	 9.95	     	  0	 0.158	      	11.599	
2793893	  1	 8.33	     	  0	 0.077	      	10.668	
  17359	  2	10.07	29.11	  9	 0.170	 0.067	11.695	 9.711
  44695	  1	 9.75	54.45	  0	 0.141	      	11.453	
  20670	  1	10.01	     	  0	 0.164	      	11.645	
  61984	  1	 9.43	     	  0	 0.121	      	11.248	
  62104	  2	 9.36	     	 21	 0.117	 0.187	11.204	10.880
  62080	  1	 9.02	     	  0	 0.101	      	11.017	
  27197	  1	10.01	     	  0	 0.164	      	11.644	
  58827	  1	 9.89	16.00	  0	 0.152	      	11.550	
  46400	  1	 9.72	     	  0	 0.139	      	11.430	
  43262	  1	 9.57	     	  0	 0.129	      	11.334	
  43553	  1	 9.18	     	  0	 0.108	      	11.100	
  45084	  2	 8.97	 6.19	  6	 0.099	 0.033	10.992	 9.004
  43735	  1	 8.97	     	  0	 0.099	      	10.988	
  45628	  1	 8.57	     	  0	 0.085	      	10.792	
 170257	  1	 7.85	     	  0	 0.064	      	10.430	
  72799	  3	10.01	     	 31	 0.163	 0.100	11.642	10.950
   4173	  1	 9.81	58.08	  0	 0.146	      	11.496	
  21730	  1	 9.72	48.53	  0	 0.139	      	11.435	
  20446	  1	10.00	     	  0	 0.163	      	11.640	
  36651	  1	 9.93	     	  0	 0.156	      	11.583	
  26979	  1	 9.85	     	  0	 0.149	      	11.521	
  27311	  1	 9.04	     	  0	 0.102	      	11.029	
  37864	  1	 8.49	     	  0	 0.082	      	10.751	
  31040	  2	10.01	     	 22	 0.163	 0.031	11.640	10.117
  66236	  1	10.01	     	  0	 0.163	      	11.640	
  28613	  1	10.00	     	  0	 0.163	      	11.639	
  20611	  1	10.00	     	  0	 0.163	      	11.639	
  69546	  1	 9.73	     	  0	 0.140	      	11.436	
1667257	  1	 9.60	     	  0	 0.131	      	11.352	
  35521	  1	 9.47	41.50	  0	 0.123	      	11.272	
  85256	  1	 9.13	     	  0	 0.105	      	11.072	
 632874	  1	 8.27	     	  0	 0.076	      	10.639	
  25781	  1	 9.79	42.85	  0	 0.145	      	11.483	
  58138	  1	10.00	     	  0	 0.163	      	11.637	
  20920	  1	10.00	     	  0	 0.163	      	11.635	
2807181	  1	10.00	     	  0	 0.162	      	11.634	
  49163	  2	10.00	     	 50	 0.162	 0.028	11.633	10.802
  30776	  2	 9.99	     	 39	 0.162	 0.150	11.632	11.326
  30885	  1	 9.94	48.08	  0	 0.157	      	11.593	
  29919	  1	 9.86	53.46	  0	 0.150	      	11.534	
  55224	  1	 9.81	     	  0	 0.146	      	11.493	
  55122	  1	 9.14	     	  0	 0.106	      	11.076	
  49864	  1	 9.99	     	  0	 0.162	      	11.631	
3096295	  1	10.00	     	  0	 0.162	      	11.632	
 951794	  1	 9.99	     	  0	 0.162	      	11.632	
   8852	  1	 9.99	     	  0	 0.162	      	11.631	
  69999	  1	 9.92	     	  0	 0.155	      	11.577	
  14458	  1	 9.80	     	  0	 0.145	      	11.489	
  14377	  1	 9.14	     	  0	 0.106	      	11.079	
 715699	  1	 8.37	     	  0	 0.079	      	10.690	
   7849	  1	10.27	21.68	  0	 0.194	      	11.866	
  11245	  1	10.00	33.73	  0	 0.162	      	11.633	
  36117	  1	 9.99	     	  0	 0.162	      	11.631	
  61487	  1	 9.99	     	  0	 0.162	      	11.631	
  45552	  1	 9.77	44.87	  0	 0.143	      	11.465	
  69053	  2	 9.73	     	 32	 0.140	 0.007	11.439	 9.830
  38667	  1	 9.69	47.86	  0	 0.137	      	11.412	
  60921	  1	 9.55	 6.25	  0	 0.127	      	11.318	
 133436	  1	 8.94	     	  0	 0.098	      	10.977	
 746828	  1	 8.50	     	  0	 0.083	      	10.754	
  62814	  1	 7.54	 6.58	  0	 0.057	      	10.276	
  33940	  1	10.11	36.31	  0	 0.174	      	11.723	
  71531	  1	 9.99	     	  0	 0.161	      	11.626	
  29472	  1	 9.74	21.09	  0	 0.141	      	11.446	
    929	  1	 9.99	     	  0	 0.161	      	11.626	
  90106	  1	 9.99	     	  0	 0.161	      	11.625	
  67248	  2	10.51	25.47	 59	 0.231	 0.085	12.093	11.433
  69448	  1	10.25	30.62	  0	 0.192	      	11.850	
  67671	  1	10.24	17.70	  0	 0.189	      	11.834	
  51713	  1	10.07	36.31	  0	 0.170	      	11.690	
2802322	  1	 9.98	     	  0	 0.161	      	11.625	
  66242	  1	 9.95	33.42	  0	 0.158	      	11.599	
  71220	  2	 9.69	 8.83	 29	 0.137	 0.108	11.413	10.930
  71596	  1	 9.44	     	  0	 0.121	      	11.248	
  27774	  1	 9.74	     	  0	 0.140	      	11.444	
 909357	  1	 9.27	     	  0	 0.112	      	11.149	
  70569	  2	10.40	16.44	 42	 0.213	 0.101	11.989	11.215
  97243	  1	10.02	39.26	  0	 0.164	      	11.651	
 166712	  1	 9.98	     	  0	 0.161	      	11.621	
  33698	  2	 9.54	     	 20	 0.127	 0.053	11.312	10.294
  33584	  1	 9.36	     	  0	 0.116	      	11.201	
  31720	  4	 9.31	30.90	 18	 0.114	 0.285	11.176	10.936
  32201	  1	 9.16	     	  0	 0.107	      	11.086	
2294375	  1	 8.51	     	  0	 0.083	      	10.761	
1531600	  1	 8.45	     	  0	 0.081	      	10.729	
2768105	  1	 9.98	     	  0	 0.161	      	11.620	
  58864	  2	 9.83	22.88	 77	 0.148	 0.179	11.512	11.989
  35608	  1	 9.95	28.97	  0	 0.158	      	11.595	
  11511	  1	 9.97	     	  0	 0.160	      	11.616	
  44219	  1	 9.78	     	  0	 0.143	      	11.471	
  95610	  1	 9.11	     	  0	 0.105	      	11.064	
 153323	  1	 9.62	     	  0	 0.132	      	11.365	
  25274	  1	 9.45	     	  0	 0.121	      	11.255	
  64345	  1	 9.97	     	  0	 0.160	      	11.612	
  71838	  1	 9.80	39.45	  0	 0.145	      	11.486	
  59083	  2	 9.61	23.23	 13	 0.132	 0.051	11.360	 9.901
  16567	  1	 9.25	31.77	  0	 0.111	      	11.140	
   4979	  8	10.30	22.28	 92	 0.198	 0.060	11.895	11.671
  20614	  2	 9.41	64.86	 26	 0.120	 0.123	11.236	10.872
  51953	  3	10.40	17.62	 78	 0.213	 0.030	11.987	11.220
  29281	  1	 9.97	     	  0	 0.159	      	11.611	
  16090	  1	 9.97	     	  0	 0.159	      	11.610	
  68581	  1	 9.97	     	  0	 0.159	      	11.610	
  57611	  1	 9.96	     	  0	 0.159	      	11.609	
  55293	  1	 9.59	     	  0	 0.130	      	11.344	
  59709	  1	 9.47	     	  0	 0.123	      	11.270	
 931808	  1	 9.96	     	  0	 0.159	      	11.609	
  66545	  1	 9.96	     	  0	 0.159	      	11.605	
  48392	  1	 9.77	35.65	  0	 0.143	      	11.467	
  31126	  1	10.44	26.30	  0	 0.219	      	12.021	
  28670	  1	 9.96	     	  0	 0.159	      	11.605	
  45278	  1	 9.96	     	  0	 0.159	      	11.604	
  96462	  1	 9.96	     	  0	 0.159	      	11.604	
  54255	  1	 9.96	     	  0	 0.159	      	11.604	
