#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:46:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:46:07	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=VII/155/rc3&-out=name,altname,PGC,T,BT,e_BT,B-VT,e_B-VT,B-VoT,U-BT,Ai,Ag&-out.add=_RAJ2000,_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	e_BT	(F5.2)	? Mean error on BT	[ucd=stat.error]
#Column	B-VT	(F5.2)	? (B-V)T (total (B-V))	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-VT	(F5.2)	? Mean error on (B-V)T	[ucd=stat.error]
#Column	B-VoT	(F5.2)	? (B-V)oT	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-BT	(F5.2)	? (U-B)T (total (U-B))	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Ai	(F5.2)	? Ai (internal B extinction)	[ucd=phys.absorption]
#Column	Ag	(F5.2)	? Ag (galactic extinction in B)	[ucd=phys.absorption]
_RAJ2000	_DEJ2000	name	altname	PGC	T	BT	e_BT	B-VT	e_B-VT	B-VoT	U-BT	Ai	Ag
154.900266	 +6.316683	            	 UGC  5573     	PGC30178   	 6.0	     	     	     	     	     	     	 0.40	 0.01
154.909384	+57.419235	NGC  3188A  	 MCG 10-15- 64 	PGC30179   	    	     	     	     	     	     	     	 0.31	 0.00
155.757747	-42.236712	            	 ESO  317- 20  	PGC30407   	 5.3	     	     	     	     	     	     	 0.05	 0.51
154.921093	-25.813359	NGC  3208   	 ESO  500- 25  	PGC30180   	 4.5	13.42	 0.13	 0.68	 0.02	 0.58	 0.14	 0.10	 0.28
154.924013	-17.749737	            	 ESO  567- 48  	PGC30181   	 9.0	     	     	     	     	     	     	 0.76	 0.27
154.929428	+22.451425	            	 UGC  5574     	PGC30182   	 6.0	     	     	     	     	     	     	 1.02	 0.05
154.929384	+57.421179	NGC  3188   	 UGC  5569     	PGC30183   	 2.0	     	     	     	     	     	     	 0.04	 0.00
154.925230	+52.066731	            	 UGC  5571     	PGC30187   	 9.0	     	     	     	     	     	     	 0.51	 0.00
154.946095	+22.593092	            	 UGC  5575     	PGC30188   	10.0	     	     	     	     	     	     	 0.28	 0.05
154.978992	+45.552560	NGC  3198   	 UGC  5572     	PGC30197   	 5.0	10.87	 0.10	 0.54	 0.02	 0.43	-0.04	 0.61	 0.00
155.011095	-21.518353	            	 ESO  567- 51  	PGC30204   	    	14.13	 0.13	 0.96	 0.01	 0.87	     	 0.00	 0.26
155.015250	+38.616998	            	 UGC  5577     	PGC30206   	    	     	     	     	     	     	     	 0.09	 0.00
155.045675	+27.817820	NGC  3204   	 UGC  5580     	PGC30214   	 3.0	     	     	     	     	     	     	 0.22	 0.07
155.076079	+42.821169	            	 UGC  5578     	PGC30217   	 6.0	     	     	     	     	     	     	 1.18	 0.00
155.133995	+43.020613	NGC  3202   	 UGC  5581     	PGC30236   	 1.0	     	     	     	     	     	     	 0.15	 0.00
155.125125	+73.266741	            	 UGC  5570     	PGC30239   	 4.0	     	     	     	     	     	     	 1.47	 0.09
155.150218	+57.200068	            	 UGC  5579     	PGC30240   	 2.0	     	     	     	     	     	     	 0.45	 0.00
155.160677	+25.504207	NGC  3209   	 UGC  5584     	PGC30242   	-5.0	     	     	     	     	     	     	 0.00	 0.07
155.183104	+65.172294	            	 UGC  5576     	PGC30247   	    	     	     	     	     	     	     	 0.38	 0.04
155.183168	-37.778929	A   1018-37 	 ESO  317- 16  	PGC30248   	 4.5	     	     	     	     	     	     	 0.09	 0.25
155.207745	+42.971724	NGC  3205   	 UGC  5585     	PGC30254   	    	     	     	     	     	     	     	 0.09	 0.00
155.239427	+25.365596	            	 UGC  5588     	PGC30263   	    	     	     	     	     	     	     	 0.24	 0.05
155.252746	+42.985613	NGC  3207   	 UGC  5587     	PGC30267   	    	     	     	     	     	     	     	 0.16	 0.00
155.273098	-66.490900	            	 ESO   92- 21  	PGC30273   	-3.0	     	     	     	     	     	     	 0.00	 2.83
155.290658	-46.010604	            	 ESO  263- 29  	PGC30277   	-0.6	     	     	     	     	     	     	 0.00	 0.97
155.324013	+19.651978	NGC  3213   	 UGC  5590     	PGC30283   	 4.3	     	     	     	     	     	     	 0.15	 0.06
155.326916	-39.800875	            	 ESO  317- 17  	PGC30285   	 1.0	     	     	     	     	     	     	 0.18	 0.55
155.325259	+27.916710	IC   2565   	 CGCG 154-  4  	PGC30288   	    	     	     	     	     	     	     	     	 0.08
155.375262	+22.533370	            	 UGC  5592     	PGC30305   	 7.0	     	     	     	     	     	     	 0.23	 0.05
155.400255	-34.266702	NGC  3223   	 ESO  375- 12  	PGC30308   	 3.0	11.79	 0.14	 0.82	 0.02	 0.61	 0.26	 0.31	 0.50
155.410682	+12.575303	            	 UGC  5595     	PGC30310   	 4.0	     	     	     	     	     	     	 0.07	 0.12
155.400261	+23.900038	NGC  3216   	 UGC  5593     	PGC30312   	-5.0	     	     	     	     	     	     	 0.00	 0.03
155.423171	-34.695870	NGC  3224   	 ESO  375- 13  	PGC30314   	-4.0	12.00	 0.15	 0.99	 0.02	 0.84	 0.50	 0.00	 0.55
155.451886	+56.930624	NGC  3206   	 UGC  5589     	PGC30322   	 6.0	     	     	     	     	     	     	 0.26	 0.00
155.460116	+74.178131	NGC  3183   	 UGC  5582     	PGC30323   	 3.5	12.68	 0.11	     	     	     	     	 0.33	 0.12
155.469011	+23.861427	            	 UGC  5597     	PGC30328   	 2.0	     	     	     	     	     	     	 0.93	 0.03
155.481905	+48.031173	            	 UGC  5594     	PGC30334   	 3.0	     	     	     	     	     	     	 0.80	 0.00
155.489429	-22.267799	NGC  3233   	 ESO  568-  1  	PGC30336   	 0.0	     	     	     	     	     	     	 0.24	 0.25
155.530681	+17.838087	            	 MCG  3-27-  5 	PGC30347   	    	     	     	     	     	     	     	 0.00	 0.10
155.554014	+17.853365	            	 MCG  3-27-  7 	PGC30349   	    	16.49	 0.15	     	     	     	     	     	 0.10
155.581920	+36.583108	IC   2566   	 MCG  6-23-  8 	PGC30357   	    	     	     	     	     	     	     	 0.26	 0.00
155.585263	+21.569202	NGC  3221   	 UGC  5601     	PGC30358   	 6.0	     	     	     	     	     	     	 1.00	 0.03
155.601517	 +1.199454	IC    605   	 UGC  5606     	PGC30363   	    	     	     	     	     	     	     	 0.11	 0.08
155.601933	 +3.997514	            	 UGC  5607     	PGC30364   	 3.0	     	     	     	     	     	     	 0.64	 0.03
155.612756	-33.134479	            	               	PGC30367   	10.0	     	     	     	     	     	     	 0.11	 0.22
155.626086	+36.599497	IC   2568   	 UGC  5603     	PGC30371   	 1.0	     	     	     	     	     	     	 0.34	 0.00
155.625245	+43.850059	            	 UGC  5599     	PGC30372   	 7.0	     	     	     	     	     	     	 0.33	 0.00
155.644847	+19.887256	NGC  3222   	 UGC  5610     	PGC30377   	-2.3	13.70	 0.30	 0.94	 0.06	 0.87	     	 0.00	 0.07
155.650260	+27.350042	            	 UGC  5608     	PGC30382   	 3.0	     	     	     	     	     	     	 0.49	 0.06
155.670242	+46.238672	A   1019+46 	 UGC  5604     	PGC30386   	 5.0	13.70	 0.20	 0.66	 0.07	 0.55	     	 0.44	 0.00
155.675263	+20.850035	            	 CGCG 124- 18  	PGC30390   	    	     	     	     	     	     	     	     	 0.03
155.714011	-24.338079	            	 ESO  500- 32  	PGC30399   	 8.0	     	     	     	     	     	     	 0.10	 0.30
155.759834	-39.166708	            	 ESO  317- 19  	PGC30409   	 1.0	     	     	     	     	     	     	 0.10	 0.37
155.780665	+41.841446	            	 UGC  5611     	PGC30413   	 6.0	     	     	     	     	     	     	 0.33	 0.00
155.783584	-39.623376	            	 ESO  317- 21  	PGC30416   	-2.7	     	     	     	     	     	     	 0.00	 0.58
155.785637	+57.037846	NGC  3214   	 MCG 10-15- 71 	PGC30419   	 0.0	     	     	     	     	     	     	 0.23	 0.00
155.797764	+17.968643	A   1020+18 	 MCG  3-27- 14 	PGC30420   	    	     	     	     	     	     	     	     	 0.10
155.798570	-49.470053	            	 ESO  214-  2  	PGC30421   	 0.7	     	     	     	     	     	     	 0.22	 1.38
155.803990	-47.338384	            	 ESO  263- 31  	PGC30422   	 5.3	     	     	     	     	     	     	 0.58	 1.09
155.825266	 +9.933355	            	 UGC  5616     	PGC30430   	 6.0	     	     	     	     	     	     	 1.47	 0.09
155.864430	+19.898645	NGC  3226   	 UGC  5617     	PGC30440   	-5.0	12.30	 0.20	 0.90	 0.05	 0.88	     	 0.00	 0.02
155.876088	-35.455315	IC   2573   	 ESO  375- 17  	PGC30442   	 6.5	     	     	     	     	     	     	 0.88	 0.36
155.875264	+18.100032	            	 UGC  5619     	PGC30444   	 0.0	     	     	     	     	     	     	 0.24	 0.10
155.881514	+19.863367	NGC  3227   	 UGC  5620     	PGC30445   	 1.0	11.10	 0.20	 0.82	 0.03	 0.76	 0.27	 0.17	 0.02
155.886516	+10.959745	IC    606   	 MCG  2-27-  6 	PGC30448   	    	     	     	     	     	     	     	 0.00	 0.07
155.875232	+52.333399	            	 UGC  5613     	PGC30449   	 8.0	     	     	     	     	     	     	 0.78	 0.00
155.895252	-38.655319	            	 ESO  317- 22  	PGC30451   	    	     	     	     	     	     	     	 0.09	 0.37
155.901510	+28.312544	            	 UGC  5621     	PGC30453   	 4.0	     	     	     	     	     	     	 0.13	 0.04
155.924423	+33.774216	            	 UGC  5622     	PGC30459   	 4.0	     	     	     	     	     	     	 0.25	 0.01
155.938554	+57.027291	NGC  3220   	 UGC  5614     	PGC30462   	 3.0	     	     	     	     	     	     	 0.63	 0.00
155.925266	+12.550025	NGC  3230   	 UGC  5624     	PGC30463   	-2.0	     	     	     	     	     	     	 0.00	 0.10
155.954839	+33.807827	            	 UGC  5623     	PGC30468   	 6.0	     	     	     	     	     	     	 0.30	 0.01
155.985684	 -3.183329	            	 MCG  0-27-  5 	PGC30473   	 3.0	     	     	     	     	     	     	 0.30	 0.11
155.975035	+78.850077	            	 UGC  5596     	PGC30475   	-5.0	     	     	     	     	     	     	 0.00	 0.01
156.000153	+70.866742	A   1020+71 	 UGC  5612     	PGC30484   	 8.0	12.60	 0.30	 0.48	 0.05	 0.43	-0.01	 0.22	 0.20
156.030684	 -5.633332	            	 MCG -1-27-  7 	PGC30487   	 5.0	     	     	     	     	     	     	 1.21	 0.10
156.045041	+78.627021	            	 UGC  5600     	PGC30491   	-2.0	     	     	     	     	     	     	 0.00	 0.01
156.054430	+21.050035	            	 UGC  5629     	PGC30493   	 9.0	     	     	     	     	     	     	 0.11	 0.03
156.064432	+16.743641	IC    607   	 UGC  5628     	PGC30496   	 4.0	     	     	     	     	     	     	 0.13	 0.10
156.073174	-32.482256	NGC  3241   	 ESO  436- 16  	PGC30498   	 2.0	     	     	     	     	     	     	 0.20	 0.26
156.100260	+28.000043	NGC  3232   	 MCG  5-25-  4 	PGC30508   	    	     	     	     	     	     	     	 0.00	 0.10
156.103375	+78.610077	            	 UGC  5609     	PGC30510   	    	     	     	     	     	     	     	 0.20	 0.01
156.100220	+57.383402	            	 UGC  5626     	PGC30513   	10.0	     	     	     	     	     	     	 0.31	 0.00
156.129013	-21.790576	NGC  3240   	 ESO  568-  3  	PGC30515   	 5.8	     	     	     	     	     	     	 0.10	 0.32
156.133171	-36.272261	            	 ESO  375- 20  	PGC30518   	    	     	     	     	     	     	     	 0.03	 0.28
156.133179	-23.553912	            	 ESO  500- 34  	PGC30519   	-0.1	     	     	     	     	     	     	 0.21	 0.28
156.139420	-36.932262	            	 ESO  375- 22  	PGC30522   	-2.0	     	     	     	     	     	     	 0.00	 0.22
156.150264	+20.100034	            	 UGC  5632     	PGC30526   	 3.0	     	     	     	     	     	     	 0.31	 0.04
156.150266	+14.750028	A   1021+15 	 UGC  5633     	PGC30531   	 8.0	14.35	 0.16	 0.67	 0.05	 0.63	-0.11	 0.12	 0.13
156.177751	-39.305875	            	 ESO  317- 23  	PGC30534   	 1.0	     	     	     	     	     	     	 0.37	 0.44
156.175267	 +6.400017	            	 CGCG  37- 27  	PGC30535   	    	     	     	     	     	     	     	     	 0.05
156.175267	 +6.416684	            	 CGCG  37- 28  	PGC30536   	    	     	     	     	     	     	     	     	 0.05
156.198579	-43.964214	            	 ESO  263- 33  	PGC30544   	-3.0	     	     	     	     	     	     	 0.00	 0.62
156.201094	-26.690860	            	 ESO  500- 37  	PGC30545   	-1.3	     	     	     	     	     	     	 0.00	 0.24
156.225260	+28.016710	NGC  3235   	 UGC  5635     	PGC30553   	-3.0	     	     	     	     	     	     	 0.00	 0.10
156.237765	-17.433904	            	 MCG -3-27- 10 	PGC30554   	 1.0	     	     	     	     	     	     	 0.11	 0.27
156.273598	+17.159753	NGC  3239   	 UGC  5637     	PGC30560   	10.0	11.73	 0.13	 0.42	 0.01	 0.39	-0.34	 0.13	 0.11
156.275260	+28.083377	IC   2572   	 UGC  5636     	PGC30562   	 1.0	     	     	     	     	     	     	 0.28	 0.10
156.293552	+58.150625	NGC  3225   	 UGC  5631     	PGC30569   	 6.0	     	     	     	     	     	     	 0.43	 0.00
156.325225	+55.500068	A   1022+55 	 MCG  9-17- 64 	PGC30579   	 5.0	     	     	     	     	     	     	 0.07	 0.00
156.325261	+26.450042	            	 UGC  5638     	PGC30584   	-2.0	     	     	     	     	     	     	 0.00	 0.05
156.350265	+17.133364	            	 MCG  3-27- 27 	PGC30585   	    	     	     	     	     	     	     	 0.24	 0.12
156.360682	-15.348901	            	 MCG -2-27-  1 	PGC30591   	 7.0	     	     	     	     	     	     	 1.24	 0.28
156.372335	-39.827821	NGC  3244   	 ESO  317- 24  	PGC30594   	 6.0	12.89	 0.15	 0.61	 0.03	     	 0.00	 0.20	 0.59
156.375265	+17.233364	            	 UGC  5639     	PGC30595   	 5.0	     	     	     	     	     	     	 0.32	 0.11
156.381067	+51.673677	            	               	PGC30597   	    	16.06	 0.15	 0.45	 0.04	     	-0.68	     	 0.00
156.398184	 -2.214717	IC    609   	 UGC  5641     	PGC30600   	 3.5	     	     	     	     	     	     	 0.47	 0.08
156.422350	+11.737246	            	 UGC  5642     	PGC30604   	 4.0	     	     	     	     	     	     	 1.24	 0.03
156.433168	+39.646722	NGC  3237   	 UGC  5640     	PGC30610   	-2.0	     	     	     	     	     	     	 0.00	 0.00
156.443600	+13.716971	A   1023+13 	 UGC  5644     	PGC30616   	    	15.15	 0.15	     	     	     	     	 0.32	 0.12
156.425261	+26.550042	            	 MCG  5-25-  9 	PGC30617   	    	     	     	     	     	     	     	 0.23	 0.04
156.453183	+13.728082	            	 MCG  2-27- 13 	PGC30619   	    	15.96	 0.15	     	     	     	     	 0.00	 0.12
156.463163	-43.748103	NGC  3256A  	 ESO  263- 34  	PGC30626   	 9.0	     	     	     	     	     	     	 0.33	 0.57
156.472766	+14.362527	A   1023+14 	 UGC  5646     	PGC30630   	    	     	     	     	     	     	     	 0.85	 0.12
156.475152	+71.183409	            	 UGC  5634     	PGC30631   	 3.0	     	     	     	     	     	     	 0.28	 0.16
156.497758	-32.901424	IC   2576   	 ESO  375- 23  	PGC30634   	    	     	     	     	     	     	     	 0.11	 0.28
156.560244	-45.736716	            	 ESO  263- 35  	PGC30646   	 3.1	13.75	 0.15	 0.73	 0.01	 0.44	     	 0.35	 0.77
156.590685	 -2.621940	NGC  3243   	 UGC  5652     	PGC30655   	-2.3	     	     	     	     	     	     	 0.00	 0.04
156.592339	-34.963371	NGC  3249   	 ESO  375- 24  	PGC30657   	 6.0	     	     	     	     	     	     	 0.13	 0.35
156.606932	+17.510031	            	 UGC  5651     	PGC30659   	 6.0	     	     	     	     	     	     	 0.19	 0.11
156.600179	+67.650074	A   1022+67 	               	PGC30664   	10.0	     	     	     	     	     	     	     	 0.06
156.621515	-20.041685	            	 ESO  568-  9  	PGC30666   	    	     	     	     	     	     	     	 0.15	 0.34
156.631933	+15.340584	            	 UGC  5654     	PGC30669   	 4.0	     	     	     	     	     	     	 0.33	 0.13
156.625265	+20.216701	IC    610   	 UGC  5653     	PGC30670   	 4.0	     	     	     	     	     	     	 1.12	 0.01
156.635252	-39.943376	NGC  3250   	 ESO  317- 26  	PGC30671   	-5.0	12.18	 0.13	 1.05	 0.01	 0.90	 0.65	 0.00	 0.57
156.644851	 -2.830273	            	 MCG  0-27- 13 	PGC30676   	 7.0	     	     	     	     	     	     	 0.66	 0.05
156.650245	+45.233394	            	 UGC  5650     	PGC30680   	 3.0	     	     	     	     	     	     	 1.12	 0.00
156.669432	-19.050017	            	 ESO  568- 11  	PGC30683   	 4.0	     	     	     	     	     	     	 0.25	 0.23
156.673601	 +3.860569	NGC  3246   	 UGC  5661     	PGC30684   	 8.0	     	     	     	     	     	     	 0.31	 0.05
156.680638	+57.227569	NGC  3238   	 UGC  5649     	PGC30686   	-2.3	     	     	     	     	     	     	 0.00	 0.00
156.707340	+34.920051	            	 UGC  5656     	PGC30694   	 4.0	     	     	     	     	     	     	 0.39	 0.00
156.721872	+62.335906	A   1023+62 	 CGCG 313- 18  	PGC30701   	    	     	     	     	     	     	     	 0.21	 0.00
156.724414	+44.006171	A   1023+44 	 MCG  7-22-  6 	PGC30702   	    	     	     	     	     	     	     	 0.06	 0.00
156.737346	-24.090302	            	 ESO  500- 41  	PGC30708   	 2.2	     	     	     	     	     	     	 0.20	 0.31
156.755261	+28.641433	NGC  3245A  	 UGC  5662     	PGC30714   	 3.0	     	     	     	     	     	     	 1.37	 0.05
156.758975	+56.269235	A   1023+56 	 UGCA  211     	PGC30715   	99.0	16.14	 0.15	 0.31	 0.04	     	-0.13	     	 0.00
156.759839	-36.226983	            	 ESO  375- 26  	PGC30716   	 4.0	     	     	     	     	     	     	 1.07	 0.28
156.773995	-45.666994	            	 ESO  263- 36  	PGC30721   	    	     	     	     	     	     	     	     	 0.77
156.793185	 -3.320274	            	 CGCG   9- 42  	PGC30732   	    	     	     	     	     	     	     	     	 0.07
156.800265	+20.433368	A   1024+20 	               	PGC30735   	    	     	     	     	     	     	     	     	 0.02
156.800152	+71.400076	            	 UGC  5645     	PGC30737   	 3.0	     	     	     	     	     	     	 0.74	 0.13
156.826511	+28.508100	NGC  3245   	 UGC  5663     	PGC30744   	-2.0	11.70	 0.15	 0.91	 0.02	 0.89	 0.47	 0.00	 0.05
156.838173	-35.273649	            	 ESO  375- 28  	PGC30750   	-2.0	     	     	     	     	     	     	 0.00	 0.27
156.846091	-33.877258	IC   2578   	 ESO  375- 29  	PGC30753   	 5.0	     	     	     	     	     	     	 1.08	 0.31
156.850248	-43.137269	            	 ESO  263- 37  	PGC30754   	 3.3	     	     	     	     	     	     	 0.12	 0.55
156.875266	+16.933364	            	 CGCG  94- 65  	PGC30763   	    	     	     	     	     	     	     	     	 0.10
156.928169	-40.002266	NGC  3250C  	 ESO  317- 28  	PGC30774   	 1.6	     	     	     	     	     	     	 0.63	 0.50
156.934835	-40.435599	NGC  3250B  	 ESO  317- 29  	PGC30775   	 1.0	13.74	 0.19	 1.06	 0.03	 0.78	 0.46	 0.60	 0.48
156.940264	+22.848927	NGC  3248   	 UGC  5669     	PGC30776   	-2.0	     	     	     	     	     	     	 0.00	 0.00
156.925262	+27.116709	            	 UGC  5670     	PGC30780   	 4.0	     	     	     	     	     	     	 1.40	 0.03
156.964831	-43.905603	NGC  3256   	 ESO  263- 38  	PGC30785   	99.0	12.15	 0.08	 0.64	 0.01	     	-0.08	 0.35	 0.59
156.973585	-40.080599	NGC  3250A  	 ESO  317- 30  	PGC30790   	 2.6	     	     	     	     	     	     	 1.04	 0.50
156.981515	+19.490867	A   1025+19 	 MCG  3-27- 42 	PGC30791   	    	     	     	     	     	     	     	 0.10	 0.03
156.991502	-39.815876	NGC  3250D  	 ESO  317- 31  	PGC30792   	-1.7	     	     	     	     	     	     	 0.00	 0.40
156.975238	+49.983398	            	 UGC  5668     	PGC30795   	 6.0	     	     	     	     	     	     	 0.30	 0.00
157.008583	-42.110879	            	 ESO  317- 32  	PGC30798   	 3.4	     	     	     	     	     	     	 0.65	 0.52
157.073349	+79.824800	NGC  3212   	 UGC  5643     	PGC30813   	    	     	     	     	     	     	     	 0.22	 0.01
157.078176	-31.519200	IC   2580   	 ESO  436- 25  	PGC30814   	 4.8	13.20	 0.20	 0.66	 0.06	 0.58	 0.01	 0.05	 0.23
157.079840	-35.454205	NGC  3258A  	 ESO  375- 32  	PGC30815   	-1.3	14.10	 0.30	 0.92	 0.03	 0.83	 0.42	 0.00	 0.28
157.086931	+22.572260	            	 UGC  5672     	PGC30818   	    	     	     	     	     	     	     	 0.78	 0.00
157.093926	+68.416464	IC   2574   	 UGC  5666     	PGC30819   	 9.0	10.80	 0.19	 0.44	 0.08	 0.42	     	 0.40	 0.07
157.103591	-34.472537	            	 ESO  375- 33  	PGC30823   	 4.0	     	     	     	     	     	     	 0.15	 0.36
157.100269	 -3.233329	            	 CGCG   9- 52  	PGC30828   	    	     	     	     	     	     	     	     	 0.06
157.114851	+12.706136	NGC  3253   	 UGC  5674     	PGC30829   	 4.0	14.30	 0.14	 0.72	 0.03	 0.63	     	 0.03	 0.08
157.125266	+19.566701	            	 UGC  5675     	PGC30831   	 9.0	     	     	     	     	     	     	 0.20	 0.03
157.148185	 +3.560847	            	 UGC  5677     	PGC30832   	 8.0	     	     	     	     	     	     	 1.23	 0.06
157.175269	 +3.666680	            	 UGC  5678     	PGC30839   	 4.0	     	     	     	     	     	     	 0.27	 0.06
157.174184	+79.813411	NGC  3215   	 UGC  5659     	PGC30840   	    	     	     	     	     	     	     	 0.03	 0.01
157.178169	+39.837834	A   1025+40 	 CGCG 212- 11  	PGC30842   	    	     	     	     	     	     	     	     	 0.00
157.196506	-35.657816	NGC  3257   	 ESO  375- 36  	PGC30849   	-2.7	14.11	 0.13	 0.98	 0.02	 0.89	 0.48	 0.00	 0.28
157.200269	 +4.200014	            	 CGCG  37- 47  	PGC30852   	    	     	     	     	     	     	     	     	 0.07
157.200186	+66.816741	            	 UGC  5671     	PGC30853   	10.0	     	     	     	     	     	     	 0.29	 0.03
157.223599	+19.759756	            	 UGC  5681     	PGC30855   	 3.0	     	     	     	     	     	     	 0.90	 0.02
157.225263	+26.333375	            	 UGC  5679     	PGC30856   	    	     	     	     	     	     	     	 0.68	 0.00
157.224426	-31.609478	            	 ESO  436- 27  	PGC30857   	-2.0	12.60	 0.20	 0.88	 0.07	     	 0.15	 0.00	 0.23
157.226090	-35.606150	NGC  3258   	 ESO  375- 37  	PGC30859   	-5.0	12.49	 0.13	 1.01	 0.01	 0.92	 0.54	 0.00	 0.28
157.239840	-35.804205	            	               	PGC30860   	10.0	     	     	     	     	     	     	 0.11	 0.27
157.254002	-40.083099	NGC  3250E  	 ESO  317- 34  	PGC30865   	 6.0	     	     	     	     	     	     	 0.25	 0.48
157.255664	-44.403104	NGC  3256B  	 ESO  263- 39  	PGC30867   	 4.2	     	     	     	     	     	     	 0.78	 0.68
157.258997	-44.656438	NGC  3261   	 ESO  263- 40  	PGC30868   	 3.0	     	     	     	     	     	     	 0.16	 0.68
157.250230	+54.700068	            	 UGC  5676     	PGC30871   	 8.0	     	     	     	     	     	     	 0.22	 0.00
157.274832	-43.853103	NGC  3256C  	 ESO  263- 41  	PGC30873   	 7.0	     	     	     	     	     	     	 0.18	 0.59
157.276090	-35.594483	NGC  3260   	 ESO  375- 40  	PGC30875   	-4.7	13.71	 0.13	 1.06	 0.01	 0.97	     	 0.00	 0.28
157.277331	-44.161437	NGC  3262   	 ESO  263- 42  	PGC30876   	-1.5	     	     	     	     	     	     	 0.00	 0.59
157.294427	-30.344476	IC   2582   	 ESO  436- 28  	PGC30880   	 4.8	     	     	     	     	     	     	 0.15	 0.14
157.302769	 +6.127239	            	 UGC  5687     	PGC30885   	 6.0	     	     	     	     	     	     	 1.40	 0.02
157.307331	-44.104770	NGC  3263   	 ESO  263- 43  	PGC30887   	 6.0	12.50	 0.20	 0.61	 0.05	 0.37	 0.31	 0.82	 0.59
157.320680	+26.099486	NGC  3251   	 UGC  5684     	PGC30892   	    	     	     	     	     	     	     	 1.05	 0.04
157.333594	+29.491157	NGC  3254   	 UGC  5685     	PGC30895   	 4.0	12.41	 0.13	 0.68	 0.03	 0.50	 0.09	 0.74	 0.04
157.350214	+60.283405	            	 UGC  5680     	PGC30898   	    	     	     	     	     	     	     	 0.82	 0.00
157.350269	 -3.733330	            	 CGCG   9- 57  	PGC30899   	    	     	     	     	     	     	     	     	 0.05
157.374016	+19.620867	            	 UGC  5690     	PGC30903   	    	     	     	     	     	     	     	 0.11	 0.03
157.375686	 -3.761386	            	 MCG  0-27- 22 	PGC30904   	    	     	     	     	     	     	     	     	 0.05
157.381507	-35.259760	A   1027-35A	 ESO  375- 41  	PGC30905   	-2.8	     	     	     	     	     	     	 0.00	 0.28
157.384420	-39.841432	            	 ESO  317- 36  	PGC30907   	 1.0	     	     	     	     	     	     	 0.22	 0.37
157.405264	-24.113080	            	 ESO  501-  1  	PGC30915   	 7.0	     	     	     	     	     	     	 0.32	 0.31
157.411102	 -3.846108	            	 MCG -1-27-  9 	PGC30917   	 5.0	     	     	     	     	     	     	 0.20	 0.05
157.443588	-38.348375	            	 ESO  317- 38  	PGC30927   	 1.0	     	     	     	     	     	     	 0.50	 0.27
157.445268	+13.017804	            	 UGC  5695     	PGC30928   	    	     	     	     	     	     	     	 0.65	 0.08
157.456934	+16.183085	A   1027+16 	 CGCG  94- 75  	PGC30932   	    	     	     	     	     	     	     	     	 0.06
157.457341	-35.323372	NGC  3267   	 ESO  375- 42  	PGC30934   	-2.0	     	     	     	     	     	     	 0.00	 0.28
157.951097	-26.565861	            	 ESO  501-  3  	PGC31085   	-3.0	     	     	     	     	     	     	 0.00	 0.24
157.450266	+19.833368	            	 UGC  5696     	PGC30935   	 3.0	     	     	     	     	     	     	 0.31	 0.02
