#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:11:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:11:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,_RA,_DE,Kmag,W50,TT,HRV,Dist,f_Dist,i,vAmp,KLum,MHI,Vlg,Ti1,MD,Ti5&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
Name	_RAJ2000	_DEJ2000	Kmag	W50	TT	HRV	Dist	f_Dist	i	vAmp	KLum	MHI	Vlg	Ti1	MD	Ti5
KDG061            	149.261250	+68.591667	10.86	   	-1	 221	 3.60	TRGB	64	   	 8.09	     	 360	 4.0	MESSIER081     	 4.0
ClumpI            	149.338333	+68.715278	17.17	   	10	-165	 3.60	mem 	50	   	 5.57	     	 -25	 4.2	MESSIER081     	 4.3
A0952+69          	149.370833	+69.272222	14.11	 48	10	  99	 3.87	TRGB	69	 21	 6.86	 7.00	 242	 2.0	NGC3077        	 2.2
HolmIX            	149.385000	+69.043056	11.86	 50	10	  50	 3.61	TRGB	41	 31	 7.70	 8.40	 192	 5.1	MESSIER081     	 5.1
[CKT2009]d0958+66 	149.702083	+66.849722	13.41	 22	 9	  90	 4.04	TRGB	64	  3	 7.17	 5.92	 221	 1.0	MESSIER081     	 1.3
LeoA              	149.860000	+30.746389	10.49	 19	10	  24	 0.81	TRGB	61	  3	 6.93	 7.04	 -40	-0.1	Milky Way      	 0.1
[CKT2009]d0959+68 	149.887917	+68.656944	15.36	   	10	-186	 3.60	mem 	52	   	 6.29	     	 -46	 4.0	MESSIER081     	 4.0
KKSG16            	149.947917	 -9.343333	13.62	   	-3	    	 9.70	mem 	48	   	 7.85	 7.03	    	 1.3	NGC3115        	 1.3
SexB              	150.000417	 +5.332222	 9.50	 38	10	 300	 1.36	TRGB	53	 18	 7.78	 7.66	 110	-0.8	Milky Way      	-0.5
KKH57             	150.066667	+63.185000	13.69	   	-3	    	 3.91	TRGB	41	   	 7.02	 5.52	    	 0.9	MESSIER081     	 1.1
LV J1000+5022     	150.106250	+50.379167	14.70	   	 9	 538	 7.97	h   	46	   	 7.24	     	 582	-0.9	NGC2841        	-0.6
LV J1000+3032     	150.152083	+30.536111	15.64	 20	10	 501	 7.10	TF  	51	  3	 6.76	 6.33	 436	-0.6	UGC05427       	-0.3
ClumpIII          	150.168333	+68.660278	17.17	   	10	-121	 3.60	mem 	20	   	 5.57	     	  19	 3.9	MESSIER081     	 3.9
MCG -01-26-009    	150.390000	 -6.525000	13.61	 38	10	 748	 9.70	mem 	44	 21	 7.85	 7.71	 510	 1.8	NGC3115        	 1.8
KKSG17            	150.410000	 -8.248889	12.82	 49	10	 446	 9.70	mem 	90	 20	 8.17	 7.72	 203	 2.3	NGC3115        	 2.3
UGCA193           	150.650833	 -6.011944	12.00	123	 7	 663	 9.70	mem 	90	 53	 8.50	 8.55	 427	 1.5	NGC3115        	 1.5
NGC3109           	150.780000	-26.160000	 7.50	117	 8	 403	 1.32	TRGB	83	 51	 8.57	 8.37	 110	 0.2	Antlia         	 0.2
NGC3077           	150.837500	+68.733889	 7.32	 70	 9	  19	 3.82	TRGB	38	 49	 9.56	 8.79	 159	 3.2	GARLAND        	 3.3
GARLAND           	150.925000	+68.693333	14.18	   	10	  43	 3.82	TRGB	62	   	 6.81	 7.54	 183	 6.0	NGC3077        	 6.0
ESO499-038        	150.959167	-26.612778	13.06	 77	10	 885	15.30	TF  	67	 36	 8.47	 8.73	 591	-1.8	NGC3585        	-1.4
NGC3104           	150.989167	+40.756944	11.24	102	 8	 603	16.00	TF  	57	 53	 9.23	 9.04	 594	-2.0	NGC3079        	-1.5
Antlia            	151.016667	-27.331944	12.73	 22	10	 362	 1.32	TRGB	47	  3	 6.47	 5.92	  66	 2.3	NGC3109        	 2.3
BK5N              	151.167917	+68.255556	13.20	   	-3	    	 3.78	TRGB	52	   	 7.20	     	    	 2.6	NGC3077        	 2.8
UGC05427          	151.170833	+29.366389	12.20	 71	 8	 498	 7.11	BS  	49	 41	 8.14	 7.47	 427	-1.2	NGC3344        	-0.7
KDG063            	151.280417	+66.555000	11.53	 19	-3	-129	 3.50	TRGB	34	  4	 7.80	 6.91	   0	 2.0	MESSIER081     	 2.2
NGC3115           	151.308333	 -7.718611	 5.88	238	-1	 681	 9.68	SBF 	90	107	10.95	 8.75	 439	 2.3	KDG065         	 2.6
UGC05423          	151.377500	+70.364444	11.99	 44	10	 348	 8.71	TRGB	55	 21	 8.41	 7.84	 496	-1.2	NGC2787        	-0.8
KDG065            	151.393333	 -7.749167	12.23	   	-3	 721	 9.70	mem 	59	   	 8.39	     	 479	 4.9	NGC3115        	 4.9
KKSG18            	151.423333	 -7.981389	10.05	   	 9	 698	 9.70	mem 	41	   	 9.27	     	 456	 3.9	NGC3115        	 3.9
[CKT2009]d1006+67 	151.692500	+67.201111	15.32	   	-3	    	 3.87	TRGB	17	   	 6.37	     	    	 1.6	MESSIER081     	 1.9
KDG064            	151.757917	+67.827500	11.19	   	-3	 -15	 3.70	TRGB	90	   	 7.98	     	 121	 2.7	MESSIER081     	 2.7
Segue 1           	151.763333	+16.073611	11.98	   	-3	 206	 0.02	CMD 	90	   	 3.24	 1.12	  67	 4.3	Milky Way      	 4.3
UGC05456          	151.832083	+10.362222	11.63	 62	 9	 527	 5.60	TRGB	72	 28	 8.16	 7.71	 360	-1.9	NGC2903        	-1.3
KKH58             	151.844583	+38.969722	12.94	 83	 8	 587	18.40	TF  	62	 41	 8.67	 8.47	 569	-1.6	PGC2125269     	-1.2
IKN               	152.024583	+68.399167	12.16	   	-3	-140	 3.75	TRGB	39	   	 7.60	 6.20	  -1	 2.5	MESSIER081     	 2.6
LeoI              	152.112083	+12.308056	 6.93	   	-1	 283	 0.25	TRGB	42	   	 7.34	 3.18	 125	 1.4	Milky Way      	 1.4
[CKT2009]d1009+70 	152.395417	+70.548611	13.36	   	-1	    	 9.00	TRGB	35	   	 7.90	     	    	-1.0	UGC05423       	-0.7
SexA              	152.753333	 -4.692778	10.18	 46	10	 324	 1.32	Cep 	38	 30	 7.49	 7.82	  94	-0.8	Milky Way      	-0.4
UGC05497          	153.201667	+64.107500	13.18	 16	 9	 150	 3.70	TRGB	48	  3	 7.18	 6.02	 267	 1.4	MESSIER081     	 1.5
SexDSph           	153.262500	 -1.614444	 7.01	   	-3	 227	 0.09	TRGB	64	   	 6.42	 2.30	   9	 2.7	Milky Way      	 2.7
[CKT2009]d1014+68 	153.732500	+68.757500	15.92	   	-1	    	 4.57	TRGB	29	   	 6.27	 5.84	    	 0.0	MESSIER081     	 0.2
[CKT2009]d1015+69 	153.778750	+69.037500	16.21	   	-1	    	 4.07	TRGB	13	   	 6.06	     	    	 1.3	IC2574         	 1.5
KUG 1013+414      	154.065000	+41.166389	12.73	   	 8	 518	11.12	mem 	68	   	 8.32	     	 513	 2.7	NGC3184        	 2.7
NGC3184           	154.570833	+41.424444	 7.23	128	 6	 592	11.12	SN  	22	149	10.52	 9.28	 588	 0.6	LV J1018+4109  	 0.8
LV J1018+4109     	154.592500	+41.165833	14.25	   	-1	    	11.10	mem 	34	   	 7.71	     	    	 3.4	NGC3184        	 3.4
HIJASS J1021+6842 	155.250833	+68.700000	     	 50	11	  46	 3.70	mem 	  	   	     	 7.51	 187	 2.3	MESSIER081     	 2.4
HS117             	155.355000	+71.116111	14.50	 13	10	 -37	 3.96	TRGB	62	  3	 6.72	 5.01	 116	 1.2	MESSIER081     	 1.5
LV J1021+0054     	155.412083	 +0.900000	14.94	   	10	 701	 6.78	h   	49	   	 7.01	 7.03	 495	-1.5	NGC3115        	-1.1
LeoP              	155.437917	+18.088056	14.75	 16	10	 262	 2.00	txt 	68	  3	 6.02	 5.85	 135	-1.3	Milky Way      	-0.8
AGC731448         	155.937500	+27.110833	14.14	 39	 9	 540	13.50	TF  	56	 18	 7.92	 7.61	 460	-1.3	NGC3227        	-1.0
KKSG19            	156.117917	-12.432500	14.17	 30	10	 628	 5.11	h   	34	 15	 7.07	 7.20	 373	-1.8	NGC5128        	-1.2
NGC3239           	156.270417	+17.163611	 9.00	160	 8	 754	 7.90	TF  	53	 87	 9.52	 8.89	 623	-1.1	NGC2903        	-0.7
DDO078            	156.616250	+67.656667	12.29	   	-3	  55	 3.72	TRGB	22	   	 7.54	     	 191	 1.9	MESSIER081     	 2.0
UGC05672          	157.087083	+22.571389	11.55	 82	 8	 531	11.40	TF  	76	 37	 8.81	 8.31	 428	-1.1	NGC3379        	-0.6
IC2574            	157.093333	+68.416111	 7.95	107	 8	  43	 4.02	TRGB	67	 51	 9.35	 9.06	 183	 1.0	MESSIER081     	 1.2
LV J1028+4240     	157.137500	+42.668889	15.01	   	10	 547	 7.55	h   	51	   	 7.06	     	 551	-1.3	NGC4258        	-0.9
[CKT2009]d1028+70 	157.165417	+70.233611	13.69	 20	10	-114	 4.00	TRGB	45	  4	 7.04	 6.16	  35	 2.0	DDO082         	 2.1
AGC749315         	157.276667	+26.910556	16.66	 31	 9	 645	21.50	TF  	34	 17	 7.32	 7.57	 564	-1.8	NGC3504        	-1.2
DDO082            	157.645833	+70.619444	10.29	   	 9	  56	 4.00	TRGB	63	   	 8.41	 6.06	 207	 1.1	MESSIER081     	 1.4
LV J1030+0607     	157.684583	 +6.127222	14.35	 27	10	 640	 7.80	TF  	62	  7	 7.36	 7.16	 458	-1.3	NGC3623        	-0.7
AGC205156         	157.720417	+12.446667	16.13	 21	 9	 915	10.43	TF  	20	  7	 6.90	 6.86	 762	 0.3	NGC3368        	 0.7
AGC731457         	157.982500	+28.025833	14.34	 36	10	 454	 9.20	TF  	58	 15	 7.51	 7.09	 380	-1.3	NGC2903        	-0.8
NGC3274           	158.071250	+27.668611	10.74	160	 7	 541	 7.98	BS  	63	 79	 8.83	 8.76	 465	-1.2	NGC3344        	-0.7
BK6N              	158.632917	+66.011667	12.75	   	-3	    	 3.85	TRGB	66	   	 7.38	     	    	 1.2	MESSIER081     	 1.4
UMa I             	158.720000	+51.920000	11.12	   	-3	 -55	 0.10	TRGB	90	   	 4.87	 3.80	   0	 2.5	Milky Way      	 2.6
AGC202248         	158.733750	+11.492222	15.08	 62	10	1177	10.40	mem 	48	 36	 7.32	 7.18	1020	 0.7	NGC3368        	 1.0
ESO501-023        	158.846667	-24.754167	10.34	 63	 8	1042	 7.00	TF  	38	 44	 8.88	 8.53	 756	-1.1	NGC3621        	-0.9
LeG03             	158.953333	 +8.479722	14.60	 70	 8	1158	10.40	mem 	79	 31	 7.51	 7.69	 987	 0.2	NGC3368        	 0.6
KUG 1033+366B     	159.073333	+36.425278	14.58	   	 9	 620	 8.10	h   	69	   	 7.30	     	 592	-0.9	DDO084         	-0.6
NGC3299           	159.099167	+12.707500	10.97	112	 8	 604	10.40	mem 	40	 76	 8.96	 8.07	 453	 0.8	NGC3368        	 1.1
DDO083            	159.180417	+31.546667	13.41	106	10	 582	10.90	txt 	90	 46	 8.03	 8.56	 527	-1.4	NGC3184        	-0.9
AGC205165         	159.270000	+15.337500	13.90	 27	 9	 724	10.40	mem 	48	  8	 7.79	 6.87	 586	 0.2	NGC3368        	 0.7
AGC200499         	159.533333	+10.380833	11.56	178	 9	1175	10.40	mem 	44	113	 8.73	 8.29	1013	 0.9	NGC3368        	 1.1
AGC208397         	159.742083	 +3.874167	17.19	 33	10	 763	26.20	TF  	62	 12	 7.28	 7.83	 573	-3.0	NGC4321        	-2.3
UGC05797          	159.855000	 +1.718611	11.81	 48	 9	 710	 7.00	h   	33	 36	 8.28	 7.65	 511	-1.5	NGC3115        	-1.0
LeG04             	159.917500	+12.735000	16.24	   	10	    	10.40	mem 	72	   	 6.85	 6.93	    	 1.9	LeG05          	 2.0
LeG05             	159.930417	+12.634444	14.32	 22	10	 780	10.40	mem 	69	  3	 7.62	 6.31	 629	 1.3	NGC3368        	 1.7
LeG06             	159.982083	+13.907778	15.81	 21	10	1007	10.40	mem 	57	  3	 7.03	 6.85	 863	 0.8	NGC3368        	 1.1
AGC208399         	160.044583	 +4.908889	17.54	 23	10	 747	20.90	TF  	32	  5	 6.94	 8.04	 561	-2.3	UGC05923       	-1.8
UGC05812          	160.235833	+12.471944	12.81	 56	 8	1008	10.40	mem 	68	 26	 8.23	 7.60	 857	 1.5	NGC3368        	 1.7
[CKT2009]d1041+70 	160.320000	+70.150833	16.98	   	10	    	 3.91	TRGB	62	   	 5.71	 5.28	    	 1.2	MESSIER081     	 1.4
FS04              	160.501250	+12.335000	13.00	 36	 8	 772	10.40	mem 	64	 14	 8.15	 7.46	 621	 1.8	NGC3368        	 2.0
LeG09             	160.644167	+12.150556	14.30	   	-2	    	10.40	mem 	39	   	 7.63	 7.09	    	 2.0	NGC3368        	 2.1
DDO084            	160.674583	+34.448889	11.17	 74	 8	 630	 8.11	h   	43	 47	 8.67	 8.79	 592	-1.5	NGC4258        	-0.9
AGC205268         	160.718333	+13.741111	14.93	 70	 9	1145	10.40	mem 	64	 34	 7.38	 8.03	1001	    	               	
ESO376-016        	160.862917	-37.042500	12.95	 41	10	 670	 7.10	TF  	66	 17	 7.84	 8.06	 366	-0.7	NGC3621        	-0.6
NGC3344           	160.875833	+24.923611	 7.44	157	 4	 588	 6.85	h   	27	153	10.02	 9.13	 500	-1.6	NGC2903        	-1.0
LeG10             	160.980833	+12.135278	16.75	   	10	    	10.40	mem 	20	   	 6.65	 7.09	    	 2.4	NGC3368        	 2.5
NGC3351           	160.990417	+11.703611	 6.67	270	 3	 777	10.05	Cep 	49	162	10.66	 8.94	 623	 1.1	NGC3368        	 1.2
LeG11             	161.008750	+15.588889	16.32	   	10	    	10.40	mem 	29	   	 6.82	 7.25	    	 0.3	NGC3368        	 0.9
LeG12             	161.032500	+11.533056	16.03	   	10	    	10.40	mem 	41	   	 6.94	 7.41	    	 2.5	NGC3368        	 2.5
AGC205445         	161.147083	+13.939722	12.17	   	-1	 633	10.40	mem 	37	   	 8.48	     	 490	 1.1	NGC3368        	 1.4
LeG13             	161.240000	+11.916111	14.99	 24	10	 871	10.40	mem 	81	  3	 7.35	 6.75	 718	 3.1	NGC3368        	 3.1
LeG14             	161.560000	+12.960000	14.51	   	-3	    	10.40	mem 	34	   	 7.55	 7.06	    	 1.9	NGC3368        	 2.1
KK93              	161.603333	+14.025000	13.78	   	-3	    	10.40	mem 	24	   	 7.84	 7.09	    	 1.3	NGC3412        	 1.6
LeG16             	161.625000	+11.755833	14.80	   	-2	    	10.40	mem 	13	   	 7.43	     	    	 4.5	NGC3368        	 4.5
LeG17             	161.672917	+12.326389	12.79	 37	-1	1030	10.40	mem 	44	 20	 8.23	 7.50	 880	 2.9	NGC3368        	 3.0
NGC3368           	161.690833	+11.819722	 6.32	343	 3	 893	10.42	Cep 	49	210	10.83	 9.18	 740	 1.1	LeG16          	 1.5
LeG18             	161.722083	+12.744444	16.46	 38	10	 636	10.40	mem 	47	 19	 6.77	 7.15	 488	 3.2	LeG19          	 3.3
LeG19             	161.728333	+12.788056	13.61	   	-1	    	10.40	mem 	52	   	 7.91	     	    	 2.1	NGC3368        	 2.5
KK94              	161.738750	+12.998333	15.03	 35	10	 832	10.40	mem 	35	 21	 7.34	 7.69	 684	 2.3	LeG21          	 2.5
LeG21             	161.753333	+12.959722	16.13	 23	10	 843	10.40	mem 	47	  3	 6.90	 7.09	 696	 2.8	KK94           	 2.9
DDO088            	161.842917	+14.070278	11.91	 43	 9	 573	 7.73	TRGB	20	 50	 8.33	 7.87	 431	-1.0	NGC3623        	-0.5
ESO318-013        	161.924583	-38.854167	12.07	 54	 8	 718	 6.50	TF  	90	 22	 8.12	 8.01	 413	-0.6	NGC3621        	-0.5
NGC3377           	161.926667	+13.985556	 7.44	   	-2	 678	10.91	SBF 	68	   	10.42	     	 536	 1.4	NGC3379        	 1.5
NGC3379           	161.956667	+12.581667	 6.27	   	-3	 923	11.12	SBF 	33	   	10.90	     	 774	 1.5	NGC3384        	 1.6
NGC3384           	162.070417	+12.629167	 6.75	   	-1	 704	11.38	SBF 	80	   	10.73	     	 556	 1.7	NGC3379        	 1.7
UGC05923          	162.281667	 +6.917222	11.46	142	 7	 709	22.30	TF  	63	 69	 9.44	 8.57	 534	-2.6	NGC4321        	-1.9
Willman1          	162.337500	+51.050000	11.89	   	-2	 -12	 0.04	CMD 	74	   	 3.72	 2.96	  41	 3.7	Milky Way      	 3.7
DDO087            	162.402083	+65.530556	11.86	 66	10	 340	 7.45	BS  	29	 59	 8.31	 8.24	 468	-1.0	NGC2787        	-0.7
LeG22             	162.404583	+11.351667	15.53	   	10	    	10.40	mem 	56	   	 7.14	     	    	 2.3	NGC3368        	 2.3
LeG23             	162.537917	+13.483611	16.62	   	10	    	10.40	mem 	20	   	 6.70	     	    	 3.7	NGC3412        	 3.7
UGC05944          	162.579583	+13.271944	12.00	   	-1	1073	11.07	SBF 	16	   	 8.60	     	 928	 2.1	NGC3379        	 2.2
KK96              	162.612917	+12.360833	14.10	   	-3	    	10.40	mem 	45	   	 7.71	     	    	 2.0	NGC3368        	 2.2
NGC3412           	162.722083	+13.412222	 7.67	   	-1	 846	10.40	mem 	66	   	10.28	 7.81	 702	 1.3	NGC3368        	 1.4
NGC3413           	162.836250	+32.766389	10.36	142	 8	 634	12.02	TF  	60	 71	 9.34	 8.83	 589	-1.6	NGC3184        	-1.0
LeG26             	162.837917	+12.849167	12.71	   	-2	 630	10.40	mem 	31	   	 8.27	 7.41	 483	 2.3	NGC3412        	 2.4
AGC205540         	162.880833	+14.114722	15.52	   	10	 832	10.40	mem 	60	   	 7.14	 7.53	 691	 2.0	NGC3412        	 2.0
KKH65             	162.996250	+28.362500	13.23	   	-2	    	10.00	txt 	35	   	 8.02	     	    	-1.4	NGC3627        	-0.8
AGC205544         	163.020000	+15.030556	12.92	   	-1	 828	10.40	mem 	41	   	 8.18	 7.41	 692	 0.9	NGC3412        	 1.2
LV J1052+3628     	163.022917	+36.476667	15.50	   	10	 476	 9.20	mem 	53	   	 7.04	     	 451	 3.4	NGC3432        	 3.4
UGC05983          	163.072917	+36.593333	13.60	   	10	 765	 9.20	mem 	61	   	 7.80	     	 741	 4.9	NGC3432        	 4.9
AGC202456         	163.081250	+11.043333	12.01	   	-1	 824	10.40	mem 	30	   	 8.55	 7.41	 669	 1.5	NGC3368        	 1.6
LeG27             	163.083750	+14.707222	14.42	   	-2	    	10.40	mem 	57	   	 7.58	     	    	 1.2	NGC3412        	 1.5
NGC3432           	163.129583	+36.618889	 9.06	248	 8	 611	 9.20	TF  	80	113	 9.64	 9.52	 587	 3.1	UGC05983       	 3.3
LV J1052+3639     	163.170000	+36.665000	13.40	   	10	 511	 9.20	mem 	90	   	 7.88	     	 487	 4.7	NGC3432        	 4.7
KDG073            	163.237917	+69.545833	14.73	 18	10	 116	 3.70	TRGB	38	  4	 6.56	 6.51	 263	 1.4	MESSIER081     	 1.6
LeG28             	163.252917	+10.379167	15.85	   	10	    	10.40	mem 	72	   	 7.01	     	    	 1.1	NGC3368        	 1.3
UGC06014          	163.427917	 +9.728056	12.49	 94	 9	1133	10.40	mem 	65	 45	 8.36	 7.80	 972	 0.8	NGC3368        	 1.0
LSBC D640-12      	163.987917	+12.338889	15.98	 22	10	 847	10.40	mem 	72	  3	 6.96	 6.41	 699	 1.0	NGC3368        	 1.4
LSBC D640-13      	164.058333	+12.010278	14.48	 30	10	 989	10.40	mem 	65	 10	 7.56	 7.63	 840	 1.0	NGC3368        	 1.3
HS1053+3624       	164.168333	+36.141111	15.34	   	10	 572	 9.20	mem 	74	   	 7.11	     	 546	 1.2	VV747          	 1.5
ESO215-009        	164.375833	-48.178889	12.60	 65	10	 598	 5.25	TRGB	62	 32	 7.74	 8.82	 290	-1.2	NGC4945        	-0.7
VV747             	164.445833	+36.260833	13.07	   	10	 619	 9.20	mem 	66	   	 8.02	     	 594	 0.9	NGC3432        	 1.0
CGCG 095-078      	164.509167	+19.505278	13.15	 30	 9	 650	 7.37	h   	75	  9	 7.79	 7.03	 538	-0.9	NGC3344        	-0.5
LSBC D640-14      	164.543750	+11.999167	14.34	   	-2	    	10.40	mem 	59	   	 7.61	     	    	 0.8	NGC3368        	 1.1
AGC205278         	164.717083	+14.129444	14.88	 36	10	 686	10.40	mem 	54	 16	 7.40	 6.95	 548	 0.6	NGC3412        	 1.0
NGC3489           	165.077500	+13.901111	 7.37	113	 1	 695	12.08	SBF 	60	 56	10.53	 7.36	 556	-0.2	NGC3384        	 0.2
LeG33             	165.188333	+14.172222	16.18	   	10	    	10.40	mem 	67	   	 6.88	     	    	 1.1	LSBC D640-08   	 1.3
LSBC D640-08      	165.217083	+13.880833	12.80	   	-3	    	10.40	mem 	75	   	 8.23	     	    	 0.4	NGC3412        	 0.9
CGCG 066-109      	166.110417	+11.755000	13.80	 44	10	 777	10.40	mem 	90	 18	 7.83	 7.65	 629	 0.4	NGC3627        	 0.9
KKSG20            	166.169167	 +0.058333	15.01	 25	10	 835	10.70	mem 	41	  5	 7.37	 6.18	 636	 3.9	NGC3521        	 3.9
MRK0036           	166.243750	+29.139444	14.00	 41	 9	 646	 8.02	h   	58	 19	 7.52	 7.37	 585	-1.4	NGC3344        	-0.8
UGC06145          	166.395833	 -1.863611	13.88	 41	10	 753	10.70	mem 	66	 17	 7.83	 7.97	 546	 1.5	NGC3521        	 1.5
NGC3521sat        	166.419583	 +0.120833	11.90	   	-1	    	10.70	mem 	45	   	 8.62	     	    	 4.7	NGC3521        	 4.7
NGC3521           	166.452500	 -0.035833	 5.78	441	 4	 797	10.70	TF  	66	228	11.09	 9.65	 598	 2.2	NGC3521sat     	 2.2
KKSG22            	166.532083	 -1.448611	15.67	   	10	    	10.70	mem 	41	   	 7.11	 7.11	    	 1.9	NGC3521        	 1.9
NGC3556           	167.879167	+55.673889	 7.04	308	 6	 696	 9.90	TF  	80	144	10.52	 9.42	 777	-1.3	UGC06446       	-0.8
DDO092            	168.358750	+53.595000	13.20	 45	 9	 928	 9.90	mem 	44	 26	 8.02	 8.32	 999	 0.9	NGC3556        	 0.9
LeoII             	168.371667	+22.154722	 8.45	   	-3	  86	 0.21	TRGB	36	   	 6.58	 4.02	  -8	 1.6	Milky Way      	 1.7
NGC3593           	168.649583	+12.818611	 7.42	254	 1	 631	10.80	TF  	73	120	10.43	 8.33	 492	 0.8	NGC3627        	 0.9
AGC202256         	168.687500	+12.647500	14.28	 42	10	 630	11.00	TF  	61	 19	 7.69	 7.25	 490	 1.5	NGC3593        	 1.6
IC2684            	169.254167	+13.099722	13.69	 25	10	 588	10.30	mem 	47	  5	 7.87	 7.16	 451	 2.6	NGC3627        	 2.6
NGC3621           	169.567083	-32.811667	 6.60	271	 7	 730	 6.70	Cep 	65	136	10.35	 9.63	 440	-1.7	NGC4594        	-1.1
AGC215354         	169.816250	+14.290278	14.96	   	 9	 790	10.42	mem 	62	   	 7.37	 7.41	 659	 1.7	NGC3627        	 1.8
NGC3627           	170.062500	+12.991389	 5.88	369	 4	 716	10.28	Cep 	66	189	11.01	 9.01	 579	 1.1	NGC3628        	 1.3
AGC213436         	170.600000	+12.979444	12.50	   	-1	 626	10.30	mem 	13	   	 8.34	     	 491	 3.1	NGC3627        	 3.1
KKH67             	170.764583	+21.326944	14.21	   	-2	    	10.00	txt 	42	   	 7.63	     	    	-0.5	NGC3628        	 0.1
IC2787            	170.829583	+13.629722	13.23	 49	 9	 708	10.30	mem 	24	 50	 8.05	 7.27	 576	 2.3	NGC3627        	 2.3
IC2791            	170.906667	+12.895833	14.45	 22	 9	 666	10.30	mem 	54	  3	 7.56	 6.70	 530	 2.5	NGC3627        	 2.5
UGC06456          	172.002500	+78.991389	12.48	 37	10	 -94	 4.35	TRGB	69	 15	 7.60	 7.77	  99	-0.1	MESSIER081     	 0.1
KDG078            	172.475000	+52.403889	14.29	 26	10	 575	 9.00	txt 	51	  7	 7.51	 6.74	 644	-0.7	NGC4258        	-0.3
LeoV              	172.790000	 +2.220000	13.39	   	-3	 173	 0.18	CMD 	90	   	 4.46	 2.88	  -7	 1.8	Milky Way      	 1.9
HIPASS J1131-31   	172.896667	-31.672222	14.38	 30	10	 715	 6.70	mem 	62	 10	 7.22	 7.33	 432	 0.7	NGC3621        	 0.7
LeoIV             	173.237500	 -0.533333	12.70	   	-3	 132	 0.16	HB  	48	   	 4.63	 2.78	 -58	 2.0	Milky Way      	 2.0
