#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
     391	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	WL+SL	 7.01	 0.54	 0.52	  6.710	  1.200	-	 1.110	 8.77	 0.67	 0.65	  7.670	   1.370	-	 1.270	Zitrin et al. (2011)                	Virial         	 0.300	 0.700	 0.700	Abell 383
     392	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	X-ray	 3.40	 0.03	 0.42	  4.430	  0.370	-	 0.370	 4.35	 0.04	 0.54	  5.420	   0.450	-	 0.450	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 383
     393	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	WL   	 7.70	 3.70	 3.70	  4.100	  1.000	-	 1.000	 9.60	 4.50	 4.50	  4.700	   1.300	-	 1.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 383
     394	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	WL   	 7.00	 1.20	 1.20	  7.900	  2.100	-	 2.100	 8.80	 1.50	 1.50	  9.100	   2.500	-	 2.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 383
     395	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	WL   	 2.62	 0.69	 0.69	  5.990	  2.090	-	 2.090	 3.38	 0.86	 0.86	  7.530	   2.850	-	 2.850	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 383
     396	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	X-ray	 3.44	 0.47	 0.36	  5.630	  2.040	-	 1.190	 4.48	 0.61	 0.47	  6.970	   2.530	-	 1.470	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 383
     397	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	WL+SL	 4.40	 1.00	 1.00	  8.700	  0.700	-	 0.700	 5.60	 1.30	 1.30	 10.400	   0.700	-	 0.700	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	Abell 383
     398	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	X-ray	 3.76	 0.53	 0.68	  6.620	  2.560	-	 1.340	 4.78	 0.65	 0.84	  7.950	   3.280	-	 1.680	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 383
     399	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	X-ray	 6.41	 0.57	 0.57	  4.100	  0.470	-	 0.470	 8.03	 0.70	 0.70	  4.720	   0.570	-	 0.570	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 383
     400	Abell 383            	 0.1880	02 48 02.00	-03 32 15.0	WL   	 6.97	 4.10	 2.40	  3.130	  0.990	-	 0.740	 8.87	 5.22	 3.05	  3.620	   1.150	-	 0.860	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 383
     401	ZwCl 0839.9+2937     	 0.1940	08 42 56.07	+29 27 25.7	WL   	 8.20	 4.40	 4.40	  2.900	  0.900	-	 0.900	10.20	 5.40	 5.40	  3.300	   1.100	-	 1.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ZwCl 0839+2937
     402	ZwCl 0839.9+2937     	 0.1940	08 42 56.07	+29 27 25.7	WL   	 5.67	 3.95	 2.13	  2.490	  0.920	-	 0.700	 7.24	 5.04	 2.72	  2.910	   1.080	-	 0.820	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	ZwCl 0839+2937
     403	ZwCl 0839.9+2937     	 0.1940	08 42 56.07	+29 27 25.7	X-ray	 6.50	 0.10	 0.10	  6.100	       	 	      	 8.10	 0.10	 0.10	  7.000	        	 	      	Wang et al. (2005)                  	200            	 0.300	 0.700	 0.700	ZwCl 0839+2937
     404	Abell 291            	 0.1960	02 01 44.20	-02 12 03.0	WL   	 1.80	 0.90	 0.90	  7.700	  2.300	-	 2.300	 2.40	 1.10	 1.10	 10.100	   3.700	-	 3.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 291
     405	Abell 291            	 0.1960	02 01 44.20	-02 12 03.0	WL   	 1.76	 1.00	 0.70	  5.190	  2.290	-	 1.520	 2.36	 1.34	 0.94	  7.020	   3.100	-	 2.060	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 291
     406	Abell 115            	 0.1971	00 55 59.76	+26 22 40.8	WL   	 2.70	 2.70	 2.70	  6.400	  4.000	-	 4.000	 3.50	 3.30	 3.30	  8.000	   5.900	-	 5.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 115
     407	Abell 115            	 0.1971	00 55 59.76	+26 22 40.8	WL   	 2.83	 3.86	 1.56	  4.260	  3.240	-	 1.950	 3.69	 5.03	 2.04	  5.360	   4.080	-	 2.450	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 115
     408	Abell 520            	 0.1990	04 54 19.00	+02 56 49.0	WL   	 2.24	 1.48	 1.48	  6.860	  3.320	-	 3.320	 2.90	 1.82	 1.82	  8.770	   3.400	-	 3.400	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 520
     409	Abell 520            	 0.1990	04 54 19.00	+02 56 49.0	X-ray	 3.79	     	     	129.000	       	 	      	 4.80	     	     	154.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	Abell 520
     410	Abell 2163           	 0.2030	16 15 34.10	-06 07 26.0	WL   	 2.18	 0.57	 0.50	 26.940	  5.700	-	 4.530	 2.84	 0.71	 0.61	 34.630	   8.570	-	 6.500	Okabe et al. (2011)                 	200    /virial 	 0.300	 0.700	      	Abell 2163
     411	Abell 2163           	 0.2030	16 15 34.10	-06 07 26.0	X-ray	 2.04	 0.37	 0.33	111.180	  5.920	-	 7.380	 2.70	 0.49	 0.44	145.930	   7.770	-	 9.690	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2163
     412	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	WL   	 3.40	 3.10	 1.60	  7.700	  4.300	-	 2.700	 4.40	 4.00	 2.10	  9.500	   5.300	-	 3.300	Paulin-Henriksson et al. (2007)     	200            	 0.270	 0.730	 0.700	Abell 209
     413	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	X-ray	 3.03	 0.67	 0.77	  8.600	  1.230	-	 1.230	 3.87	 0.86	 0.98	 10.590	   1.510	-	 1.510	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 209
     414	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	WL   	 2.10	 0.50	 0.50	 14.400	  2.700	-	 2.700	 2.70	 0.60	 0.60	 18.500	   4.000	-	 4.000	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 209
     415	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	WL   	 3.00	 0.30	 0.30	 23.100	  3.700	-	 3.700	 3.80	 0.40	 0.40	 28.500	   4.900	-	 4.900	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 209
     416	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	WL   	 3.00	 0.92	 0.92	 10.270	  2.910	-	 2.910	 3.83	 1.13	 1.13	 12.660	   3.990	-	 3.990	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 209
     417	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	X-ray	 3.11	 0.77	 0.67	 12.050	  2.340	-	 2.110	 4.04	 1.00	 0.87	 15.010	   2.910	-	 2.630	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 209
     418	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	WL+SL	 3.30	 0.90	 0.90	  9.500	  0.700	-	 0.700	 4.30	 1.10	 1.10	 11.700	   0.700	-	 0.700	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	Abell 209
     419	Abell 209            	 0.2060	01 31 53.00	-13 36 34.0	WL   	 2.05	 0.52	 0.45	 10.650	  2.520	-	 1.980	 2.71	 0.69	 0.60	 14.000	   3.310	-	 2.600	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 209
     420	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	X-ray	 4.35	 0.94	 0.76	  6.170	  0.830	-	 0.830	 5.49	 1.19	 0.96	  7.340	   0.990	-	 0.990	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 963
     421	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	WL   	 2.00	 0.70	 0.70	  7.400	  1.600	-	 1.600	 2.60	 0.90	 0.90	  9.600	   2.500	-	 2.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 963
     422	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	WL   	 8.35	 1.25	 1.25	  5.660	  1.290	-	 1.290	10.37	 1.52	 1.52	  6.410	   1.520	-	 1.520	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 963
     423	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	X-ray	 4.35	 1.01	 0.99	  8.220	  1.240	-	 0.910	 5.59	 1.30	 1.27	  9.900	   1.490	-	 1.100	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 963
     424	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	WL   	 1.94	 0.75	 0.60	  5.250	  1.640	-	 1.200	 2.57	 1.00	 0.79	  6.960	   2.170	-	 1.590	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 963
     425	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	X-ray	 4.39	 0.88	 0.88	  7.470	  3.050	-	 1.800	 5.53	 1.07	 1.08	  8.810	   3.840	-	 2.210	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	Abell 963
     426	Abell 963            	 0.2060	10 17 13.90	+39 01 31.0	X-ray	 5.72	 0.78	 1.07	  7.040	  1.960	-	 1.260	 7.16	 0.95	 1.31	  8.140	   2.430	-	 1.510	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	Abell 963
     427	RX J0439.0+0520      	 0.2080	04 39 02.20	+05 20 43.0	X-ray	 7.71	 1.27	 1.77	  9.110	  1.750	-	 2.270	 9.74	 1.60	 2.24	 10.450	   2.010	-	 2.600	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RX J0439.0+0520
     428	RX J0439.0+0520      	 0.2080	04 39 02.20	+05 20 43.0	X-ray	 6.66	 1.53	 1.21	  3.970	  1.780	-	 1.190	 8.30	 1.87	 1.48	  4.540	   2.130	-	 1.400	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	RX J0439.0+0520
     429	RX J1504.1-0248      	 0.2150	15 04 07.50	-02 48 16.0	X-ray	 3.77	 1.05	 1.09	 17.500	 13.500	-	 5.600	 4.75	 1.28	 1.34	 20.900	  17.300	-	 6.970	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	RX J1504.1-0248
     430	MS 0735.6+7421       	 0.2160	07 41 44.80	+74 14 52.0	X-ray	 6.85	     	     	 22.000	       	 	      	 8.51	     	     	 25.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 0735.6+7421
     431	Abell 773            	 0.2170	09 17 59.40	+51 42 23.0	X-ray	 3.27	 1.49	 1.05	 10.940	  3.120	-	 3.120	 4.15	 1.89	 1.33	 13.340	   3.800	-	 3.800	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 773
     432	Abell 773            	 0.2170	09 17 59.40	+51 42 23.0	X-ray	 3.33	 0.61	 0.53	 14.090	  1.720	-	 1.280	 4.30	 0.79	 0.68	 17.380	   2.120	-	 1.580	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 773
     433	MS 1006.0+1202       	 0.2210	10 08 47.90	+11 47 33.0	X-ray	 4.19	     	     	 31.000	       	 	      	 5.26	     	     	 36.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 1006.0+1202
     434	Abell 2261           	 0.2240	17 22 27.60	+32 07 37.2	WL   	 4.10	 0.60	 0.60	 17.700	  1.100	-	 1.100	 5.20	 0.70	 0.70	 21.100	   1.600	-	 1.600	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2261
     435	Abell 2261           	 0.2240	17 22 27.60	+32 07 37.2	WL   	 4.80	 0.50	 0.50	 19.700	  2.400	-	 2.400	 6.00	 0.60	 0.60	 23.200	   3.000	-	 3.000	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2261
     436	Abell 2261           	 0.2240	17 22 27.60	+32 07 37.2	WL   	 5.13	 1.52	 1.12	 16.620	  3.200	-	 2.710	 6.40	 1.90	 1.40	 19.290	   3.710	-	 3.140	Umetsu et al. (2009)                	Virial         	 0.300	 0.700	 0.700	Abell 2261
     437	Abell 2261           	 0.2240	17 22 27.60	+32 07 37.2	WL+SL	 3.40	 1.40	 1.40	 14.200	  1.700	-	 1.700	 4.40	 1.80	 1.80	 17.600	   1.800	-	 1.800	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	Abell 2261
     438	Abell 2261           	 0.2240	17 22 27.60	+32 07 37.2	WL   	 4.75	 1.34	 1.03	  8.040	  1.700	-	 1.430	 6.04	 1.71	 1.31	  9.490	   2.010	-	 1.690	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 2261
     439	ZwCl 0823.2+0425     	 0.2248	08 25 59.30	+04 15 47.0	WL   	 2.60	 1.20	 1.20	  7.900	  2.100	-	 2.100	 3.30	 1.50	 1.50	  9.800	   3.100	-	 3.100	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	ZwCl 0823+0425
     440	Abell 1763           	 0.2280	13 35 18.20	+40 59 49.0	X-ray	 7.50	 2.30	 3.41	  4.250	  0.740	-	 0.740	 9.28	 2.85	 4.22	  4.830	   0.840	-	 0.840	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 1763
     441	Abell 1763           	 0.2280	13 35 18.20	+40 59 49.0	WL   	 2.63	 0.63	 0.63	 19.800	  3.760	-	 3.760	 3.36	 0.77	 0.77	 24.620	   5.310	-	 5.310	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 1763
     442	Abell 2219           	 0.2281	16 40 21.40	+46 42 21.0	WL   	 6.60	 2.90	 2.90	 11.700	  2.700	-	 2.700	 8.20	 3.50	 3.50	 13.400	   3.500	-	 3.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2219
     443	Abell 2219           	 0.2281	16 40 21.40	+46 42 21.0	WL   	 3.84	 0.99	 0.99	 29.910	  6.210	-	 6.210	 4.84	 1.21	 1.21	 35.830	   8.290	-	 8.290	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 2219
     444	Abell 2219           	 0.2281	16 40 21.40	+46 42 21.0	X-ray	 3.44	 0.73	 0.73	 36.490	  4.920	-	 3.390	 4.42	 0.94	 0.94	 44.750	   6.030	-	 4.160	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2219
     445	Abell 2219           	 0.2281	16 40 21.40	+46 42 21.0	WL   	 5.44	 2.70	 1.71	  7.800	  2.170	-	 1.760	 6.88	 3.42	 2.16	  9.110	   2.540	-	 2.060	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 2219
     446	Abell 267            	 0.2300	01 52 48.72	+01 01 08.4	WL   	 5.10	 1.80	 1.80	  4.300	  1.000	-	 1.000	 6.40	 2.20	 2.20	  5.000	   1.300	-	 1.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 267
     447	Abell 267            	 0.2300	01 52 48.72	+01 01 08.4	WL   	 4.54	 2.01	 2.01	  3.890	  2.090	-	 2.090	 5.69	 2.45	 2.45	  4.590	   2.640	-	 2.640	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 267
     448	Abell 267            	 0.2300	01 52 48.72	+01 01 08.4	WL   	 4.73	 1.66	 1.25	  3.260	  0.910	-	 0.750	 6.00	 2.11	 1.58	  3.850	   1.080	-	 0.880	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 267
     449	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	X-ray	 2.06	 0.12	 0.04	 24.710	  1.160	-	 1.160	 2.65	 0.15	 0.05	 31.570	   1.480	-	 1.480	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2390
     450	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	WL   	 5.30	 1.30	 1.30	  9.700	  2.100	-	 2.100	 6.60	 1.60	 1.60	 11.300	   2.700	-	 2.700	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2390
     451	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	WL   	 5.55	 1.85	 1.21	 11.150	  1.860	-	 1.730	 6.90	 2.30	 1.50	 12.860	   2.140	-	 2.000	Umetsu et al. (2009)                	Virial         	 0.300	 0.700	 0.700	Abell 2390
     452	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	WL   	 5.26	 1.43	 1.43	 13.470	  3.510	-	 3.510	 6.56	 1.74	 1.74	 15.700	   4.430	-	 4.430	Bardeau et al. (2007)               	200            	 0.300	 0.700	 0.700	Abell 2390
     453	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	X-ray	 2.11	 0.52	 0.62	 28.210	  3.150	-	 2.390	 2.76	 0.68	 0.81	 36.570	   4.080	-	 3.100	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2390
     454	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	WL   	 4.89	 1.21	 1.01	  6.970	  1.640	-	 1.390	 6.20	 1.53	 1.28	  8.200	   1.930	-	 1.630	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 2390
     455	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	X-ray	 2.58	 0.19	 0.19	 16.580	  1.930	-	 1.930	 3.28	 0.23	 0.23	 20.450	   2.570	-	 2.570	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	Abell 2390
     456	Abell 2390           	 0.2300	21 53 35.50	+17 41 12.0	X-ray	 3.20	 1.79	 1.57	 20.600	 59.700	-	11.600	 4.04	 2.18	 1.93	 24.900	  79.700	-	14.400	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	Abell 2390
     457	Abell 2667           	 0.2330	23 51 40.70	-26 05 01.0	X-ray	 2.24	 0.08	 0.02	 15.880	  0.450	-	 0.450	 2.87	 0.10	 0.03	 20.080	   0.570	-	 0.570	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 2667
     458	Abell 2667           	 0.2330	23 51 40.70	-26 05 01.0	X-ray	 2.25	 0.17	 0.15	 19.710	  2.610	-	 1.270	 2.94	 0.22	 0.20	 25.320	   3.350	-	 1.630	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2667
     459	Abell 2667           	 0.2330	23 51 40.70	-26 05 01.0	X-ray	 3.02	 0.74	 0.85	 13.600	 10.600	-	 4.600	 3.82	 0.90	 1.04	 16.500	  13.900	-	 5.800	Allen et al. (2003)                 	200            	 0.300	 0.700	 0.500	Abell 2667
     460	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	X-ray	 3.71	 0.27	 0.38	  5.400	  0.440	-	 0.440	 4.67	 0.34	 0.48	  6.480	   0.530	-	 0.530	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	RX J2129.6+0005
     461	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	WL   	 2.00	 1.20	 1.20	  9.700	  3.600	-	 3.600	 2.60	 1.50	 1.50	 12.400	   5.500	-	 5.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RX J2129.6+0005
     462	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	WL   	 6.70	 0.90	 0.90	  6.100	  1.100	-	 1.100	 8.30	 1.10	 1.10	  7.000	   1.300	-	 1.300	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	RX J2129.6+0005
     463	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	X-ray	 3.77	 0.38	 0.33	  8.460	  0.940	-	 1.100	 4.82	 0.49	 0.42	 10.260	   1.140	-	 1.330	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	RX J2129.6+0005
     464	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	WL+SL	 4.30	 1.40	 1.40	  6.100	  0.600	-	 0.600	 5.60	 1.70	 1.70	  7.300	   0.700	-	 0.700	Merten et al. (2014)                	2500/200/virial	 0.270	 0.730	 0.700	RX J2129.6+0005
     465	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	WL   	 2.56	 1.67	 1.03	  5.320	  2.160	-	 1.550	 3.32	 2.16	 1.34	  6.710	   2.730	-	 1.960	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	RX J2129.6+0005
     466	RX J2129.6+0005      	 0.2350	21 29 37.92	+00 05 38.4	X-ray	 4.07	 2.31	 1.97	  6.460	 12.600	-	 3.140	 5.09	 2.80	 2.41	  7.630	  16.300	-	 3.830	Schmidt & Allen (2007)              	Virial         	 0.300	 0.700	 0.700	RX J2129.6+0005
     467	ZwCl 1305.4+2941     	 0.2410	13 07 49.20	+29 25 48.0	X-ray	 6.39	 0.41	 0.41	  2.430	  0.190	-	 0.190	 7.90	 0.50	 0.50	  2.770	   0.210	-	 0.210	Gastaldello et al. (2008)           	Virial         	 0.300	 0.700	 0.700	ZwCl 1305+2941
     468	MS 1910.5+6736       	 0.2460	19 10 27.30	+67 41 27.0	X-ray	 4.65	     	     	  8.700	       	 	      	 5.78	     	     	 10.000	        	 	      	Molikawa et al. (1999)              	Virial         	 0.300	 0.700	 0.500	MS 1910.5+6736
     469	Abell 2485           	 0.2472	22 48 31.13	-16 06 25.6	WL   	 3.10	 1.80	 1.80	  4.900	  1.700	-	 1.700	 3.90	 2.20	 2.20	  6.000	   2.400	-	 2.400	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 2485
     470	Abell 2485           	 0.2472	22 48 31.13	-16 06 25.6	WL   	 2.73	 1.74	 1.12	  3.660	  1.480	-	 1.110	 3.52	 2.24	 1.44	  4.560	   1.840	-	 1.380	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 2485
     471	Abell 521            	 0.2475	04 54 09.10	-10 14 19.0	WL   	 1.60	 0.40	 0.40	  6.900	  1.700	-	 1.700	 2.10	 0.50	 0.50	  9.100	   2.500	-	 2.500	Sereno et al. (2014)                	200            	 0.300	 0.700	 0.700	Abell 521
     472	Abell 521            	 0.2475	04 54 09.10	-10 14 19.0	X-ray	11.26	 0.83	 0.78	  7.210	  1.160	-	 1.130	13.97	 1.03	 0.97	  8.040	   1.290	-	 1.260	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 521
     473	Abell 521            	 0.2475	04 54 09.10	-10 14 19.0	WL   	 2.36	 0.78	 0.61	  4.600	  1.140	-	 0.960	 3.06	 1.01	 0.79	  5.850	   1.450	-	 1.220	Okabe et al. (2010)                 	Virial         	 0.270	 0.730	 0.720	Abell 521
     474	Abell 1835           	 0.2528	14 01 02.30	+02 52 48.0	X-ray	 2.64	 0.34	 0.09	 17.530	  1.410	-	 1.410	 3.34	 0.43	 0.11	 21.660	   1.740	-	 1.740	Ettori et al. (2011)                	200            	 0.300	 0.700	 0.700	Abell 1835
