#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/153/114/table5&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51530114
#Name: J/AJ/153/114
#Title: GCs in 27 nearby ETGs from the SLUGGS survey (Forbes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	creator=Forbes D.A.	    First author or institution
#INFO	cites=bibcode:2017AJ....153..114F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/153/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51530114	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-09-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_153_114_table5:
#Name: J/AJ/153/114/table5
#Title: Globular Cluster Radial Velocities (from Erratum, 2017, AJ, 154, 80)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Star	(a14)	Object identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(I4)	[-379/2777]? Heliocentric radial velocity (1)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(I3)	[2/194]? Uncertainty in HRV (1)	[ucd=stat.error]
#Column	Rgal	(F6.2)	[0.02/173]? Galactocentric radius (not in table 2)	[ucd=phys.angSize;pos.galactocentric]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Star	RAJ2000	DEJ2000	HRV	e_HRV	Rgal	SimbadName
    1603	NGC4365_S154  	186.122420	+07.340900	1135	 18	  1.42	[FAB2017] NGC4365 S154
    1604	NGC4365_S155  	186.124380	+07.387250	1141	 11	  4.19	[FAB2017] NGC4365 S155
    1605	NGC4365_S156  	186.127700	+07.381900	 981	 22	  3.90	[FAB2017] NGC4365 S156
    1606	NGC4365_S157  	186.131370	+07.344380	1085	  9	  1.79	[FAB2017] NGC4365 S157
    1607	NGC4365_S158  	186.132360	+07.389250	1292	  8	  4.38	[FAB2017] NGC4365 S158
    1608	NGC4365_S159  	186.133450	+07.288040	1321	 21	  2.01	[FAB2017] NGC4365 S159
    1609	NGC4365_S160  	186.136310	+07.327910	1409	  7	  1.26	[FAB2017] NGC4365 S160
    1610	NGC4365_S161  	186.136460	+07.374500	1408	 22	  3.58	[FAB2017] NGC4365 S161
    1611	NGC4365_S162  	186.083880	+07.401450	1113	  6	  5.42	[FAB2017] NGC4365 S162
    1612	NGC4365_S163  	186.087020	+07.404760	1009	 23	  5.54	[FAB2017] NGC4365 S163
    1613	NGC4365_S164  	186.089790	+07.376070	1786	 13	  3.88	[FAB2017] NGC4365 S164
    1614	NGC4365_S165  	186.087530	+07.441270	1526	 36	  7.63	[FAB2017] NGC4365 S165
    1615	NGC4365_S166  	186.098930	+07.378280	1145	 11	  3.81	[FAB2017] NGC4365 S166
    1616	NGC4365_S167  	186.101550	+07.399820	1461	 15	  5.02	[FAB2017] NGC4365 S167
    1617	NGC4365_S168  	186.100600	+07.427630	1109	 24	  6.68	[FAB2017] NGC4365 S168
    1618	NGC4365_S169  	186.110900	+07.412430	1131	 10	  5.70	[FAB2017] NGC4365 S169
    1619	NGC4365_S170  	186.137510	+07.462760	1164	 18	  8.78	[FAB2017] NGC4365 S170
    1620	NGC4365_S171  	186.049940	+07.271210	 943	 14	  4.91	[FAB2017] NGC4365 S171
    1621	NGC4365_S172  	186.050270	+07.291170	1278	 24	  4.32	[FAB2017] NGC4365 S172
    1622	NGC4365_S173  	186.074280	+07.281980	1333	 14	  3.36	[FAB2017] NGC4365 S173
    1623	NGC4365_S174  	186.081840	+07.265240	1484	  6	  3.81	[FAB2017] NGC4365 S174
    1624	NGC4365_S175  	186.082900	+07.275640	1239	 20	  3.27	[FAB2017] NGC4365 S175
    1625	NGC4365_S176  	186.091840	+07.309940	1362	 31	  1.62	[FAB2017] NGC4365 S176
    1626	NGC4365_S177  	186.094680	+07.294040	 994	 17	  1.98	[FAB2017] NGC4365 S177
    1627	NGC4365_S178  	186.095480	+07.256480	 989	  5	  3.91	[FAB2017] NGC4365 S178
    1628	NGC4365_S179  	186.097900	+07.275670	 957	 58	  2.79	[FAB2017] NGC4365 S179
    1629	NGC4365_S180  	186.115730	+07.311360	1263	 37	  0.40	[FAB2017] NGC4365 S180
    1630	NGC4365_S181  	186.117950	+07.340180	1218	 16	  1.35	[FAB2017] NGC4365 S181
    1631	NGC4365_S182  	186.120300	+07.300130	 720	  9	  1.06	[FAB2017] NGC4365 S182
    1632	NGC4365_S183  	186.121330	+07.325140	1359	  6	  0.49	[FAB2017] NGC4365 S183
    1633	NGC4365_S184  	186.122220	+07.326770	1037	 12	  0.60	[FAB2017] NGC4365 S184
    1634	NGC4365_S185  	186.123470	+07.355570	1108	 20	  2.30	[FAB2017] NGC4365 S185
    1635	NGC4365_S186  	186.126110	+07.334830	 976	  9	  1.14	[FAB2017] NGC4365 S186
    1636	NGC4365_S187  	186.130940	+07.307750	1284	  8	  0.98	[FAB2017] NGC4365 S187
    1637	NGC4365_S188  	186.131520	+07.321980	1063	  8	  0.85	[FAB2017] NGC4365 S188
    1638	NGC4365_S189  	186.132820	+07.323190	1108	  9	  0.95	[FAB2017] NGC4365 S189
    1639	NGC4365_S190  	186.134080	+07.368620	 682	 15	  3.21	[FAB2017] NGC4365 S190
    1640	NGC4365_S191  	186.135880	+07.371770	1044	 35	  3.42	[FAB2017] NGC4365 S191
    1641	NGC4365_S192  	186.144150	+07.321550	1435	 10	  1.58	[FAB2017] NGC4365 S192
    1642	NGC4365_S193  	186.152870	+07.328660	1288	 18	  2.19	[FAB2017] NGC4365 S193
    1643	NGC4365_S194  	186.160740	+07.314260	1544	 19	  2.56	[FAB2017] NGC4365 S194
    1644	NGC4365_S195  	186.163100	+07.357330	 861	 14	  3.59	[FAB2017] NGC4365 S195
    1645	NGC4365_S196  	186.027880	+07.240970	1612	 10	  7.06	[FAB2017] NGC4365 S196
    1646	NGC4365_S197  	186.054280	+07.228220	 966	  7	  6.57	[FAB2017] NGC4365 S197
    1647	NGC4365_S198  	186.175330	+07.400760	1224	 23	  6.05	[FAB2017] NGC4365 S198
    1648	NGC4365_S199  	186.056320	+07.251730	 759	 12	  5.39	[FAB2017] NGC4365 S199
    1649	NGC4365_S200  	186.192890	+07.395500	1222	 16	  6.46	[FAB2017] NGC4365 S200
    1650	NGC4365_S201  	186.084380	+07.283880	1623	 13	  2.84	[FAB2017] NGC4365 S201
    1651	NGC4365_S202  	186.113630	+07.323860	1180	 25	  0.45	[FAB2017] NGC4365 S202
    1652	NGC4365_S203  	186.119450	+07.309710	 724	 11	  0.49	[FAB2017] NGC4365 S203
    1653	NGC4365_S204  	186.124700	+07.309080	1198	  9	  0.66	[FAB2017] NGC4365 S204
    1654	NGC4365_S205  	186.128010	+07.334390	1524	 32	  1.17	[FAB2017] NGC4365 S205
    1655	NGC4365_S206  	186.129180	+07.295260	1045	 21	  1.50	[FAB2017] NGC4365 S206
    1656	NGC4365_S207  	186.134150	+07.327550	1480	  8	  1.14	[FAB2017] NGC4365 S207
    1657	NGC4365_S208  	186.140410	+07.278060	1253	 16	  2.73	[FAB2017] NGC4365 S208
    1658	NGC4365_S209  	186.142860	+07.319440	1383	 15	  1.49	[FAB2017] NGC4365 S209
    1659	NGC4365_S210  	186.152340	+07.299660	1428	 12	  2.32	[FAB2017] NGC4365 S210
    1660	NGC4365_S211  	186.167240	+07.278530	1597	  7	  3.76	[FAB2017] NGC4365 S211
    1661	NGC4365_S212  	186.166580	+07.198990	1472	 14	  7.69	[FAB2017] NGC4365 S212
    1662	NGC4365_S213  	186.185350	+07.159040	1267	 11	 10.33	[FAB2017] NGC4365 S213
    1663	NGC4365_S214  	186.124080	+07.189890	1779	  7	  7.68	[FAB2017] NGC4365 S214
    1664	NGC4365_S215  	186.150850	+07.253430	1488	 17	  4.33	[FAB2017] NGC4365 S215
    1665	NGC4365_S216  	186.134650	+07.244660	1235	  5	  4.49	[FAB2017] NGC4365 S216
    1666	NGC4365_S217  	186.140340	+07.175740	 668	  5	  8.62	[FAB2017] NGC4365 S217
    1667	NGC4365_S218  	186.141440	+07.204100	1097	 12	  6.96	[FAB2017] NGC4365 S218
    1668	NGC4365_S219  	186.154360	+07.222840	1140	 24	  6.09	[FAB2017] NGC4365 S219
    1669	NGC4365_S220  	186.154500	+07.157580	1451	 14	  9.85	[FAB2017] NGC4365 S220
    1670	NGC4365_S221  	186.163660	+07.145680	 798	  5	 10.67	[FAB2017] NGC4365 S221
    1671	NGC4365_S222  	186.086250	+07.277940	1489	 13	  3.04	[FAB2017] NGC4365 S222
    1672	NGC4365_S223  	186.115780	+07.325750	1175	 22	  0.50	[FAB2017] NGC4365 S223
    1673	NGC4365_S224  	186.086260	+07.277940	1505	 21	  3.04	[FAB2017] NGC4365 S224
    1674	NGC4365_S225  	186.114600	+07.298310	1094	 25	  1.18	[FAB2017] NGC4365 S225
    1675	NGC4365_S226  	186.117060	+07.325390	1237	 20	  0.47	[FAB2017] NGC4365 S226
    1676	NGC4365_S227  	186.108180	+07.298380	1432	 14	  1.29	[FAB2017] NGC4365 S227
    1677	NGC4365_S228  	186.069980	+07.325490	1384	 12	  2.89	[FAB2017] NGC4365 S228
    1678	NGC4365_S229  	186.090580	+07.333580	 808	 11	  1.88	[FAB2017] NGC4365 S229
    1679	NGC4365_S230  	186.122280	+07.329460	1450	 11	  0.75	[FAB2017] NGC4365 S230
    1680	NGC4365_S231  	186.137290	+07.324430	1164	 17	  1.23	[FAB2017] NGC4365 S231
    1681	NGC4365_S232  	186.114430	+07.298330	1128	 10	  1.18	[FAB2017] NGC4365 S232
    1682	NGC4365_S233  	186.105620	+07.307840	1624	  9	  0.94	[FAB2017] NGC4365 S233
    1683	NGC4365_S234  	186.122160	+07.318880	1203	 41	  0.27	[FAB2017] NGC4365 S234
    1684	NGC4365_S235  	186.197300	+07.347710	1250	 11	  5.06	[FAB2017] NGC4365 S235
    1685	NGC4365_S236  	186.113790	+07.290440	 980	 11	  1.65	[FAB2017] NGC4365 S236
    1686	NGC4365_S237  	186.115330	+07.318540	1191	 22	  0.16	[FAB2017] NGC4365 S237
    1687	NGC4365_S238  	186.123700	+07.317840	 899	 16	  0.35	[FAB2017] NGC4365 S238
    1688	NGC4365_S239  	186.044160	+07.295390	1608	  5	  4.58	[FAB2017] NGC4365 S239
    1689	NGC4365_S240  	186.098800	+07.293170	 673	  5	  1.86	[FAB2017] NGC4365 S240
    1690	NGC4365_S241  	186.111400	+07.293600	1256	  5	  1.49	[FAB2017] NGC4365 S241
    1691	NGC4365_S242  	186.043730	+07.295150	1293	  9	  4.61	[FAB2017] NGC4365 S242
    1692	NGC4365_S243  	186.045340	+07.281150	1605	  5	  4.84	[FAB2017] NGC4365 S243
    1693	NGC4365_S244  	186.097270	+07.289050	1132	  5	  2.11	[FAB2017] NGC4365 S244
    1694	NGC4374_S1    	186.249742	+12.887328	1049	 21	  0.93	[FAB2017] NGC4374 S1
    1695	NGC4374_S2    	186.257475	+12.875206	1747	 67	  0.85	[FAB2017] NGC4374 S2
    1696	NGC4374_S3    	186.225954	+12.874250	1298	 17	  2.44	[FAB2017] NGC4374 S3
    1697	NGC4374_S4    	186.241950	+12.895042	1350	 14	  1.47	[FAB2017] NGC4374 S4
    1698	NGC4374_S5    	186.241042	+12.883553	 780	 10	  1.45	[FAB2017] NGC4374 S5
    1699	NGC4374_S6    	186.273350	+12.905169	1068	 12	  1.18	[FAB2017] NGC4374 S6
    1700	NGC4374_S7    	186.224500	+12.897167	1245	  5	  2.48	[FAB2017] NGC4374 S7
    1701	NGC4374_S8    	186.248167	+12.763722	 954	  7	  7.47	[FAB2017] NGC4374 S8
    1702	NGC4374_S9    	186.225542	+12.899472	 766	  9	  2.46	[FAB2017] NGC4374 S9
    1703	NGC4374_S10   	186.234625	+12.881639	 995	  8	  1.84	[FAB2017] NGC4374 S10
    1704	NGC4374_S11   	186.303458	+12.841083	 902	 16	  3.53	[FAB2017] NGC4374 S11
    1705	NGC4374_S12   	186.197542	+12.882306	1154	  8	  3.99	[FAB2017] NGC4374 S12
    1706	NGC4374_S13   	186.229000	+12.847000	1112	  9	  3.22	[FAB2017] NGC4374 S13
    1707	NGC4374_S14   	186.325000	+12.909028	 798	 15	  3.72	[FAB2017] NGC4374 S14
    1708	NGC4374_S15   	186.274750	+12.853417	1352	 13	  2.08	[FAB2017] NGC4374 S15
    1709	NGC4374_S16   	186.280167	+12.866306	1356	  7	  1.51	[FAB2017] NGC4374 S16
    1710	NGC4374_S17   	186.310542	+12.877139	 550	 10	  2.69	[FAB2017] NGC4374 S17
    1711	NGC4374_S18   	186.325583	+12.854722	 778	 16	  4.01	[FAB2017] NGC4374 S18
    1712	NGC4374_S19   	186.186667	+12.819417	1206	 10	  6.14	[FAB2017] NGC4374 S19
    1713	NGC4374_S20   	186.304458	+12.876028	1254	 11	  2.37	[FAB2017] NGC4374 S20
    1714	NGC4374_S21   	186.260417	+12.769806	1030	 14	  7.04	[FAB2017] NGC4374 S21
    1715	NGC4374_S22   	186.241667	+12.849667	1001	 14	  2.64	[FAB2017] NGC4374 S22
    1716	NGC4374_S23   	186.183208	+12.821194	 702	 13	  6.23	[FAB2017] NGC4374 S23
    1717	NGC4374_S24   	186.267083	+12.857111	1463	 17	  1.79	[FAB2017] NGC4374 S24
    1718	NGC4374_S25   	186.195246	+12.872514	1598	 22	  4.21	[FAB2017] NGC4374 S25
    1719	NGC4374_S26   	186.249742	+12.887328	1052	  9	  0.93	[FAB2017] NGC4374 S26
    1720	NGC4374_S27   	186.257475	+12.875206	1785	 15	  0.85	[FAB2017] NGC4374 S27
    1721	NGC4374_S28   	186.308550	+12.866681	1191	 11	  2.79	[FAB2017] NGC4374 S28
    1722	NGC4374_S29   	186.183321	+12.883572	1153	 24	  4.82	[FAB2017] NGC4374 S29
    1723	NGC4374_S30   	186.294938	+12.889628	1139	 13	  1.72	[FAB2017] NGC4374 S30
    1724	NGC4374_S31   	186.144500	+12.825036	1071	 18	  8.00	[FAB2017] NGC4374 S31
    1725	NGC4374_S32   	186.241471	+12.876656	 997	 13	  1.54	[FAB2017] NGC4374 S32
    1726	NGC4374_S33   	186.295912	+12.891064	1614	 16	  1.79	[FAB2017] NGC4374 S33
    1727	NGC4374_S34   	186.247804	+12.878789	 964	 24	  1.15	[FAB2017] NGC4374 S34
    1728	NGC4374_S35   	186.304092	+12.906153	 920	 13	  2.53	[FAB2017] NGC4374 S35
    1729	NGC4374_S36   	186.261900	+12.919650	 697	 25	  1.97	[FAB2017] NGC4374 S36
    1730	NGC4374_S37   	186.308596	+12.982242	1216	 19	  6.24	[FAB2017] NGC4374 S37
    1731	NGC4374_S38   	186.311600	+12.972981	1465	 25	  5.82	[FAB2017] NGC4374 S38
    1732	NGC4374_S39   	186.278917	+12.875261	 837	 27	  1.05	[FAB2017] NGC4374 S39
    1733	NGC4374_S40   	186.241471	+12.876656	 985	 14	  1.54	[FAB2017] NGC4374 S40
    1734	NGC4374_S41   	186.248429	+12.816278	1004	 11	  4.36	[FAB2017] NGC4374 S41
    1735	NGC4459_S1    	187.226375	+13.999306	1288	 20	  1.86	[FAB2017] NGC4459 S1
    1736	NGC4459_S2    	187.222000	+13.966750	1113	  9	  1.78	[FAB2017] NGC4459 S2
    1737	NGC4459_S3    	187.244667	+13.965889	1372	 12	  0.82	[FAB2017] NGC4459 S3
    1738	NGC4459_S4    	187.256030	+13.982590	1060	 12	  0.42	[FAB2017] NGC4459 S4
    1739	NGC4459_S5    	187.255292	+13.975333	1037	 14	  0.36	[FAB2017] NGC4459 S5
    1740	NGC4459_S6    	187.251708	+13.964000	1276	  9	  0.88	[FAB2017] NGC4459 S6
    1741	NGC4459_S7    	187.269250	+13.977972	1006	 28	  1.12	[FAB2017] NGC4459 S7
    1742	NGC4459_S8    	187.267708	+13.985417	1251	 11	  1.10	[FAB2017] NGC4459 S8
    1743	NGC4459_S9    	187.263250	+13.981583	1094	  9	  0.79	[FAB2017] NGC4459 S9
    1744	NGC4459_S10   	187.254125	+13.957000	1063	 27	  1.32	[FAB2017] NGC4459 S10
    1745	NGC4459_S11   	187.288708	+13.920167	1052	 12	  4.16	[FAB2017] NGC4459 S11
    1746	NGC4459_S12   	187.344167	+13.944778	1250	  9	  5.84	[FAB2017] NGC4459 S12
    1747	NGC4459_S13   	187.325083	+13.951167	 907	 22	  4.66	[FAB2017] NGC4459 S13
    1748	NGC4459_S14   	187.235167	+13.965056	1261	 35	  1.19	[FAB2017] NGC4459 S14
    1749	NGC4459_S15   	187.229750	+13.969583	1193	 10	  1.30	[FAB2017] NGC4459 S15
    1750	NGC4459_S16   	187.242417	+13.977306	1146	 10	  0.45	[FAB2017] NGC4459 S16
    1751	NGC4459_S17   	187.244125	+13.972333	1248	 11	  0.51	[FAB2017] NGC4459 S17
    1752	NGC4459_S18   	187.252583	+13.983806	1221	 19	  0.35	[FAB2017] NGC4459 S18
    1753	NGC4459_S19   	187.254208	+13.978111	1318	 11	  0.24	[FAB2017] NGC4459 S19
    1754	NGC4459_S20   	187.249375	+13.963306	1101	  9	  0.92	[FAB2017] NGC4459 S20
    1755	NGC4459_S21   	187.251708	+13.964000	1266	  7	  0.88	[FAB2017] NGC4459 S21
    1756	NGC4459_S22   	187.254542	+13.968750	1103	 13	  0.64	[FAB2017] NGC4459 S22
    1757	NGC4459_S23   	187.227667	+13.929472	1123	  7	  3.22	[FAB2017] NGC4459 S23
    1758	NGC4459_S24   	187.172000	+13.907056	1318	 52	  6.25	[FAB2017] NGC4459 S24
    1759	NGC4459_S25   	187.258333	+13.982972	 973	 46	  0.55	[FAB2017] NGC4459 S25
    1760	NGC4459_S26   	187.237042	+13.991167	1378	 24	  1.07	[FAB2017] NGC4459 S26
    1761	NGC4459_S27   	187.262542	+13.970583	1120	 22	  0.87	[FAB2017] NGC4459 S27
    1762	NGC4459_S28   	187.249958	+13.955778	1073	 26	  1.37	[FAB2017] NGC4459 S28
    1763	NGC4459_S29   	187.262833	+13.912889	1054	 16	  4.01	[FAB2017] NGC4459 S29
    1764	NGC4459_S30   	187.251917	+13.942583	1182	 15	  2.16	[FAB2017] NGC4459 S30
    1765	NGC4459_S31   	187.251917	+13.942583	1163	  9	  2.16	[FAB2017] NGC4459 S31
    1766	NGC4459_S32   	187.248375	+13.989250	1371	 12	  0.65	[FAB2017] NGC4459 S32
    1767	NGC4459_S33   	187.264500	+14.004250	1106	 20	  1.75	[FAB2017] NGC4459 S33
    1768	NGC4459_S34   	187.247083	+13.982611	1242	 17	  0.30	[FAB2017] NGC4459 S34
    1769	NGC4459_S35   	187.245750	+13.982389	1351	 37	  0.34	[FAB2017] NGC4459 S35
    1770	NGC4459_S36   	187.273333	+13.988361	1188	 12	  1.47	[FAB2017] NGC4459 S36
    1771	NGC4473_S1    	187.450860	+13.423089	2112	 14	  0.41	[FAB2017] NGC4473 S1
    1772	NGC4473_S2    	187.456360	+13.424861	2391	 12	  0.31	[FAB2017] NGC4473 S2
    1773	NGC4473_S3    	187.468070	+13.427441	2525	 20	  0.85	[FAB2017] NGC4473 S3
    1774	NGC4473_S4    	187.465940	+13.427242	2327	 13	  0.73	[FAB2017] NGC4473 S4
    1775	NGC4473_S5    	187.453250	+13.426007	2248	 10	  0.20	[FAB2017] NGC4473 S5
    1776	NGC4473_S6    	187.464440	+13.430939	2279	 12	  0.64	[FAB2017] NGC4473 S6
    1777	NGC4473_S7    	187.442470	+13.426715	2180	  7	  0.67	[FAB2017] NGC4473 S7
    1778	NGC4473_S8    	187.413220	+13.420939	2460	  6	  2.41	[FAB2017] NGC4473 S8
    1779	NGC4473_S9    	187.441120	+13.429064	2467	 13	  0.73	[FAB2017] NGC4473 S9
    1780	NGC4473_S10   	187.424580	+13.427640	2013	  7	  1.70	[FAB2017] NGC4473 S10
    1781	NGC4473_S11   	187.432830	+13.432786	2454	  9	  1.23	[FAB2017] NGC4473 S11
    1782	NGC4473_S12   	187.474720	+13.443498	2496	 10	  1.49	[FAB2017] NGC4473 S12
    1783	NGC4473_S13   	187.440950	+13.437695	2465	 13	  0.89	[FAB2017] NGC4473 S13
    1784	NGC4473_S14   	187.428690	+13.437008	2388	  8	  1.53	[FAB2017] NGC4473 S14
    1785	NGC4473_S15   	187.420070	+13.436546	2467	  5	  2.01	[FAB2017] NGC4473 S15
    1786	NGC4473_S16   	187.422560	+13.437195	2132	  8	  1.87	[FAB2017] NGC4473 S16
    1787	NGC4473_S17   	187.432590	+13.444941	2285	 12	  1.54	[FAB2017] NGC4473 S17
    1788	NGC4473_S18   	187.453260	+13.416619	2329	 13	  0.76	[FAB2017] NGC4473 S18
    1789	NGC4473_S19   	187.454590	+13.403299	2282	 12	  1.56	[FAB2017] NGC4473 S19
    1790	NGC4473_S20   	187.457700	+13.406306	2302	  5	  1.40	[FAB2017] NGC4473 S20
    1791	NGC4473_S21   	187.461670	+13.411071	2341	  9	  1.19	[FAB2017] NGC4473 S21
    1792	NGC4473_S22   	187.458510	+13.417493	2298	  8	  0.77	[FAB2017] NGC4473 S22
    1793	NGC4473_S23   	187.455710	+13.421467	2456	  9	  0.49	[FAB2017] NGC4473 S23
    1794	NGC4473_S24   	187.437650	+13.422776	2592	 10	  1.01	[FAB2017] NGC4473 S24
    1795	NGC4473_S25   	187.447790	+13.425224	2389	 23	  0.42	[FAB2017] NGC4473 S25
    1796	NGC4473_S26   	187.468100	+13.430624	2467	 12	  0.85	[FAB2017] NGC4473 S26
    1797	NGC4473_S27   	187.474580	+13.439817	2211	  9	  1.37	[FAB2017] NGC4473 S27
    1798	NGC4473_S28   	187.454890	+13.436635	1931	 14	  0.44	[FAB2017] NGC4473 S28
    1799	NGC4473_S29   	187.463050	+13.439262	2239	 10	  0.81	[FAB2017] NGC4473 S29
    1800	NGC4473_S30   	187.452870	+13.445129	2376	  6	  0.95	[FAB2017] NGC4473 S30
    1801	NGC4473_S31   	187.457910	+13.447481	2196	 15	  1.12	[FAB2017] NGC4473 S31
    1802	NGC4473_S32   	187.471670	+13.451696	2308	 13	  1.70	[FAB2017] NGC4473 S32
    1803	NGC4473_S33   	187.464270	+13.404990	2193	  7	  1.59	[FAB2017] NGC4473 S33
    1804	NGC4473_S34   	187.465160	+13.417446	2477	  5	  0.98	[FAB2017] NGC4473 S34
    1805	NGC4473_S35   	187.463020	+13.425819	2210	 14	  0.59	[FAB2017] NGC4473 S35
    1806	NGC4473_S36   	187.473430	+13.428601	2049	 14	  1.16	[FAB2017] NGC4473 S36
    1807	NGC4473_S37   	187.475380	+13.432169	2256	 13	  1.28	[FAB2017] NGC4473 S37
    1808	NGC4473_S38   	187.445950	+13.426569	2242	 14	  0.48	[FAB2017] NGC4473 S38
    1809	NGC4473_S39   	187.434440	+13.434389	2368	 10	  1.16	[FAB2017] NGC4473 S39
    1810	NGC4473_S40   	187.429550	+13.433454	1896	  7	  1.43	[FAB2017] NGC4473 S40
    1811	NGC4473_S41   	187.446340	+13.461843	2171	 15	  1.99	[FAB2017] NGC4473 S41
    1812	NGC4473_S42   	187.420670	+13.427373	2281	 16	  1.93	[FAB2017] NGC4473 S42
    1813	NGC4473_S43   	187.447300	+13.432964	2349	  8	  0.43	[FAB2017] NGC4473 S43
    1814	NGC4473_S44   	187.448490	+13.434493	2089	 16	  0.43	[FAB2017] NGC4473 S44
    1815	NGC4473_S45   	187.456880	+13.440599	2351	 14	  0.70	[FAB2017] NGC4473 S45
    1816	NGC4473_S46   	187.484180	+13.443158	2356	 41	  1.97	[FAB2017] NGC4473 S46
    1817	NGC4473_S47   	187.451800	+13.437304	2427	 28	  0.49	[FAB2017] NGC4473 S47
    1818	NGC4473_S48   	187.446480	+13.436582	2188	 26	  0.60	[FAB2017] NGC4473 S48
    1819	NGC4473_S49   	187.450320	+13.442959	2292	 45	  0.84	[FAB2017] NGC4473 S49
    1820	NGC4473_S50   	187.566060	+13.388760	2485	 15	  7.00	[FAB2017] NGC4473 S50
    1821	NGC4473_S51   	187.540380	+13.386295	2212	 12	  5.68	[FAB2017] NGC4473 S51
    1822	NGC4473_S52   	187.587250	+13.423354	2314	 15	  7.81	[FAB2017] NGC4473 S52
    1823	NGC4473_S53   	187.513860	+13.410037	2302	 21	  3.70	[FAB2017] NGC4473 S53
    1824	NGC4473_S54   	187.499380	+13.407512	2392	 17	  2.97	[FAB2017] NGC4473 S54
    1825	NGC4473_S55   	187.520450	+13.413585	2248	  7	  4.01	[FAB2017] NGC4473 S55
    1826	NGC4473_S56   	187.504890	+13.417451	2100	 15	  3.08	[FAB2017] NGC4473 S56
    1827	NGC4473_S57   	187.508510	+13.427607	2159	 20	  3.20	[FAB2017] NGC4473 S57
    1828	NGC4473_S58   	187.493390	+13.426410	1989	  7	  2.33	[FAB2017] NGC4473 S58
    1829	NGC4473_S59   	187.562390	+13.450049	2203	 12	  6.47	[FAB2017] NGC4473 S59
    1830	NGC4473_S60   	187.500580	+13.451178	2112	  8	  3.04	[FAB2017] NGC4473 S60
    1831	NGC4473_S61   	187.396570	+13.431506	2377	  9	  3.33	[FAB2017] NGC4473 S61
    1832	NGC4473_S62   	187.403230	+13.433058	2199	 20	  2.95	[FAB2017] NGC4473 S62
    1833	NGC4473_S63   	187.378220	+13.428031	2204	  9	  4.40	[FAB2017] NGC4473 S63
    1834	NGC4473_S64   	187.411200	+13.441634	2383	  8	  2.58	[FAB2017] NGC4473 S64
    1835	NGC4473_S65   	187.405060	+13.452956	2026	 12	  3.17	[FAB2017] NGC4473 S65
    1836	NGC4473_S66   	187.343530	+13.449730	2212	 18	  6.54	[FAB2017] NGC4473 S66
    1837	NGC4473_S67   	187.364690	+13.459928	2405	 14	  5.50	[FAB2017] NGC4473 S67
    1838	NGC4473_S68   	187.408790	+13.485645	2233	 17	  4.27	[FAB2017] NGC4473 S68
    1839	NGC4473_S69   	187.422270	+13.327270	2407	 18	  6.39	[FAB2017] NGC4473 S69
    1840	NGC4473_S70   	187.464770	+13.347772	2192	  6	  4.94	[FAB2017] NGC4473 S70
    1841	NGC4473_S71   	187.421400	+13.341745	2156	 16	  5.58	[FAB2017] NGC4473 S71
    1842	NGC4473_S72   	187.444720	+13.363131	2493	  9	  4.01	[FAB2017] NGC4473 S72
    1843	NGC4473_S73   	187.414690	+13.359049	2171	 10	  4.79	[FAB2017] NGC4473 S73
    1844	NGC4473_S74   	187.467090	+13.369860	2228	 13	  3.66	[FAB2017] NGC4473 S74
    1845	NGC4473_S75   	187.448500	+13.385875	2201	 27	  2.63	[FAB2017] NGC4473 S75
    1846	NGC4473_S76   	187.477400	+13.404691	2418	  7	  2.03	[FAB2017] NGC4473 S76
