#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T11:47:57 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:47:57	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/834/57/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18340057
#Name: J/ApJ/834/57
#Title: Milky Way molecular clouds from ^12^CO (Miville-Deschenes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	creator=Miville-Deschenes M.-A.	    First author or institution
#INFO	cites=bibcode:2017ApJ...834...57M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/834/57	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18340057	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-08-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_834_57_table1:
#Name: J/ApJ/834/57/table1
#Title: The molecular clouds catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cloud	(I4)	[1/8107] Cloud number	[ucd=meta.id;meta.main]
#Column	Ncomp	(I3)	[5/600] Number of Gaussian components	[ucd=meta.number]
#Column	Npix	(I3)	[5/444] Number of pixels on the sky	[ucd=meta.number]
#Column	Area	(D12.5)	[0.07/7] Angular area	[ucd=phys.angArea]
#Column	GLON	(F10.6)	[-179/180] Baricentric Galactic longitude	[ucd=pos.galactic.lon]
#Column	Sigb	(D12.5)	[0.1/1.5] Standard deviation in GLON ({sigma}_l_)	[ucd=phys.angSize;src]
#Column	GLAT	(F10.6)	[-5.2/5] Baricentric Galactic latitude	[ucd=pos.galactic.lat]
#Column	Sigl	(D12.5)	[0.1/1.2] Standard deviation in GLAT ({sigma}_b_)	[ucd=phys.angSize]
#Column	theta	(D12.5)	? Angle with respect to b=0	[ucd=pos.posAng]
#Column	WCO	(D12.5)	[2/13929] Integrated CO emission	[ucd=phot.flux]
#Column	NH2	(D12.5)	Average column density	[ucd=meta.number]
#Column	Sigma	(D12.5)	[1.8/739] Surface density	[ucd=phot.flux.density.sb]
#Column	Vcent	(D12.5)	[-188/185] Centroid velocity	[ucd=spect.dopplerVeloc]
#Column	SigV	(D12.5)	[0.09/17] Velocity standard deviation ({sigma}_V_)	[ucd=phys.veloc.dispersion]
#Column	Rmax	(D12.5)	[0.1/3] Largest eigenvalue of the inertia matrix	[ucd=phys.angSize]
#Column	Rmin	(D12.5)	[0.1/1.5] Smallest eigenvalue of the inertia matrix	[ucd=phys.angSize;src]
#Column	Rang	(D12.5)	[0.1/1.7] Angular radius (1)	[ucd=phys.angSize]
#Column	Rgal	(D12.5)	[0.003/97] Galacto-centric radius	[ucd=phys.size.radius]
#Column	INF	(I1)	Near or far distance flag (0=near; 1=far) (2)	[ucd=meta.code]
#Column	Dnear	(D12.5)	[0.001/88.5] Near kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	Dfar	(D12.5)	[0.01/88.5] Far kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	znear	(D12.5)	[-2.8/1.6] Near distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	zfar	(D12.5)	[-2.8/1.6] Far distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	Snear	(D12.5)	[/744960] Near derived physical area	[ucd=phys.area]
#Column	Sfar	(D12.5)	[0.003/744960] Far derived physical area	[ucd=phys.area]
#Column	Rnear	(D12.5)	[0.008/470] Near derived physical size	[ucd=phys.angSize]
#Column	Rfar	(D12.5)	[0.03/470] Far derived physical size	[ucd=phys.angSize]
#Column	Mnear	(D12.5)	[0.0003/] Near derived mass	[ucd=phys.mass]
#Column	Mfar	(D12.5)	[0.01/] Far derived mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Cloud	Ncomp	Npix	Area	GLON	Sigb	GLAT	Sigl	theta	WCO	NH2	Sigma	Vcent	SigV	Rmax	Rmin	Rang	Rgal	INF	Dnear	Dfar	znear	zfar	Snear	Sfar	Rnear	Rfar	Mnear	Mfar	Simbad	_RA.icrs	_DE.icrs
    3599	3599	122	111	 1.73438e+00	317.608280	 3.74785e-01	-01.262190	 4.13812e-01	-2.75467e+01	 2.69978e+02	 4.86447e+20	 1.06067e+01	-7.81177e+00	 9.00660e-01	 9.60660e-01	 5.69165e-01	 6.77665e-01	 8.18204e+00	0	 4.37831e-01	 1.21206e+01	-9.64437e-03	-2.66988e-01	 1.01278e+02	 7.76155e+04	 5.17869e+00	 1.43363e+02	 1.07422e+03	 8.23246e+05	Simbad	223.869255	-60.550013
    3600	3600	278	249	 3.89062e+00	331.171800	 6.66282e-01	-00.753911	 4.45056e-01	-8.89779e+00	 5.69261e+02	 4.57238e+20	 9.96984e+00	-5.73585e+00	 3.53602e+00	 1.35973e+00	 8.48028e-01	 9.92563e-01	 8.17064e+00	1	 3.78307e-01	 1.45162e+01	-4.97771e-03	-1.91001e-01	 1.69615e+02	 2.49735e+05	 6.55426e+00	 2.51496e+02	 1.69104e+03	 2.48982e+06	Simbad	243.362921	-52.184439
    3601	3601	219	133	 2.07812e+00	321.665540	 4.44248e-01	-00.528537	 3.62032e-01	 1.50022e+01	 4.85277e+02	 7.29740e+20	 1.59116e+01	 5.88705e+00	 1.48972e+01	 9.52111e-01	 6.38106e-01	 7.29162e-01	 9.03622e+00	0	 1.40068e+01	 1.40068e+01	-1.29207e-01	-1.29207e-01	 1.24196e+05	 1.24196e+05	 1.78264e+02	 1.78264e+02	 1.97616e+06	 1.97616e+06	Simbad	230.027399	-57.887791
    3602	3602	 85	 81	 1.26562e+00	308.202600	 4.85544e-01	-00.454857	 2.70624e-01	 1.50766e+01	 2.91041e+02	 7.18619e+20	 1.56691e+01	-5.79286e+00	 3.20587e+00	 1.01514e+00	 4.53271e-01	 5.93035e-01	 8.33987e+00	1	 2.63082e-01	 1.02508e+01	-2.08852e-03	-8.13777e-02	 2.66835e+01	 4.05113e+04	 2.72310e+00	 1.06104e+02	 4.18106e+02	 6.34777e+05	Simbad	204.472658	-62.850265
    3603	3603	189	178	 2.78125e+00	325.172690	 4.01230e-01	-00.093353	 5.44088e-01	 3.61049e+01	 4.41513e+02	 4.96082e+20	 1.08168e+01	-6.50821e+00	 1.19603e+00	 1.20657e+00	 6.10126e-01	 7.65827e-01	 8.18897e+00	0	 3.82454e-01	 1.35725e+01	-6.23138e-04	-2.21138e-02	 1.23924e+02	 1.56068e+05	 5.11227e+00	 1.81423e+02	 1.34046e+03	 1.68816e+06	Simbad	234.843025	-55.539464
    3604	3604	137	107	 1.67188e+00	304.783670	 4.37367e-01	-00.471251	 4.09588e-01	-3.60542e+01	 3.45031e+02	 6.44919e+20	 1.40621e+01	-5.95317e+00	 2.49884e+00	 1.13010e+00	 3.98866e-01	 5.64404e-01	 8.34458e+00	1	 2.77930e-01	 9.42055e+00	-2.28591e-03	-7.74820e-02	 3.93396e+01	 4.51973e+04	 2.73789e+00	 9.28021e+01	 5.53198e+02	 6.35570e+05	Simbad	196.981091	-63.283708
    3605	3605	124	 96	 1.50000e+00	291.597990	 3.15878e-01	-00.036941	 4.30190e-01	-3.90578e+01	 2.88309e+02	 6.00645e+20	 1.30967e+01	-7.80257e+00	 3.40253e+00	 9.67325e-01	 4.51275e-01	 5.81859e-01	 8.30109e+00	1	 5.89614e-01	 5.66795e+00	-3.80147e-04	-3.65435e-03	 1.58849e+02	 1.46791e+04	 5.98795e+00	 5.75621e+01	 2.08040e+03	 1.92248e+05	Simbad	169.103639	-60.800431
    3606	3606	219	170	 2.65625e+00	147.984500	 4.16759e-01	-00.122986	 4.18889e-01	-2.97250e+01	 5.64486e+02	 6.64102e+20	 1.44804e+01	-4.90048e+00	 3.09588e+00	 1.04643e+00	 5.49195e-01	 6.80854e-01	 9.02518e+00	0	 6.12496e-01	 6.12496e-01	-1.31473e-03	-1.31473e-03	 3.03551e+02	 3.03551e+02	 7.27872e+00	 7.27872e+00	 4.39554e+03	 4.39554e+03	Simbad	058.437228	+53.637013
    3607	3607	 95	 93	 1.45312e+00	132.017200	 2.72580e-01	+00.215477	 3.01750e-01	-5.91708e-01	 2.30268e+02	 4.95201e+20	 1.07976e+01	-5.12867e+00	 1.75526e+00	 6.03616e-01	 5.45030e-01	 5.63898e-01	 8.92204e+00	0	 6.13143e-01	 6.13143e-01	 2.30589e-03	 2.30589e-03	 1.66411e+02	 1.66411e+02	 6.03467e+00	 6.03467e+00	 1.79684e+03	 1.79684e+03	Simbad	032.318815	+61.706518
    3608	3608	 17	 17	 2.65625e-01	343.666100	 1.57404e-01	+00.111029	 1.25000e-01	-3.27920e+00	 9.03736e+01	 1.06322e+21	 2.31830e+01	-6.71365e+00	 2.71143e+00	 3.15779e-01	 2.15668e-01	 2.44898e-01	 7.75343e+00	0	 7.81214e-01	 1.55327e+01	 1.51385e-03	 3.00995e-02	 4.93816e+01	 1.95217e+04	 3.33914e+00	 6.63913e+01	 1.14481e+03	 4.52571e+05	Simbad	254.840533	-42.337719
    3609	3609	 86	 72	 1.12500e+00	059.814690	 1.69159e-01	+00.053362	 3.42349e-01	 1.83345e-01	 3.09905e+02	 8.60847e+20	 1.87703e+01	-5.20192e+00	 5.49296e+00	 6.84698e-01	 3.38318e-01	 4.27940e-01	 8.88363e+00	0	 9.26720e+00	 9.26720e+00	 8.63104e-03	 8.63104e-03	 2.94310e+04	 2.94310e+04	 6.92177e+01	 6.92177e+01	 5.52430e+05	 5.52430e+05	Simbad	295.824874	+23.756300
    3610	3610	162	149	 2.32812e+00	121.255300	 3.94831e-01	+00.902510	 4.95548e-01	-2.78260e+01	 4.31594e+02	 5.79321e+20	 1.26318e+01	-6.30206e+00	 2.41751e+00	 1.08524e+00	 6.54288e-01	 7.74499e-01	 8.94248e+00	0	 8.02169e-01	 8.02169e-01	 1.26351e-02	 1.26351e-02	 4.56346e+02	 4.56346e+02	 1.08440e+01	 1.08440e+01	 5.76447e+03	 5.76447e+03	Simbad	009.070315	+63.724907
    3611	3611	 43	 29	 4.53125e-01	114.810200	 2.04043e-01	+01.448874	 1.31732e-01	-1.68696e+00	 1.29332e+02	 8.91945e+20	 1.94484e+01	-5.71779e+00	 3.01126e+00	 4.08389e-01	 2.62995e-01	 3.04549e-01	 8.89571e+00	0	 8.61331e-01	 8.61331e-01	 2.17787e-02	 2.17787e-02	 1.02403e+02	 1.02403e+02	 4.57834e+00	 4.57834e+00	 1.99158e+03	 1.99158e+03	Simbad	354.627975	+63.164906
    3612	3612	 43	 39	 6.09375e-01	127.276400	 2.37988e-01	+01.635625	 2.38599e-01	-2.67335e+01	 1.41552e+02	 7.25908e+20	 1.58280e+01	-3.51310e+00	 3.14871e+00	 5.84164e-01	 3.36190e-01	 4.04174e-01	 8.81483e+00	0	 5.04899e-01	 5.04899e-01	 1.44114e-02	 1.44114e-02	 4.73206e+01	 4.73206e+01	 3.56170e+00	 3.56170e+00	 7.48993e+02	 7.48993e+02	Simbad	022.867601	+64.169170
    3613	3613	 29	 26	 4.06250e-01	354.285433	 1.74980e-01	+01.928876	 1.73787e-01	-2.52577e+01	 1.08230e+02	 8.32539e+20	 1.81531e+01	-5.50117e+00	 2.45578e+00	 4.23589e-01	 2.52691e-01	 3.00175e-01	 6.83665e+00	0	 1.67464e+00	 1.52505e+01	 5.63666e-02	 5.13313e-01	 3.47052e+02	 2.87816e+04	 8.77360e+00	 7.98985e+01	 6.30006e+03	 5.22476e+05	Simbad	260.910530	-32.693625
    3614	3614	 68	 50	 7.81250e-01	127.013500	 2.17280e-01	+02.377280	 2.61682e-01	 1.25002e+01	 1.78865e+02	 7.15459e+20	 1.56002e+01	-5.34919e+00	 3.17578e+00	 5.39497e-01	 4.14360e-01	 4.52462e-01	 8.91291e+00	0	 6.60559e-01	 6.60559e-01	 2.73996e-02	 2.73996e-02	 1.03841e+02	 1.03841e+02	 5.21651e+00	 5.21651e+00	 1.61995e+03	 1.61995e+03	Simbad	022.525826	+64.942169
    3615	3615	 85	 78	 1.21875e+00	117.260600	 2.45243e-01	+02.415667	 3.23079e-01	 2.93164e+01	 2.08621e+02	 5.34926e+20	 1.16638e+01	-6.85530e+00	 2.02648e+00	 7.00383e-01	 4.09342e-01	 4.89594e-01	 8.95712e+00	0	 9.17680e-01	 9.17680e-01	 3.86792e-02	 3.86792e-02	 3.12647e+02	 3.12647e+02	 7.84180e+00	 7.84180e+00	 3.64664e+03	 3.64664e+03	Simbad	359.502836	+64.697500
    3616	3616	 66	 47	 7.34375e-01	115.514300	 3.35218e-01	+02.630981	 1.37074e-01	 3.83228e+00	 1.88493e+02	 8.02099e+20	 1.74894e+01	-5.07108e+00	 2.10483e+00	 6.72229e-01	 2.69723e-01	 3.65694e-01	 8.86618e+00	0	 7.85235e-01	 7.85235e-01	 3.60448e-02	 3.60448e-02	 1.37935e+02	 1.37935e+02	 5.01188e+00	 5.01188e+00	 2.41239e+03	 2.41239e+03	Simbad	355.432105	+64.494110
    3617	3617	113	 93	 1.45312e+00	115.454200	 5.35604e-01	+03.157238	 2.20787e-01	 6.70637e+00	 2.95307e+02	 6.35068e+20	 1.38473e+01	-6.25573e+00	 3.21132e+00	 1.07992e+00	 4.19813e-01	 5.75221e-01	 8.92268e+00	0	 8.99000e-01	 8.99000e-01	 4.95136e-02	 4.95136e-02	 3.57749e+02	 3.57749e+02	 9.02582e+00	 9.02582e+00	 4.95387e+03	 4.95387e+03	Simbad	354.963266	+64.984543
    3618	3618	 30	 24	 3.75000e-01	128.415000	 1.74796e-01	+03.382251	 1.98110e-01	-1.59623e+01	 1.28629e+02	 1.07191e+21	 2.33725e+01	-7.64354e+00	 2.22697e+00	 4.22666e-01	 3.17111e-01	 3.48985e-01	 9.04728e+00	0	 8.43494e-01	 8.43494e-01	 4.97637e-02	 4.97637e-02	 8.12740e+01	 8.12740e+01	 5.13773e+00	 5.13773e+00	 1.89957e+03	 1.89957e+03	Simbad	026.252578	+65.682077
    3619	3619	 35	 35	 5.46875e-01	073.974910	 2.20204e-01	+03.404078	 2.12225e-01	 3.10173e+01	 1.03909e+02	 5.93766e+20	 1.29467e+01	-5.63993e+00	 1.63759e+00	 5.51257e-01	 2.65013e-01	 3.38296e-01	 8.87671e+00	0	 5.82838e+00	 5.82838e+00	 3.46074e-01	 3.46074e-01	 5.65901e+03	 5.65901e+03	 3.44133e+01	 3.44133e+01	 7.32658e+04	 7.32658e+04	Simbad	300.956439	+37.620789
    3620	3620	 91	 72	 1.12500e+00	115.212700	 3.30601e-01	+03.797611	 2.44860e-01	-1.53832e+01	 2.46049e+02	 6.83469e+20	 1.49027e+01	-7.31103e+00	 2.91946e+00	 7.02916e-01	 4.27695e-01	 5.04728e-01	 8.97287e+00	0	 1.00445e+00	 1.00445e+00	 6.65270e-02	 6.65270e-02	 3.45752e+02	 3.45752e+02	 8.84859e+00	 8.84859e+00	 5.15264e+03	 5.15264e+03	Simbad	353.980210	+65.531281
    3621	3621	 99	 85	 1.32812e+00	089.064150	 2.66141e-01	+03.815453	 3.40536e-01	-3.17990e+00	 3.71819e+02	 8.74868e+20	 1.90760e+01	-4.41127e+00	 4.73756e+00	 6.82072e-01	 5.31002e-01	 5.77219e-01	 8.81435e+00	0	 2.48144e+00	 2.48144e+00	 1.65123e-01	 1.65123e-01	 2.49118e+03	 2.49118e+03	 2.49998e+01	 2.49998e+01	 4.75218e+04	 4.75218e+04	Simbad	312.667605	+50.146438
    3622	3622	 57	 37	 5.78125e-01	090.349580	 1.95675e-01	+04.334083	 2.32528e-01	 2.16276e+01	 2.75592e+02	 1.48969e+21	 3.24819e+01	-4.24200e+00	 3.79842e+00	 5.03142e-01	 3.40999e-01	 3.88209e-01	 8.80704e+00	0	 2.26037e+00	 2.26037e+00	 1.70820e-01	 1.70820e-01	 8.99782e+02	 8.99782e+02	 1.53154e+01	 1.53154e+01	 2.92266e+04	 2.92266e+04	Simbad	313.324881	+51.465706
    3623	3623	 22	 15	 2.34375e-01	091.552500	 3.90946e-01	+04.633872	 2.26520e-01	-1.09409e+01	 2.93928e+02	 3.91903e+21	 8.54525e+01	-6.38909e+00	 3.48259e+00	 8.02024e-01	 4.16363e-01	 5.18056e-01	 8.89889e+00	0	 2.42212e+00	 2.42212e+00	 1.95679e-01	 1.95679e-01	 4.18850e+02	 4.18850e+02	 2.19009e+01	 2.19009e+01	 3.57918e+04	 3.57918e+04	Simbad	314.204605	+52.577028
    3624	3624	121	121	 1.89062e+00	294.467400	 4.11426e-01	-03.160898	 3.09454e-01	-1.62209e+01	 3.61058e+02	 5.96790e+20	 1.30127e+01	-4.66245e+00	 3.02893e-01	 8.80831e-01	 5.33170e-01	 6.30292e-01	 8.42689e+00	0	 1.80649e-01	 6.87106e+00	-9.96100e-03	-3.78871e-01	 1.87946e+01	 2.71900e+04	 1.98734e+00	 7.55893e+01	 2.44568e+02	 3.53815e+05	Simbad	172.742624	-64.701986
    3625	3625	115	105	 1.64062e+00	111.815200	 2.69489e-01	-02.441402	 4.41161e-01	-1.11437e+01	 2.99952e+02	 5.71338e+20	 1.24577e+01	-4.06687e+00	 2.14380e+00	 8.86066e-01	 5.32801e-01	 6.31246e-01	 8.81327e+00	0	 7.66417e-01	 7.66417e-01	-3.26475e-02	-3.26475e-02	 2.93559e+02	 2.93559e+02	 8.44421e+00	 8.44421e+00	 3.65708e+03	 3.65708e+03	Simbad	351.194686	+58.547412
    3626	3626	 99	 76	 1.18750e+00	114.304500	 2.71576e-01	-02.558287	 2.73772e-01	-2.02583e+01	 2.23666e+02	 5.88595e+20	 1.28340e+01	-3.31067e+00	 2.08601e+00	 6.37432e-01	 4.34163e-01	 4.93454e-01	 8.78158e+00	0	 6.38035e-01	 6.38035e-01	-2.84792e-02	-2.84792e-02	 1.47258e+02	 1.47258e+02	 5.49515e+00	 5.49515e+00	 1.88991e+03	 1.88991e+03	Simbad	355.857307	+59.169529
    3627	3627	105	 82	 1.28125e+00	081.965640	 3.31441e-01	-02.321675	 3.39551e-01	-3.50813e+01	 3.17275e+02	 7.73841e+20	 1.68732e+01	-3.21029e+00	 2.86662e+00	 8.71262e-01	 3.76156e-01	 4.97693e-01	 8.76516e+00	0	 3.63832e+00	 3.63832e+00	-1.47388e-01	-1.47388e-01	 5.16645e+03	 5.16645e+03	 3.16047e+01	 3.16047e+01	 8.71746e+04	 8.71746e+04	Simbad	312.982215	+40.768371
    3628	3628	104	101	 1.57812e+00	111.020100	 2.49937e-01	-02.641525	 4.96573e-01	 1.46889e+01	 3.03543e+02	 6.01074e+20	 1.31061e+01	-4.65783e+00	 6.44207e-01	 9.96051e-01	 4.94058e-01	 6.24136e-01	 8.83921e+00	0	 8.47816e-01	 8.47816e-01	-3.90733e-02	-3.90733e-02	 3.45542e+02	 3.45542e+02	 9.23582e+00	 9.23582e+00	 4.52871e+03	 4.52871e+03	Simbad	349.900234	+58.090411
    3629	3629	 28	 25	 3.90625e-01	077.100750	 1.49960e-01	-01.925274	 1.66542e-01	-2.38203e+01	 1.24630e+02	 9.97037e+20	 2.17399e+01	-4.32829e+00	 2.16944e+00	 3.76196e-01	 2.43666e-01	 2.81622e-01	 8.81588e+00	0	 4.91198e+00	 4.91198e+00	-1.65023e-01	-1.65023e-01	 2.87097e+03	 2.87097e+03	 2.41437e+01	 2.41437e+01	 6.24145e+04	 6.24145e+04	Simbad	308.716669	+37.189428
    3630	3630	180	175	 2.73438e+00	156.936400	 4.77730e-01	-01.933087	 6.46273e-01	 3.26540e+01	 3.07567e+02	 3.51506e+20	 7.66439e+00	-4.33641e+00	 2.70207e+00	 1.41025e+00	 7.71218e-01	 9.43083e-01	 9.10698e+00	0	 6.56144e-01	 6.56144e-01	-2.21333e-02	-2.21333e-02	 3.58602e+02	 3.58602e+02	 1.08010e+01	 1.08010e+01	 2.74847e+03	 2.74847e+03	Simbad	066.744204	+46.219301
    3631	3631	127	107	 1.67188e+00	279.254660	 3.17431e-01	-00.869986	 4.04980e-01	 1.82429e+00	 3.92919e+02	 7.34427e+20	 1.60138e+01	-2.86950e+00	 3.07548e+00	 8.10361e-01	 6.34350e-01	 6.88302e-01	 8.51377e+00	0	 2.81746e+00	 2.81746e+00	-4.27790e-02	-4.27790e-02	 4.04274e+03	 4.04274e+03	 3.38481e+01	 3.38481e+01	 6.47396e+04	 6.47396e+04	Simbad	148.037340	-55.275467
    3632	3632	 14	 12	 1.87500e-01	303.144760	 1.38598e-01	-00.722302	 1.38733e-01	-3.03196e+01	 5.52074e+01	 9.20123e+20	 2.00628e+01	-4.72793e+00	 2.64228e+00	 3.49068e-01	 1.78820e-01	 2.23485e-01	 8.40623e+00	1	 1.73818e-01	 9.12178e+00	-2.19119e-03	-1.14991e-01	 1.72563e+00	 4.75244e+03	 6.77988e-01	 3.55801e+01	 3.46209e+01	 9.53471e+04	Simbad	193.338023	-63.593259
    3633	3633	 73	 69	 1.07812e+00	019.031510	 3.92308e-01	-00.803314	 4.15478e-01	-1.37181e+01	 1.78262e+02	 5.16700e+20	 1.12664e+01	-4.99379e+00	 3.66198e+00	 8.98846e-01	 7.05822e-01	 7.65054e-01	 9.30384e+00	0	 1.69184e+01	 1.69184e+01	-2.37197e-01	-2.37197e-01	 9.40037e+04	 9.40037e+04	 2.25920e+02	 2.25920e+02	 1.05908e+06	 1.05908e+06	Simbad	277.149303	-12.719496
    3634	3634	 16	 16	 2.50000e-01	280.024750	 1.35224e-01	-00.564588	 1.26137e-01	-4.72617e+00	 9.89324e+01	 1.23665e+21	 2.69646e+01	-4.83826e+00	 4.16313e+00	 2.75830e-01	 2.46378e-01	 2.55828e-01	 8.43476e+00	1	 4.38303e-01	 2.52109e+00	-4.31893e-03	-2.48422e-02	 1.46300e+01	 4.84031e+02	 1.95706e+00	 1.12569e+01	 3.94492e+02	 1.30517e+04	Simbad	149.434756	-55.512936
    3635	3635	 15	 15	 2.34375e-01	135.263300	 1.25000e-01	-00.278212	 1.98904e-01	-3.41001e+01	 6.85458e+01	 9.13944e+20	 1.99281e+01	-4.79054e+00	 2.39693e+00	 4.02601e-01	 1.70430e-01	 2.26981e-01	 8.91782e+00	0	 5.75249e-01	 5.75249e-01	-2.79324e-03	-2.79324e-03	 2.36254e+01	 2.36254e+01	 2.27890e+00	 2.27890e+00	 4.70809e+02	 4.70809e+02	Simbad	038.258624	+60.138391
    3636	3636	104	100	 1.56250e+00	107.279100	 2.40882e-01	-00.325781	 4.00779e-01	 5.83466e+00	 2.15530e+02	 4.31060e+20	 9.39904e+00	-4.99916e+00	 1.04143e+00	 8.02410e-01	 4.80344e-01	 5.69946e-01	 8.84995e+00	0	 1.00316e+00	 1.00316e+00	-5.70387e-03	-5.70387e-03	 4.78975e+02	 4.78975e+02	 9.97915e+00	 9.97915e+00	 4.50190e+03	 4.50190e+03	Simbad	341.581147	+58.690829
    3637	3637	  5	  5	 7.81250e-02	319.795820	 1.27060e-01	-00.335410	 1.25000e-01	 1.09481e+01	 5.49982e+01	 2.19993e+21	 4.79682e+01	-4.27637e+00	 5.63592e+00	 2.59750e-01	 1.25000e-01	 1.59512e-01	 8.36847e+00	1	 1.73201e-01	 1.28108e+01	-1.01391e-03	-7.49939e-02	 7.13913e-01	 3.90567e+03	 4.82192e-01	 3.56653e+01	 3.42452e+01	 1.87348e+05	Simbad	226.793208	-58.690231
    3638	3638	 34	 29	 4.53125e-01	318.340190	 1.75843e-01	-00.629165	 2.20783e-01	-9.05012e+00	 1.39584e+02	 9.62651e+20	 2.09901e+01	-6.02248e+00	 2.50121e+00	 4.47284e-01	 3.44386e-01	 3.75743e-01	 8.27590e+00	1	 3.03265e-01	 1.23983e+01	-3.33009e-03	-1.36143e-01	 1.26946e+01	 2.12176e+04	 1.98883e+00	 8.13086e+01	 2.66461e+02	 4.45361e+05	Simbad	224.581902	-59.649963
    3639	3639	 91	 77	 1.20312e+00	290.095840	 3.03317e-01	-00.128846	 2.48871e-01	-9.89820e+00	 3.16414e+02	 8.21855e+20	 1.79201e+01	-2.70103e+00	 3.60235e+00	 6.29165e-01	 4.68940e-01	 5.17209e-01	 8.51500e+00	0	 5.88443e+00	 5.88443e+00	-1.32328e-02	-1.32328e-02	 1.26904e+04	 1.26904e+04	 5.31202e+01	 5.31202e+01	 2.27414e+05	 2.27414e+05	Simbad	166.204514	-60.316040
    3640	3640	159	132	 2.06250e+00	135.958000	 3.78100e-01	-00.040719	 3.38504e-01	-1.12475e+01	 4.36479e+02	 6.61332e+20	 1.44200e+01	-2.92588e+00	 1.74456e+00	 8.01363e-01	 6.22892e-01	 6.77462e-01	 8.80613e+00	0	 4.19171e-01	 4.19171e-01	-2.97901e-04	-2.97901e-04	 1.10391e+02	 1.10391e+02	 4.95649e+00	 4.95649e+00	 1.59184e+03	 1.59184e+03	Simbad	039.727996	+60.084542
    3641	3641	 33	 31	 4.84375e-01	347.774700	 1.76148e-01	-00.051906	 3.08268e-01	-3.06937e+01	 1.52314e+02	 9.82668e+20	 2.14266e+01	-1.58649e+00	 5.72623e+00	 6.32300e-01	 3.23147e-01	 4.04180e-01	 8.33526e+00	1	 1.68637e-01	 1.64459e+01	-1.52775e-04	-1.48989e-02	 4.19609e+00	 3.99071e+04	 1.18963e+00	 1.16015e+02	 8.99079e+01	 8.55072e+05	Simbad	258.282507	-39.157470
    3642	3642	138	128	 2.00000e+00	276.852500	 3.64270e-01	-00.212194	 4.25247e-01	-1.76770e+01	 6.68578e+02	 1.04465e+21	 2.27781e+01	-2.00372e+00	 3.46809e+00	 9.06474e-01	 6.57584e-01	 7.31845e-01	 8.54925e+00	0	 2.38098e+00	 2.38098e+00	-8.81792e-03	-8.81792e-03	 3.45380e+03	 3.45380e+03	 3.04142e+01	 3.04142e+01	 7.86712e+04	 7.86712e+04	Simbad	145.601371	-53.231222
    3643	3643	  6	  6	 9.37500e-02	058.821170	 1.25000e-01	+00.314156	 3.42045e-01	 7.01140e+01	 1.41139e+01	 4.70463e+20	 1.02582e+01	-5.26435e+00	 4.16373e+00	 6.98141e-01	 1.25000e-01	 2.21779e-01	 8.88947e+00	0	 9.51317e+00	 9.51317e+00	 5.21610e-02	 5.21610e-02	 2.58451e+03	 2.58451e+03	 3.68236e+01	 3.68236e+01	 2.65124e+04	 2.65124e+04	Simbad	295.041756	+23.022496
