#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
    1141	PGC51017   	pISO-Flat   	 0.41	 0.10	 0.00	 0.00	 12.92	 1.19	65.3	 2.9	 10.32	147.69	126.41	 12.72	  0.11	    1.60	-0.80	 26.36	 8.54	18.64	 0.00	 0.00	 5.98
    1142	PGC51017   	Burkert-Flat	 0.56	 0.10	 0.00	 0.00	 13.90	 1.18	66.0	 2.9	308.46	144.44	  1.07	  1.09	394.99	  442.69	-4.08	  1.79	12.97	 0.61	 0.00	 0.00	 7.44
    1143	PGC51017   	NFW-Flat    	 0.52	 0.10	 0.00	 0.00	 13.63	 1.25	66.4	 3.1	 10.08	  4.13	  1.00	  4.81	 13.77	   66.37	-4.29	  6.85	 8.51	 0.53	 0.00	 0.00	 7.87
    1144	PGC51017   	NFW-LCDM    	 0.44	 0.11	 0.00	 0.00	  8.04	 1.15	62.5	 3.2	 38.51	  2.37	  3.43	  0.76	 15.37	    3.53	-3.25	  0.32	10.26	 0.08	 0.00	 0.00	22.60
    1145	PGC51017   	Einasto-Flat	 0.45	 0.12	 0.00	 0.00	 12.58	 1.38	64.8	 3.1	 10.11	155.57	845.91	294.58	  0.02	    0.25	 0.95	 31.00	 8.52	20.05	 0.01	 0.75	22.60
    1146	PGC51017   	Einasto-LCDM	 0.56	 0.11	 0.00	 0.00	 10.55	 1.28	64.7	 3.1	 44.45	  2.85	  3.16	  0.50	 19.24	    3.26	-3.85	  0.24	10.45	 0.08	 0.55	 0.16	22.60
    1147	PGC51017   	DC14-Flat   	 0.48	 0.11	 0.00	 0.00	 12.80	 1.26	64.9	 3.0	 10.01	 23.00	  4.39	  4.49	  3.12	    7.86	-2.76	  3.87	 8.50	 2.99	 0.00	 0.00	 6.96
    1148	PGC51017   	DC14-LCDM   	 0.55	 0.11	 0.00	 0.00	 12.11	 1.13	65.4	 3.0	 46.16	  2.57	  5.65	  0.99	 11.19	    2.05	-3.18	  0.19	10.50	 0.07	 0.00	 0.00	12.42
    1149	PGC51017   	coreNFW-Flat	 0.52	 0.10	 0.00	 0.00	 13.72	 1.22	66.3	 3.0	 10.54	  4.21	  1.04	  9.54	 13.92	  128.16	-4.26	 13.05	 8.57	 0.52	 0.00	 0.00	 8.00
    1150	PGC51017   	coreNFW-LCDM	 0.45	 0.11	 0.00	 0.00	  8.12	 1.10	63.0	 3.2	 38.81	  2.31	  3.38	  0.67	 15.72	    3.24	-3.27	  0.29	10.27	 0.08	 0.00	 0.00	24.20
    1151	PGC51017   	Lucky13-Flat	 0.57	 0.10	 0.00	 0.00	 13.70	 1.16	66.0	 2.9	 51.33	147.62	  1.03	  0.96	 68.09	  205.87	-3.82	  5.49	10.63	 3.75	 0.00	 0.00	 7.59
    1152	PGC51017   	Lucky13-LCDM	 0.55	 0.11	 0.00	 0.00	 11.59	 1.13	64.8	 3.0	 45.30	  2.63	  5.08	  0.90	 12.21	    2.29	-2.68	  0.27	10.47	 0.08	 0.00	 0.00	14.43
    1153	UGC00128   	pISO-Flat   	 0.57	 0.09	 0.00	 0.00	 70.36	 7.98	64.6	 7.3	112.98	  8.20	 52.92	  7.27	  2.92	    0.45	-1.55	  0.23	11.66	 0.09	 0.00	 0.00	 3.56
    1154	UGC00128   	Burkert-Flat	 0.33	 0.07	 0.00	 0.00	 64.57	 8.72	56.3	 7.4	 94.02	  8.57	 15.85	  1.88	  8.13	    1.22	-1.72	  0.23	11.42	 0.12	 0.00	 0.00	 9.26
    1155	UGC00128   	NFW-Flat    	 0.45	 0.11	 0.00	 0.00	 62.66	 8.70	52.1	 6.6	109.28	 10.11	  9.12	  1.18	 16.42	    2.61	-2.28	  0.24	11.62	 0.12	 0.00	 0.00	 3.57
    1156	UGC00128   	NFW-LCDM    	 0.53	 0.11	 0.00	 0.00	 62.55	 8.03	61.7	 7.1	 97.95	  7.39	  8.07	  0.77	 16.62	    2.02	-2.40	  0.19	11.48	 0.10	 0.00	 0.00	 3.71
    1157	UGC00128   	Einasto-Flat	 0.48	 0.11	 0.00	 0.00	 63.19	 8.99	55.4	 8.0	103.77	  9.80	  8.11	  1.35	 17.52	    3.35	-2.98	  0.28	11.55	 0.12	 0.23	 0.03	 3.71
    1158	UGC00128   	Einasto-LCDM	 0.54	 0.11	 0.00	 0.00	 62.67	 8.78	60.7	 7.0	 98.69	  8.26	  7.59	  0.99	 17.81	    2.76	-3.06	  0.23	11.49	 0.11	 0.22	 0.03	 3.71
    1159	UGC00128   	DC14-Flat   	 0.64	 0.11	 0.00	 0.00	 72.77	 7.29	63.8	 6.2	 98.50	  6.20	  7.96	  1.81	 16.96	    4.00	-2.55	  0.24	11.48	 0.08	 0.00	 0.00	 3.90
    1160	UGC00128   	DC14-LCDM   	 0.63	 0.11	 0.00	 0.00	 70.73	 6.99	62.7	 6.3	 98.57	  6.08	  8.86	  1.22	 15.24	    2.30	-2.47	  0.17	11.48	 0.08	 0.00	 0.00	 3.95
    1161	UGC00128   	coreNFW-Flat	 1.53	 0.15	 0.00	 0.00	 80.37	 7.14	70.6	 6.9	100.48	  5.82	  2.16	  0.84	 63.78	   25.18	-3.67	  0.55	11.51	 0.08	 0.00	 0.00	 6.00
    1162	UGC00128   	coreNFW-LCDM	 1.47	 0.21	 0.00	 0.00	 79.49	 8.09	56.5	 5.3	105.59	  6.77	  4.64	  0.77	 31.19	    5.55	-2.96	  0.25	11.57	 0.08	 0.00	 0.00	 6.62
    1163	UGC00128   	Lucky13-Flat	 0.40	 0.09	 0.00	 0.00	 59.55	 8.87	48.6	 6.9	108.60	 11.32	 22.83	  3.08	  6.52	    1.11	-1.17	  0.26	11.61	 0.14	 0.00	 0.00	 4.73
    1164	UGC00128   	Lucky13-LCDM	 0.43	 0.09	 0.00	 0.00	 67.92	 8.09	60.6	 6.3	 95.24	  6.50	 17.96	  1.50	  7.26	    0.78	-1.43	  0.17	11.44	 0.09	 0.00	 0.00	 5.08
    1165	UGC00191   	pISO-Flat   	 0.49	 0.12	 0.00	 0.00	 13.25	 4.58	43.0	 5.0	 84.11	 10.51	149.07	100.26	  0.77	    0.53	-0.65	  0.95	11.28	 0.16	 0.00	 0.00	 1.97
    1166	UGC00191   	Burkert-Flat	 0.44	 0.14	 0.00	 0.00	 19.85	 4.67	46.4	 4.8	 44.45	  4.28	 26.55	  7.65	  2.29	    0.70	-1.14	  0.42	10.45	 0.13	 0.00	 0.00	 6.73
    1167	UGC00191   	NFW-Flat    	 0.60	 0.16	 0.00	 0.00	 18.28	 4.54	44.8	 5.0	 64.27	  7.86	  8.75	  3.52	 10.06	    4.23	-2.32	  0.58	10.93	 0.16	 0.00	 0.00	 5.96
    1168	UGC00191   	NFW-LCDM    	 0.58	 0.15	 0.00	 0.00	 17.34	 3.46	42.3	 3.5	 67.79	  5.42	  9.74	  1.93	  9.54	    2.04	-2.21	  0.30	11.00	 0.10	 0.00	 0.00	 6.09
    1169	UGC00191   	Einasto-Flat	 0.53	 0.15	 0.00	 0.00	 14.21	 4.45	42.7	 4.9	 46.37	  8.60	 14.21	  4.31	  4.47	    1.59	-2.17	  0.53	10.50	 0.24	 0.37	 0.07	 6.09
    1170	UGC00191   	Einasto-LCDM	 0.51	 0.14	 0.00	 0.00	 13.82	 3.69	39.5	 4.6	 62.11	  6.11	 13.13	  3.02	  6.48	    1.62	-2.40	  0.35	10.88	 0.13	 0.26	 0.03	 6.09
    1171	UGC00191   	DC14-Flat   	 0.50	 0.13	 0.00	 0.00	 15.76	 3.34	43.7	 4.8	 54.43	  6.14	 26.44	  8.95	  2.82	    1.01	-1.49	  0.38	10.71	 0.15	 0.00	 0.00	 4.12
    1172	UGC00191   	DC14-LCDM   	 0.66	 0.20	 0.00	 0.00	 24.29	 3.18	37.2	 3.3	 71.18	  5.44	 13.36	  3.68	  7.30	    2.09	-2.13	  0.29	11.06	 0.10	 0.00	 0.00	 4.74
    1173	UGC00191   	coreNFW-Flat	 0.87	 0.16	 0.00	 0.00	 23.31	 3.41	49.4	 4.3	 56.19	 16.93	  5.18	  3.44	 14.85	   10.83	-2.85	  1.05	10.75	 0.39	 0.00	 0.00	 4.89
    1174	UGC00191   	coreNFW-LCDM	 1.20	 0.17	 0.00	 0.00	 20.31	 3.42	43.8	 4.2	 77.66	  5.34	  4.64	  0.86	 22.94	    4.55	-2.96	  0.28	11.17	 0.09	 0.00	 0.00	 4.59
    1175	UGC00191   	Lucky13-Flat	 0.48	 0.12	 0.00	 0.00	 13.93	 4.51	43.1	 5.0	 51.41	  5.68	 40.94	 13.96	  1.72	    0.62	-0.53	  0.49	10.64	 0.14	 0.00	 0.00	 3.50
    1176	UGC00191   	Lucky13-LCDM	 1.23	 0.15	 0.00	 0.00	 23.27	 2.98	48.4	 4.1	 83.34	  6.04	  6.25	  1.25	 18.28	    3.90	-2.49	  0.30	11.27	 0.09	 0.00	 0.00	 4.56
    1177	UGC00634   	pISO-Flat   	 0.50	 0.12	 0.00	 0.00	 32.77	 7.23	40.4	 7.4	108.07	 26.49	 36.24	 22.29	  4.08	    2.70	-1.87	  0.96	11.60	 0.32	 0.00	 0.00	
    1178	UGC00634   	Burkert-Flat	 0.50	 0.12	 0.00	 0.00	 31.44	 7.38	37.6	 7.8	 78.04	 15.05	 15.20	  6.03	  7.03	    3.10	-1.76	  0.63	11.18	 0.25	 0.00	 0.00	
    1179	UGC00634   	NFW-Flat    	 0.47	 0.11	 0.00	 0.00	 33.76	 7.88	40.3	 7.6	 96.51	 19.79	  5.23	  2.60	 25.26	   13.59	-2.85	  0.77	11.46	 0.27	 0.00	 0.00	
    1180	UGC00634   	NFW-LCDM    	 0.46	 0.11	 0.00	 0.00	 30.84	 5.95	47.3	 4.9	 74.55	  6.14	  6.28	  1.36	 16.26	    3.77	-2.66	  0.33	11.12	 0.11	 0.00	 0.00	
    1181	UGC00634   	Einasto-Flat	 0.50	 0.12	 0.00	 0.00	 30.02	 7.41	37.4	 7.5	 55.64	 14.06	  7.92	  2.32	  9.62	    3.72	-2.57	  0.61	10.74	 0.33	 1.03	 0.40	
    1182	UGC00634   	Einasto-LCDM	 0.50	 0.12	 0.00	 0.00	 24.56	 7.08	40.2	 5.9	 68.39	  7.71	  9.07	  2.34	 10.33	    2.91	-2.70	  0.40	11.01	 0.15	 0.40	 0.09	
    1183	UGC00634   	DC14-Flat   	 0.49	 0.12	 0.00	 0.00	 29.44	 7.46	35.6	 6.9	 87.70	 17.22	 18.91	  8.84	  6.35	    3.22	-1.97	  0.55	11.33	 0.26	 0.00	 0.00	
    1184	UGC00634   	DC14-LCDM   	 0.48	 0.11	 0.00	 0.00	 35.21	 5.27	44.9	 4.3	 75.99	  6.12	 10.25	  2.18	 10.16	    2.31	-2.52	  0.24	11.15	 0.10	 0.00	 0.00	
    1185	UGC00634   	coreNFW-Flat	 0.48	 0.12	 0.00	 0.00	 29.32	 7.06	35.9	 7.1	 85.12	 16.49	 11.50	  6.36	 10.14	    5.94	-2.03	  0.81	11.29	 0.25	 0.00	 0.00	
    1186	UGC00634   	coreNFW-LCDM	 0.49	 0.11	 0.00	 0.00	 29.53	 5.75	44.5	 4.6	 72.74	  6.31	  8.73	  2.23	 11.41	    3.08	-2.32	  0.37	11.09	 0.11	 0.00	 0.00	
    1187	UGC00634   	Lucky13-Flat	 0.49	 0.12	 0.00	 0.00	 31.44	 7.59	40.0	 7.7	 83.45	 15.87	 16.18	  6.59	  7.06	    3.17	-1.54	  0.64	11.27	 0.25	 0.00	 0.00	
    1188	UGC00634   	Lucky13-LCDM	 0.50	 0.12	 0.00	 0.00	 38.48	 5.79	46.8	 4.5	 76.83	  6.00	 10.24	  2.06	 10.28	    2.22	-2.01	  0.30	11.16	 0.10	 0.00	 0.00	
    1189	UGC00731   	pISO-Flat   	 0.50	 0.13	 0.00	 0.00	 12.95	 3.28	56.8	 3.0	 70.43	  4.63	 83.66	 35.74	  1.15	    0.50	-1.15	  0.60	11.05	 0.09	 0.00	 0.00	 0.22
    1190	UGC00731   	Burkert-Flat	 0.49	 0.13	 0.00	 0.00	 15.76	 3.24	57.5	 3.0	 43.39	  2.14	 21.24	  3.91	  2.80	    0.53	-1.39	  0.26	10.42	 0.06	 0.00	 0.00	 0.56
    1191	UGC00731   	NFW-Flat    	 0.51	 0.13	 0.00	 0.00	 11.04	 3.36	56.6	 3.0	 58.05	  4.52	 10.22	  3.08	  7.78	    2.42	-2.16	  0.42	10.79	 0.10	 0.00	 0.00	 0.45
    1192	UGC00731   	NFW-LCDM    	 0.55	 0.13	 0.00	 0.00	 13.58	 2.15	57.4	 2.8	 55.16	  2.70	  9.37	  1.37	  8.06	    1.24	-2.25	  0.21	10.73	 0.06	 0.00	 0.00	 0.54
    1193	UGC00731   	Einasto-Flat	 0.51	 0.13	 0.00	 0.00	 13.22	 3.64	56.9	 3.0	 41.86	 10.76	 10.53	  2.78	  5.44	    2.01	-2.50	  0.60	10.37	 0.33	 0.42	 0.14	 0.54
    1194	UGC00731   	Einasto-LCDM	 0.52	 0.13	 0.00	 0.00	  9.74	 2.66	56.9	 3.0	 49.09	  4.38	 11.63	  2.59	  5.78	    1.39	-2.51	  0.34	10.58	 0.12	 0.29	 0.04	 0.54
    1195	UGC00731   	DC14-Flat   	 0.54	 0.13	 0.00	 0.00	 16.02	 3.13	57.7	 3.0	 47.42	  2.32	 22.29	  6.79	  2.91	    0.90	-1.77	  0.31	10.53	 0.06	 0.00	 0.00	 0.31
    1196	UGC00731   	DC14-LCDM   	 0.47	 0.12	 0.00	 0.00	 17.93	 2.22	54.5	 2.8	 51.35	  2.30	 20.15	  3.03	  3.49	    0.55	-1.89	  0.16	10.63	 0.06	 0.00	 0.00	 0.63
    1197	UGC00731   	coreNFW-Flat	 0.51	 0.13	 0.00	 0.00	 15.69	 3.07	57.3	 3.0	 46.99	  3.54	 13.94	  3.16	  4.62	    1.10	-1.82	  0.33	10.52	 0.10	 0.00	 0.00	 0.42
    1198	UGC00731   	coreNFW-LCDM	 0.47	 0.11	 0.00	 0.00	 14.33	 2.17	56.0	 2.8	 52.22	  2.88	 11.86	  2.08	  6.03	    1.11	-2.00	  0.25	10.66	 0.07	 0.00	 0.00	 0.81
    1199	UGC00731   	Lucky13-Flat	 0.49	 0.13	 0.00	 0.00	 13.08	 3.33	57.2	 3.0	 48.16	  2.69	 27.36	  6.41	  2.41	    0.58	-0.98	  0.33	10.55	 0.07	 0.00	 0.00	 0.17
    1200	UGC00731   	Lucky13-LCDM	 0.43	 0.10	 0.00	 0.00	 15.36	 2.29	55.8	 2.8	 51.52	  2.40	 22.69	  2.76	  3.11	    0.41	-1.18	  0.18	10.64	 0.06	 0.00	 0.00	 0.41
    1201	UGC00891   	pISO-Flat   	 0.50	 0.12	 0.00	 0.00	  9.78	 2.66	60.0	 5.0	 82.95	  5.83	 36.71	 18.62	  3.10	    1.58	-1.86	  0.71	11.26	 0.09	 0.00	 0.00	
    1202	UGC00891   	Burkert-Flat	 0.49	 0.12	 0.00	 0.00	 10.02	 2.96	59.8	 5.1	 53.46	  6.57	 14.26	  5.08	  5.14	    1.94	-1.83	  0.52	10.69	 0.16	 0.00	 0.00	
    1203	UGC00891   	NFW-Flat    	 0.47	 0.11	 0.00	 0.00	 10.22	 2.02	59.9	 5.0	244.91	 60.18	  1.14	  0.99	294.81	  267.61	-4.19	  1.31	12.67	 0.32	 0.00	 0.00	
    1204	UGC00891   	NFW-LCDM    	 0.58	 0.13	 0.00	 0.00	  7.80	 1.66	65.6	 4.3	 57.55	  3.69	  7.60	  1.84	 10.37	    2.60	-2.47	  0.34	10.78	 0.08	 0.00	 0.00	
    1205	UGC00891   	Einasto-Flat	 0.49	 0.12	 0.00	 0.00	 10.10	 2.76	61.1	 5.2	 33.97	 23.21	  7.46	  2.11	  6.24	    4.62	-2.59	  1.32	10.10	 0.89	 1.23	 0.44	
    1206	UGC00891   	Einasto-LCDM	 0.49	 0.12	 0.00	 0.00	  5.20	 1.98	60.7	 4.9	 44.54	  5.39	 11.19	  3.18	  5.45	    1.68	-2.38	  0.43	10.45	 0.16	 0.47	 0.06	
    1207	UGC00891   	DC14-Flat   	 0.49	 0.12	 0.00	 0.00	  9.92	 2.81	59.9	 4.9	 56.79	  4.92	 17.36	  7.29	  4.48	    1.92	-2.08	  0.43	10.77	 0.11	 0.00	 0.00	
    1208	UGC00891   	DC14-LCDM   	 0.50	 0.11	 0.00	 0.00	 13.03	 1.87	62.7	 4.4	 58.41	  3.54	 11.75	  2.40	  6.81	    1.45	-2.47	  0.22	10.80	 0.08	 0.00	 0.00	
    1209	UGC00891   	coreNFW-Flat	 0.48	 0.12	 0.00	 0.00	  4.65	 2.00	59.3	 5.2	 60.95	 23.20	 12.29	  4.27	  6.79	    3.50	-1.96	  0.84	10.86	 0.50	 0.00	 0.00	
    1210	UGC00891   	coreNFW-LCDM	 0.56	 0.13	 0.00	 0.00	  5.59	 1.12	64.1	 4.4	 49.22	  3.42	 13.32	  2.76	  5.06	    1.11	-1.87	  0.30	10.58	 0.09	 0.00	 0.00	
    1211	UGC00891   	Lucky13-Flat	 0.49	 0.12	 0.00	 0.00	 10.37	 2.54	59.5	 4.9	 68.42	  8.36	 13.76	  4.35	  6.81	    2.31	-1.71	  0.48	11.01	 0.16	 0.00	 0.00	
    1212	UGC00891   	Lucky13-LCDM	 0.54	 0.12	 0.00	 0.00	 12.14	 1.97	64.8	 4.3	 61.20	  3.75	 11.75	  2.25	  7.14	    1.43	-1.88	  0.28	10.86	 0.08	 0.00	 0.00	
    1213	UGC01230   	pISO-Flat   	 0.52	 0.13	 0.00	 0.00	 54.87	10.95	20.6	 8.9	110.56	124.85	 91.55	142.90	  1.65	    3.19	-1.08	  2.99	11.63	 1.47	 0.00	 0.00	 1.18
    1214	UGC01230   	Burkert-Flat	 0.50	 0.13	 0.00	 0.00	 52.29	10.87	18.7	 8.2	 80.81	 66.04	 27.40	 24.24	  4.04	    4.86	-1.10	  1.90	11.23	 1.06	 0.00	 0.00	 0.37
    1215	UGC01230   	NFW-Flat    	 0.54	 0.13	 0.00	 0.00	 53.92	10.83	24.5	10.4	 70.60	 71.51	  9.94	 11.60	  9.73	   15.04	-2.19	  2.42	11.05	 1.32	 0.00	 0.00	 1.61
    1216	UGC01230   	NFW-LCDM    	 0.52	 0.13	 0.00	 0.00	 56.40	 9.94	21.6	 2.3	 84.14	  8.29	  9.47	  1.99	 12.17	    2.82	-2.24	  0.33	11.28	 0.13	 0.00	 0.00	 1.70
    1217	UGC01230   	Einasto-Flat	 0.48	 0.13	 0.00	 0.00	 52.63	10.67	22.3	 9.9	 58.04	 36.29	 10.62	  6.63	  7.48	    6.61	-2.32	  1.42	10.79	 0.81	 0.67	 0.38	 1.70
    1218	UGC01230   	Einasto-LCDM	 0.49	 0.13	 0.00	 0.00	 53.54	10.44	18.8	 2.7	 82.73	  8.86	 12.05	  2.64	  9.40	    2.29	-2.47	  0.36	11.26	 0.14	 0.29	 0.09	 1.70
    1219	UGC01230   	DC14-Flat   	 0.48	 0.12	 0.00	 0.00	 52.58	11.16	12.0	 4.2	132.37	 68.44	 48.92	 25.56	  3.71	    2.72	-0.99	  0.98	11.87	 0.67	 0.00	 0.00	 0.32
    1220	UGC01230   	DC14-LCDM   	 0.53	 0.13	 0.00	 0.00	 60.16	 8.46	21.4	 2.2	 85.42	  7.87	 12.81	  2.90	  9.13	    2.23	-2.14	  0.27	11.30	 0.12	 0.00	 0.00	 1.50
    1221	UGC01230   	coreNFW-Flat	 0.50	 0.13	 0.00	 0.00	 53.39	11.02	18.7	 9.0	 77.35	 61.89	 55.33	 76.23	  1.91	    3.05	-0.26	  2.33	11.17	 1.04	 0.00	 0.00	 0.62
    1222	UGC01230   	coreNFW-LCDM	 0.55	 0.14	 0.00	 0.00	 64.30	 9.30	22.2	 2.1	 85.74	  7.65	  9.79	  2.89	 12.00	    3.70	-2.20	  0.42	11.30	 0.12	 0.00	 0.00	 2.58
    1223	UGC01230   	Lucky13-Flat	 0.49	 0.13	 0.00	 0.00	 54.30	10.79	19.1	 8.7	 84.55	 70.86	 31.79	 27.52	  3.64	    4.39	-0.81	  1.92	11.28	 1.09	 0.00	 0.00	 0.71
    1224	UGC01230   	Lucky13-LCDM	 0.49	 0.14	 0.00	 0.00	 65.70	 9.25	22.3	 2.2	 84.59	  7.28	 16.72	  3.46	  6.93	    1.55	-1.51	  0.32	11.29	 0.11	 0.00	 0.00	 1.66
    1225	UGC01281   	pISO-Flat   	 0.50	 0.12	 0.00	 0.00	  5.28	 0.24	90.0	 0.6	 76.61	  7.76	 48.52	  5.20	  2.16	    0.32	-1.62	  0.24	11.16	 0.13	 0.00	 0.00	 0.14
    1226	UGC01281   	Burkert-Flat	 0.49	 0.13	 0.00	 0.00	  5.26	 0.24	90.0	 0.6	 44.39	  5.39	 18.54	  1.46	  3.28	    0.47	-1.54	  0.25	10.45	 0.16	 0.00	 0.00	 0.14
    1227	UGC01281   	NFW-Flat    	 0.48	 0.12	 0.00	 0.00	  5.34	 0.24	89.9	 0.6	286.91	 58.36	  1.07	  0.67	367.05	  242.76	-4.24	  0.97	12.88	 0.27	 0.00	 0.00	 1.08
    1228	UGC01281   	NFW-LCDM    	 0.55	 0.12	 0.00	 0.00	  5.38	 0.24	90.0	 0.6	 55.82	  2.96	  6.28	  0.62	 12.18	    1.37	-2.66	  0.16	10.74	 0.07	 0.00	 0.00	 1.88
    1229	UGC01281   	Einasto-Flat	 0.48	 0.13	 0.00	 0.00	  5.30	 0.24	89.8	 0.6	 22.96	 25.45	  9.82	  1.38	  3.20	    3.58	-2.12	  2.05	 9.59	 1.44	 1.94	 0.47	 1.88
    1230	UGC01281   	Einasto-LCDM	 0.48	 0.12	 0.00	 0.00	  5.23	 0.24	89.9	 0.6	 52.93	  3.17	  7.54	  0.47	  9.62	    0.84	-2.90	  0.15	10.67	 0.08	 0.45	 0.07	 1.88
    1231	UGC01281   	DC14-Flat   	 0.47	 0.12	 0.00	 0.00	  5.26	 0.24	90.0	 0.6	 48.59	 20.97	 22.10	  3.63	  3.01	    1.39	-1.83	  0.72	10.56	 0.56	 0.00	 0.00	 0.16
    1232	UGC01281   	DC14-LCDM   	 0.51	 0.14	 0.00	 0.00	  5.41	 0.24	89.9	 0.6	 53.07	  3.03	 20.02	  1.75	  3.63	    0.38	-1.93	  0.13	10.68	 0.07	 0.00	 0.00	 0.23
    1233	UGC01281   	coreNFW-Flat	 0.48	 0.11	 0.00	 0.00	  5.22	 0.24	89.9	 0.6	 44.47	 11.13	 14.03	  4.44	  4.34	    1.75	-1.81	  0.62	10.45	 0.33	 0.00	 0.00	 0.26
    1234	UGC01281   	coreNFW-LCDM	 0.47	 0.11	 0.00	 0.00	  5.21	 0.23	89.9	 0.6	 51.96	  2.80	 10.24	  1.38	  6.95	    1.01	-2.15	  0.20	10.65	 0.07	 0.00	 0.00	 0.30
    1235	UGC01281   	Lucky13-Flat	 0.51	 0.13	 0.00	 0.00	  5.35	 0.24	89.9	 0.6	 64.97	 13.52	 16.75	  1.89	  5.31	    1.26	-1.51	  0.41	10.94	 0.27	 0.00	 0.00	 0.24
    1236	UGC01281   	Lucky13-LCDM	 0.55	 0.13	 0.00	 0.00	  5.33	 0.24	90.0	 0.6	 54.75	  3.03	 18.29	  1.38	  4.10	    0.38	-1.41	  0.14	10.72	 0.07	 0.00	 0.00	 0.28
    1237	UGC02023   	pISO-Flat   	 0.49	 0.13	 0.00	 0.00	 10.11	 3.17	16.9	 7.3	298.69	131.63	 36.69	115.43	 11.15	   35.42	-1.86	  4.41	12.93	 0.57	 0.00	 0.00	
