#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
NGC 4405  	(R)SA\underline{B}(\underline{r}s)a          	(R)S\underline{A}B(\underline{r}s)0/a        	 0.5	 0.50	(R)SAB(\underline{r}s)0/\underline{a}                    	 	186.52965	+16.18085
NGC 4402  	(R')S\underline{A}B(s)c                      	SB(s)c sp / E7                               	 5.0	 0.62	(R')SAB(s)c sp / E7                                      	 	186.53152	+13.11279
UGC 7534  	IAB(s)m                                      	IAB(s)m                                      	10.0	 0.50	IAB(s)m                                                  	 	186.53329	+58.32181
NGC 4406  	E^+^3                                        	E^+^2                                        	-4.0	     	E^+^2-3                                                  	 	186.54922	+12.94597
NGC 4414  	SA(rl)bc                                     	SA(s)c / E3                                  	 4.5	 0.00	SA(r\underline{s})b\underline{c} / E3                    	F	186.61287	+31.22354
NGC 4411A 	SB(rs)cd                                     	SB(rs)d                                      	 6.5	 1.00	SB(rs)c\underline{d}                                     	M	186.62558	+08.87164
NGC 4413  	(R'L)SB(\underline{r}s)ab                    	(R'L)SB(\underline{r}s)cd                    	 4.0	 1.00	(R'L)SB(\underline{r}s)bc                                	G	186.63442	+12.61086
NGC 4412  	SA\underline{B}(r\underline{s})bc            	SA\underline{B}(rs)b                         	 3.5	 0.75	SA\underline{B}(rs)\underline{b}c                        	G	186.65042	+03.96464
NGC 4416  	(RL)SB(rs)dm                                 	SB(rs)dm / Sph                               	 8.0	 1.00	(RL)SB(rs)dm / Sph                                       	F	186.69467	+07.91883
NGC 4411B 	SA(s)c                                       	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	M	186.69673	+08.88457
IC 3355   	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	186.71265	+13.17569
IC 3356   	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	186.71039	+11.55902
NGC 4355  	(R'L)S\underline{A}B(l)0/a                   	(RL)S\underline{A}B(l)0^+^                   	-0.5	 0.25	(RL)S\underline{A}B(l)\underline{0}/a                    	 	186.72762	-00.87764
IC 3358   	dE4 / dSph                                   	dE3,N / Sph                                  	11.0	     	dE3-4,N / Sph                                            	 	186.72676	+11.66357
NGC 4419  	SB_xa sp                                     	SAB(s)0/a sp / E6                            	 0.5	 0.75	SA\underline{B}_x_(s:)0/\underline{a} sp / E6            	 	186.73514	+15.04742
NGC 4409  	SA(s)d:                                      	SA(s)dm                                      	 7.5	 0.00	SA(s)\underline{d}m:                                     	F	186.74365	+02.49436
PGC 40790 	SB(s)m /Sph                                  	                                             	 9.0	 1.00	SB:(s:)m                                                 	 	186.76886	-00.90587
UGC 7559  	dIm                                          	dIAB(s)m                                     	10.0	 0.50	dIAB:(s:)m                                               	 	186.77000	+37.14417
NGC 4423  	SB:(s)dm sp                                  	SB(s)m sp                                    	 8.5	 1.00	SB(s)d\underline{m}: sp                                  	 	186.78738	+05.88022
UGC 7557  	SAB(s)d:                                     	SAB(s)dm:                                    	 7.5	 0.50	SAB(s)\underline{d}m:                                    	 	186.79746	+07.26256
NGC 4424  	(R_2_'L)SB(s)0/a pec                         	(R_2_')SB(s)0/a[cd]                          	 0.0	 1.00	(R_2_'L)SB(s)0/a[cd] pec                                 	 	186.79826	+09.42052
NGC 4425  	SB_x0/a sp                                   	SB_xa_0^+^ sp                                	-0.5	 1.00	SB_{xa}_\underline{0}/asp                                	 	186.80566	+12.73480
IC 3371   	Sd sp                                        	dSdm: sp                                     	 7.5	     	S\underline{d}m: sp                                      	 	186.84272	+10.86678
NGC 4430  	SAB(\underline{r}s)dm                        	SB(rs)dm                                     	 8.0	 0.75	SA\underline{B}(rs)dm                                    	F	186.85992	+06.26264
NGC 4428  	SA(s)bc                                      	SA(s)bc                                      	 4.0	 0.00	SA(s)bc                                                  	M	186.86793	-08.16789
NGC 4434  	E1                                           	E0-1                                         	-5.0	     	E1                                                       	 	186.90283	+08.15431
NGC 4435  	SB_x0^o^ sp / E3                             	SAB_x0^o^ sp / E1-2                          	-2.0	 0.75	SA\underline{B}_x_0^o^ sp / E2                           	 	186.91876	+13.07902
UGC 7577  	dE /Sph                                      	dIm / dSph                                   	11.0	     	dE5 (dIm) / dSph                                         	 	186.92446	+43.49425
NGC 4438  	S0/a sp pec                                  	S(nd)0/a sp pec (tidal debris)               	 0.0	     	S(nd)0/a sp pec                                          	 	186.94022	+13.00859
UGC 7579  	SB(s)d: sp                                   	Sm sp                                        	 8.0	 1.00	SB:(s:)dm: sp                                            	 	186.98076	+05.72125
NGC 4442  	SB0^-^                                       	SB0^-^                                       	-3.0	 1.00	SB0^-^                                                   	 	187.01622	+09.80362
UGC 7608  	dIm                                          	dIA(s)m                                      	10.0	 0.00	dIA:(s:)m                                                	 	187.18517	+43.22578
NGC 4449  	IB(s)m                                       	IB(s)m                                       	10.0	 1.00	IB(s)m                                                   	 	187.04632	+44.09356
NGC 4445  	SA(l)[0]c sp                                 	SA(l)[0]c                                    	 5.0	 0.00	SA(l)[0]c sp                                             	 	187.06640	+09.43630
NGC 4448  	(R')SB(r)a                                   	(R)SB(r,bl)0/a                               	 0.5	 1.00	(R)SB(r,bl)0/\underline{a}                               	M	187.06428	+28.62030
UGC 7590  	SBm:                                         	SB(s)dm                                      	 8.5	 1.00	SB(s:)d\underline{m}:                                    	F	187.07822	+08.72947
IC 3391   	SA(r?)c pec                                  	SA(rs)c / Sph                                	 5.0	 0.00	SA(rs:)c pec / Sph                                       	F	187.11366	+18.41530
UGC 7599  	dIm / Sph                                    	dIAB(s)m                                     	10.0	 0.50	dIAB:(s:)m                                               	 	187.11762	+37.23358
NGC 4450  	(R')SAB(rs)a                                 	(R')SAB(rs)0/a                               	 0.5	 0.50	(R')SAB(rs)0/\underline{a}                               	G	187.12347	+17.08495
UGC 7596  	dIm/ dSph                                    	dIm / Sph                                    	10.0	     	Im / Sph                                                 	 	187.14162	+08.63939
UGC 7605  	dE / Sph                                     	dIm                                          	10.0	     	dIm                                                      	 	187.16143	+35.71747
NGC 4451  	SA(r)0^+^[c]                                 	SA(r)0^+^[c]/ Sph                            	-1.0	 0.00	SA(r)0^+^[c] / Sph                                       	 	187.16899	+09.25892
IC 3392   	SA(rs)ab                                     	SA(rs)ab                                     	 2.0	 0.00	SA(rs)ab                                                 	G	187.18040	+14.99941
NGC 4455  	SAm: sp                                      	SA(s)m sp                                    	 9.0	 0.00	SA(s:)m: sp                                              	 	187.18383	+22.82150
NGC 4460  	SA(r:)0^o^[c] sp                             	SA(rs)0^+^[c]/ E(d)7                         	-1.5	 0.00	SA(\underline{r}s)0^{o/+}^[c]: sp / E(d)7                	 	187.18982	+44.86424
NGC 4454  	(RL)SAB(r)0/a                                	(RL)SAB(\underline{r}s,bl)0/a                	 0.0	 0.50	(RL)SAB(r,bl)0/a                                         	 	187.21144	-01.93914
NGC 4458  	E1                                           	E0                                           	-5.0	     	E0-1                                                     	 	187.23972	+13.24192
NGC 4457  	(RR)SAB(l)0^+^                               	(RR)SAB(l)0^+^                               	-1.0	 0.50	(RR)SAB(l)0^+^                                           	 	187.24588	+03.57061
UGC 7612  	SB(s)dm                                      	SB(s)d                                       	 7.5	 1.00	SB(s)\underline{d}m                                      	 	187.25979	+02.72242
NGC 4461  	SA(r,l)0^+^                                  	SA(r)0^o^                                    	-1.5	 0.00	SA(r,l)0^{o/+}^                                          	 	187.26254	+13.18386
NGC 4462  	SAB_x(rs)a                                   	SAB_x(rs)a                                   	 1.0	 0.50	SAB_x_(rs)a                                              	G	187.33790	-23.16662
IC 796    	SB_a0^-^                                     	SAB0^-^                                      	-3.0	 0.75	SA\underline{B}_a_0^-^                                   	 	187.35980	+16.40472
NGC 4470  	SAc: pec /Sph                                	SA(s)m / Sph                                 	 7.0	 0.00	SA(s:)d: pec / Sph                                       	F	187.40750	+07.82406
NGC 4472  	E2                                           	E2                                           	-5.0	     	E2                                                       	 	187.44499	+08.00041
UGC 7639  	dSm/dS0 / Sph                                	dE5-6: / Sph                                 	11.0	     	dS0 (dIm) / Sph                                          	 	187.47229	+47.53114
NGC 4480  	SA(s)c                                       	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	M	187.61159	+04.24647
NGC 4485  	IAB(s)m: /Sph                                	SAB[0]m pec                                  	10.0	     	Im pec / Sph                                             	 	187.62964	+41.70117
NGC 4490  	Im pec                                       	SABd pec                                     	 8.5	 0.50	SAB:d\underline{m} pec                                   	F	187.65153	+41.64363
NGC 4488  	S(box)(s)a                                   	SB_rect_(s)a [bc]                            	 1.0	 1.00	SB_x_(s)a                                                	 	187.71416	+08.36013
NGC 4489  	SA(l)0^-^                                    	SA(l)0^-^                                    	-3.0	 0.00	SA(l)0^-^                                                	 	187.71767	+16.75870
NGC 4491  	SB(rs)0/a                                    	SB(s)0^+^                                    	-0.5	 1.00	SB(r\underline{s})\underline{0}/a                        	 	187.73805	+11.48355
NGC 4492  	SA(\underline{r}s)0^-^                       	E1                                           	-4.0	     	E^+^1                                                    	 	187.74896	+08.07791
NGC 4487  	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	187.76858	-08.05391
UGC 7673  	dIm /Sph                                     	dIm                                          	10.0	     	dIm                                                      	 	187.99404	+29.70939
NGC 4494  	E1                                           	E0-1                                         	-5.0	     	E1                                                       	 	187.85014	+25.77498
NGC 4496A 	SB(r\underline{s})d                          	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	187.91336	+03.93947
NGC 4498  	SB(rs)d                                      	SB(s)d                                       	 7.0	 1.00	SB(r\underline{s})d                                      	F	187.91485	+16.85282
IC 797    	SAB(s)dm:                                    	SAB(s)dm / Sph                               	 8.0	 0.50	SAB(s)dm: / Sph                                          	F	187.97813	+15.12392
NGC 4501  	SA(r\underline{s})a\underline{b}             	SA(r\underline{s})b                          	 2.7	 0.00	SA(r\underline{s})a\underline{b}                         	M	187.99673	+14.42041
NGC 4502  	SB(s)m:                                      	IABm                                         	 9.5	 0.75	S/IA\underline{B}(s:)m:                                  	F	188.01397	+16.68771
NGC 4503  	SAB_a(bl)0^o^                                	SA(s,l)0^o^                                  	-2.0	 0.25	S\underline{A}B(s,l)0^o^                                 	 	188.02580	+11.17643
IC 3473   	dSA0/a? ,N                                   	dE3-4,N / Sph                                	11.0	     	dE3-4,N (dIm) / Sph                                      	 	188.07967	+18.24469
UGC 7700  	SB(s)m                                       	SAB(s)dm                                     	 8.5	 0.75	SA\underline{B}(s)d\underline{m}                         	F	188.13677	+63.87739
UGC 7698  	dIm /Sph                                     	dIBm                                         	10.0	 1.00	dIm                                                      	 	188.22737	+31.54192
UGC 7697  	S\underline{A}B(s)d: sp                      	Scd: sp                                      	 6.5	 0.25	S\underline{A}B:(s:)c\underline{d}: sp                   	 	188.21510	+20.18372
NGC 4506  	dSA(s)a                                      	dSA(rs)0^+^ /Sph                             	 0.0	 0.00	dSA(r\underline{s})0/a / Sph                             	 	188.04369	+13.41966
NGC 4504  	SAB(rs)c                                     	SAB(s)c                                      	 5.0	 0.50	SAB(r\underline{s})c                                     	M	188.07272	-07.56343
UGC 7690  	SAB(s)m / Sph                                	(R')SAB(s)m                                  	 9.0	 0.50	(R')SAB(s)m                                              	F	188.11279	+42.70461
NGC 4517A 	SAB(s)dm                                     	SAB(s)dm                                     	 8.0	 0.50	SAB(s)dm                                                 	F	188.11717	+00.38975
IC 3474   	Sdm sp                                       	Sdm sp                                       	 8.0	     	Sdm sp                                                   	 	188.15258	+02.66036
IC 3475   	dE1                                          	dE0-1 / Sph                                  	11.0	     	dE1 / Sph                                                	 	188.17077	+12.77054
IC 3476   	SAB(s)m                                      	S\underline{A}B(s)m                          	 9.0	 0.38	SAB(s)m                                                  	F	188.17393	+14.05161
NGC 4437  	Sc sp                                        	SA(s)c sp / E(d)8-9                          	 5.0	 0.00	SA:(s:)c sp / E(d)8-9                                    	 	188.18994	+00.11504
UGC 7699  	SB(s)d sp                                    	SB(r\underline{s})d                          	 7.0	 1.00	SB(s)d sp                                                	F	188.20001	+37.62180
PGC 41743 	dE5 /Sph                                     	dE4-5 / Sph                                  	11.0	     	dE5 / Sph                                                	 	188.48000	-10.67972
NGC 4519  	SAB(r\underline{s})cd                        	SB(r\underline{s})d                          	 6.5	 0.75	SA\underline{B}(r\underline{s})c\underline{d}            	F	188.37616	+08.65446
PGC 41725 	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	188.40542	-04.88583
NGC 4522  	(R')SAB_a?(r,rs)a: pec                       	(R')SAB(rs,r)cd pec                          	 3.5	 0.50	(R')SAB_a_(rs,r)\underline{b}c: pec                      	 	188.41524	+09.17487
ESO 506-18	Sd sp                                        	Sd sp                                        	 7.0	     	Sd sp                                                    	 	188.42375	-23.68056
NGC 4523  	SB(s)m                                       	SAB(s)m                                      	 9.0	 0.75	SA\underline{B}(s)m                                      	F	188.44997	+15.16830
NGC 4525  	(R')SB(s)cd                                  	SB(s)d                                       	 6.5	 1.00	(R')SB(s)c\underline{d}                                  	F	188.46330	+30.27752
IC 800    	SBm /Sph                                     	(R')SB(rs)m [0/a]                            	 9.0	 1.00	(R')SBm [0/a]                                            	F	188.48631	+15.35454
UGC 7719  	dIm / Sph sp                                 	dIm sp                                       	10.0	     	dIm sp                                                   	 	188.50225	+39.01918
NGC 4534  	SAB(s)dm                                     	IAB(s)m                                      	 9.0	 0.50	SAB(s)m                                                  	F	188.52255	+35.51835
NGC 4528  	SB(r)0^o^                                    	SB(r)0^o^                                    	-2.0	 1.00	SB(r)0^o^                                                	 	188.52502	+11.32192
NGC 4527  	(R_2_')SAB(rs,nr)b\underline{c}              	(R_2_')SAB(rs,nr)b                           	 3.7	 0.50	(R_2_')SAB(rs,nr)\underline{b}c                          	G	188.53540	+02.65381
UGC 7730  	S\underline{A}B(s)dm                         	SAB(s)cd                                     	 7.0	 0.38	SAB(s)d                                                  	 	188.52675	+64.56692
NGC 4531  	(L)SA(\underline{r}s)a                       	SA(\underline{r}s)0/a                        	 0.5	 0.00	(L)SA(\underline{r}s)0/\underline{a}                     	G	188.56602	+13.07553
NGC 4532  	IB(s)m                                       	IBm                                          	10.0	 1.00	IB(s:)m                                                  	 	188.58054	+06.46770
NGC 4535  	SAB(s)c                                      	SAB(s)c                                      	 5.0	 0.50	SAB(s)c                                                  	M	188.58462	+08.19776
NGC 4533  	Sd: sp                                       	SA(s)d: sp                                   	 7.0	 0.00	SA:(s:)d: sp                                             	 	188.59175	+02.32533
NGC 4536  	SAB(rs)\underline{b}c                        	SAB(rs,nr)bc                                 	 3.7	 0.50	SAB(rs,nr)\underline{b}c                                 	M	188.61304	+02.18788
IC 3517   	SB(s)m                                       	(R')SAB(s)dm                                 	 8.5	 0.75	(R')SA\underline{B}(s)d\underline{m}                     	F	188.62879	+09.15412
NGC 4545  	SAB(s)c                                      	S\underline{A}B(s)c                          	 5.0	 0.38	SAB(s)c                                                  	M	188.64256	+63.52506
NGC 4539  	SB0^o^[c]: sp                                	SB(s)a [cd] pec                              	-0.5	 1.00	SB(s:)\underline{0}/a: sp pec                            	 	188.64484	+18.20258
IC 3521   	SBm?                                         	IB(s)m / Sph pec                             	10.0	 1.00	IB(s)m / Sph pec                                         	 	188.66492	+07.15875
UGC 7739  	dSph                                         	IAm / Sph                                    	10.0	     	IAm / Sph                                                	 	188.68771	+06.30178
IC 3522   	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	188.68990	+15.22078
NGC 4540  	SAB(rs)m /Sph, N                             	SAB(rs)m                                     	 9.0	 0.50	SAB(rs)m / Sph, N                                        	F	188.71195	+15.55145
NGC 4548  	SB(rs)a                                      	SB(rs,bl)ab                                  	 1.5	 1.00	SB(rs,bl)\underline{a}b                                  	G	188.86012	+14.49632
NGC 4546  	E(d)4-5                                      	E(d)3-4                                      	-5.0	     	E(d)4                                                    	 	188.87294	-03.79323
NGC 4550  	S0^-^ sp                                     	S0^-^ sp/ E6-7 (d)                           	-3.0	     	S0^-^ sp / E6-7 (d)                                      	 	188.87755	+12.22096
NGC 4562  	SAd: sp                                      	SAB(s)m                                      	 8.0	 0.25	S\underline{A}B(s:)dm: sp                                	 	188.89433	+25.84950
NGC 4544  	Sd/Sph sp                                    	Sd sp / E(d)6                                	 7.0	     	Sd sp / E(d)6                                            	 	188.90252	+03.03453
PGC 41965 	SAB(s)dm                                     	SAB(s)dm                                     	 8.0	 0.50	SAB(s)dm                                                 	F	188.90417	-07.87806
NGC 4572  	Sc spw                                       	Scd sp-superw                                	 5.5	     	S\underline{c}d sp-superw?                               	G	188.94171	+74.24603
NGC 4559  	SB(s)cd                                      	SAB(s)cd                                     	 6.0	 0.75	SA\underline{B}(s)cd                                     	M	188.99037	+27.95976
NGC 4561  	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	189.03390	+19.32259
NGC 4565  	SB_x(r)\underline{a}b sp                     	SB_x(r)ab spw                                	 1.7	 1.00	SB_x_(r)\underline{a}b spw                               	 	189.08668	+25.98739
UGC 7774  	SBdm sp                                      	Sm sp / E(d)8                                	 8.5	 1.00	SB:d\underline{m} sp / E(d)8                             	 	189.09583	+40.00511
NGC 4567  	SA(rs)bc                                     	S\underline{A}B(\underline{r}s)bc            	 4.0	 0.12	SA(rs)bc                                                 	M	189.13626	+11.25787
PGC 42068 	dS0 ,N /Sph                                  	dSA0^o^,N / Sph                              	11.0	     	dSA0^o^,N / Sph                                          	 	189.14562	+08.05471
NGC 4568  	SA(r\underline{s})bc                         	SA(s,nl)c                                    	 4.5	 0.00	SA(s,nl)b\underline{c}                                   	M	189.14288	+11.23863
IC 3576   	SB(s)m                                       	SAB(s)m                                      	 9.0	 0.75	SA\underline{B}(s)m                                      	 	189.15708	+06.62056
UGC 7780  	Im sp                                        	SAB(s)m sp                                   	 9.5	 0.50	S/IAB:(s:)m sp                                           	 	189.17529	+03.10717
IC 3583   	IB(s)m                                       	IAB(s)m                                      	10.0	 0.75	IA\underline{B}(s)m                                      	 	189.18149	+13.25915
NGC 4569  	(L)SB_x(rs,x_1_r)a                           	(R'L)SAB_x(\underline{r}s)a                  	 1.0	 0.75	(R'L)SA\underline{B}_x_(rs,x_1_r)a                       	G	189.20757	+13.16287
PGC 91215 	Im: sp                                       	dIm sp                                       	10.0	     	Im: sp                                                   	 	189.22883	+01.61400
NGC 4571  	SA(l)c                                       	SA(rl)c                                      	 5.0	 0.00	SA(r\underline{l})c                                      	F	189.23488	+14.21736
ESO 442-13	SB(s)cd                                      	SAB(s)d                                      	 6.5	 0.75	SA\underline{B}(s)c\underline{d}                         	G	189.30629	-28.49142
PGC 42160 	IBm                                          	IABm                                         	10.0	 0.75	IA\underline{B}m                                         	 	189.42299	+08.55867
NGC 4579  	(RL,R')SB(r\underline{s})a                   	(R,R')SB(rs,bl)a                             	 1.0	 1.00	(\underline{R}L,R')SB(rs,bl)a                            	G	189.43165	+11.81809
UGC 7795  	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	189.43844	+07.10509
NGC 4580  	(R')SA(\underline{r}s,rs)a                   	(R)SA(\underline{r}s)a                       	 1.0	 0.00	(R)SA(rs,\underline{r}s)a                                	M	189.45166	+05.36843
NGC 4584  	SB(s)m /Sph                                  	SB(s)0/a[m] pec                              	 0.0	 1.00	SB(s)0/a[m] pec / Sph                                    	 	189.57430	+13.11002
UGC 7802  	SB(s)d sp                                    	SB(s)d sp                                    	 7.0	 1.00	SB(s)d sp                                                	 	189.58736	+07.89202
NGC 4586  	SB_x(s,nd)0/a sp                             	SAB_x(s,nd)0^+^                              	-0.5	 0.75	SA\underline{B}_x_(s,nd)\underline{0}/a sp               	 	189.61848	+04.31910
IC 3611   	SB(s)m                                       	SB(s)m: / Sph                                	 9.0	 1.00	SB(s)m: / Sph                                            	 	189.76666	+13.36380
NGC 4591  	SAB(rs)a                                     	SAB(rs)ab                                    	 1.5	 0.50	SAB(rs)\underline{a}b                                    	M	189.80183	+06.01221
ESO 506-29	SB(s)dm                                      	SBdm                                         	 8.0	 1.00	SB(s:)dm                                                 	F	189.81792	-26.91111
NGC 4592  	SAB(s)dm sp                                  	Im sp                                        	 9.0	 0.50	SAB:(s:)m sp                                             	F	189.82825	-00.53184
NGC 4593  	(R')SB(rs)a                                  	(R')SB(rs,bl,AGN)a                           	 1.0	 1.00	(R')SB(rs,bl,AGN)a                                       	G	189.91455	-05.34421
IC 3631   	E(d)2/S0^-^ sp                               	E(d)3-4                                      	-5.0	     	E(d)3                                                    	 	189.95020	+12.97393
UGC 7824  	dSAB0^o^ / dSph / dIm                        	dSAB0^o^ / Sph                               	11.0	 0.50	dSAB0^o^ / Sph                                           	 	189.96037	+01.67239
NGC 4595  	SA(s)cd                                      	SAB(s)m                                      	 7.5	 0.25	S\underline{A}B(s)\underline{d}m                         	F	189.96629	+15.29780
NGC 4596  	(R\underline{L})SB(rs)0/a                    	(L)SB(rs,bl)0^+^                             	-0.5	 1.00	(L)SB(rs,bl)\underline{0}/a                              	 	189.98306	+10.17603
NGC 4594  	(R)SA(l)0^+^ sp/E1                           	(R)SA(l)0^+^ sp/ E(d)1-2                     	-1.0	 0.00	(R)SA(l)0^+^ sp / E(d)1-2                                	 	189.99763	-11.62305
NGC 4605  	IB(s)m sp                                    	IB(s)m sp pec                                	10.0	 1.00	IB(s)m sp pec                                            	 	189.99742	+61.60919
UGC 7844  	Sdm: sp                                      	Sd: sp                                       	 7.5	     	S\underline{d}m: sp                                      	 	190.20787	+73.71892
UGC 7848  	SAB_a(s,x_1_r)bc                             	SAB_a(\underline{r}s)c                       	 4.5	 0.50	SAB_a_(s,x_1_r)b\underline{c}                            	M	190.23930	+63.51981
NGC 4597  	(R')SB(s)dm                                  	SAB(r\underline{s})dm                        	 8.0	 0.75	(R')SA\underline{B}(s)dm                                 	F	190.05388	-05.79929
ESO 506-33	S0^-^ sp/ E(d)6-7                            	S0^-^ sp/ E5                                 	-3.0	     	S0^-^ sp / E5                                            	 	190.05763	-25.32692
NGC 4599  	S0^-^/E(d)7                                  	S0^-^ sp/ E(d)6                              	-3.0	     	S0^-^ sp / E(d)6                                         	 	190.11281	+01.19686
NGC 4602  	SAB(s)bc pec                                 	(R')SA\underline{B}(s)bc pec                 	 4.0	 0.62	(R')SAB(s)bc pec                                         	M	190.15353	-05.13301
NGC 4604  	SB(s)dm                                      	SA\underline{B}(s)m                          	 8.5	 0.88	SB(s)d\underline{m}                                      	 	190.18724	-05.30254
NGC 4606  	SA(l:)0^o^                                   	SA0^-^ (centraljet?)                         	-2.5	 0.00	SA0^{-/o}^:                                              	 	190.23982	+11.91219
NGC 4607  	Scd sp                                       	Sd sp / E7-8                                 	 6.5	     	Sc\underline{d} sp / E7-8                                	 	190.30170	+11.88663
PGC 42559 	Im /Sph                                      	Im sp / E5-6                                 	10.0	     	Im sp / E5-6                                             	 	190.34555	-03.05806
NGC 4618  	(R')SB(r\underline{s})m                      	(R')SB(rs)m                                  	 9.0	 1.00	(R')SB(rs)m                                              	F	190.38684	+41.15076
NGC 4625  	(R')SAB(rs)m                                 	S\underline{A}B(rs)m                         	 9.0	 0.38	(R')SAB(rs)m                                             	F	190.46959	+41.27372
NGC 4631  	SB(s)d sp                                    	SB(s)d sp pec                                	 7.0	 1.00	SB(s)d sp pec                                            	 	190.53337	+32.54151
IC 3687   	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	190.56325	+38.50328
NGC 4628  	(R')SB_a(s)a                                 	(R')SB_a(s,AGN)ab sp                         	 1.5	 1.00	(R')SB_a_(s,AGN)\underline{a}b sp                        	G	190.60532	-06.97096
NGC 4630  	SB(s)m / Sph,N                               	SA(s)dm pec / Sph,N                          	 8.5	 0.50	SAB(s)d\underline{m} pec / Sph,N                         	F	190.62977	+03.96036
NGC 4632  	SB(s)dm /Sph                                 	SAB(s)dm                                     	 8.0	 0.75	SA\underline{B}(s)dm                                     	F	190.63347	-00.08254
NGC 4629  	dS0,N / Sph                                  	dE3,N / Sph                                  	11.0	     	dE3,N (Im) / Sph                                         	 	190.63637	-01.35059
NGC 4633  	SA(s)d                                       	SA(s)c                                       	 6.0	 0.00	SA(s)cd                                                  	F	190.65454	+14.35558
NGC 4635  	SA(s)d                                       	SA(s)d                                       	 7.0	 0.00	SA(s)d                                                   	F	190.66356	+19.94523
NGC 4634  	Sd sp/Box                                    	Sd sp / E(b)7-8                              	 7.0	     	Sd sp / E(b)7-8                                          	 	190.67077	+14.29587
NGC 4636  	E2                                           	E^+^2-3                                      	-4.5	     	E/E^+^2                                                  	 	190.70778	+02.68778
NGC 4639  	(R')SB(\underline{r}s)ab                     	(R')SAB(rs,bl)ab                             	 2.0	 0.75	(R')SA\underline{B}(rs,bl)ab                             	M	190.71814	+13.25754
NGC 4641  	SA(rl)0^o^                                   	dE0,N / SA(s)m /Sph                          	11.0	     	dSA[(s)m](rl)0^o^ / Sph                                  	 	190.78190	+12.05111
UGC 7908  	SBm: sp                                      	Im sp                                        	 9.5	 1.00	S/Im sp                                                  	 	190.90846	+73.61319
