# MEASURED velocity dispersion profiles of Galactic globular clusters (line-of-sight RV and proper-motion bins).
# Source: https://people.smp.uq.edu.au/HolgerBaumgardt/globular/veldis.html   Retrieved 2026-09-03.
# Radius is in arcsec.  Type RV = line-of-sight radial velocities.  These are the DATA, not model curves.
ClusterName	R[arcsec]	N_star	sigma[km/s]	dsigma_up	dsigma_low	Type
NGC 6266	20.80		14.20	0.50	0.50	L13
NGC 6266	22.14	762	14.37	0.25	0.25	W15
NGC 6266	23.72	300	13.47	0.59	0.55	RV
NGC 6266	25.88	762	14.40	0.27	0.27	W15
NGC 6266	27.13	300	12.12	0.53	0.50	RV
NGC 6266	27.32	110	13.85	1.04	0.93	VB21
NGC 6266	29.09	762	13.94	0.27	0.27	W15
NGC 6266	30.46	300	11.90	0.53	0.49	RV
NGC 6266	31.96	762	13.83	0.22	0.22	W15
NGC 6266	33.65	300	12.66	0.55	0.52	RV
NGC 6266	34.83	761	13.86	0.25	0.25	W15
NGC 6266	36.90	300	12.91	0.56	0.53	RV
NGC 6266	37.55	762	14.17	0.26	0.26	W15
NGC 6266	40.07	300	12.91	0.56	0.53	RV
NGC 6266	40.44	762	13.23	0.24	0.24	W15
NGC 6266	43.35	300	12.16	0.54	0.50	RV
NGC 6266	43.74	762	13.20	0.23	0.23	W15
NGC 6266	46.86	300	11.92	0.52	0.49	RV
NGC 6266	47.07	762	13.31	0.26	0.26	W15
NGC 6266	50.21	300	12.06	0.53	0.50	RV
NGC 6266	50.58	761	13.34	0.24	0.24	W15
NGC 6266	51.16	110	13.84	1.03	0.92	VB21
NGC 6266	54.22	300	12.58	0.55	0.52	RV
NGC 6266	54.32	762	12.36	0.24	0.24	W15
NGC 6266	58.20	762	12.92	0.25	0.25	W15
NGC 6266	62.48	762	12.22	0.23	0.23	W15
NGC 6266	63.22	300	11.12	0.49	0.46	RV
NGC 6266	66.92	762	11.96	0.23	0.23	W15
NGC 6266	70.47	110	11.89	0.88	0.79	VB21
NGC 6266	71.58	761	12.39	0.23	0.23	W15
NGC 6266	76.36	762	12.52	0.25	0.25	W15
NGC 6266	82.30	762	11.74	0.19	0.19	W15
NGC 6266	91.58	762	11.31	0.20	0.20	W15
NGC 6266	103.56	762	11.15	0.22	0.22	W15
NGC 6266	105.94	100	9.87	0.75	0.67	RV
NGC 6266	119.38	762	10.63	0.20	0.20	W15
NGC 6266	261.26	84	6.71	0.58	0.51	RV
NGC 6273	41.90	63	10.00	0.98	0.84	RV
NGC 6273	77.76	63	9.04	0.88	0.76	RV
NGC 6273	121.19	63	9.71	0.95	0.82	RV
NGC 6273	140.46	200	8.69	0.49	0.46	VB21
NGC 6273	187.59	63	6.28	0.62	0.53	RV
NGC 6273	200.26	200	7.04	0.44	0.41	VB21
NGC 6273	273.41	200	6.75	0.44	0.40	VB21
NGC 6273	351.87	54	5.51	0.59	0.51	RV
NGC 6273	378.94	71	4.88	0.56	0.50	VB21
NGC 6284	53.30	62	5.12	0.61	0.53	VB21
NGC 6284	73.88	20	3.10	0.63	0.49	RV
NGC 6284	132.56	19	3.69	0.77	0.60	RV
NGC 6287	75.78	150	4.75	0.42	0.38	VB21
NGC 6287	117.67	8	4.03	1.53	1.05	RV
NGC 6287	136.54	150	3.77	0.37	0.34	VB21
NGC 6293	5.76	65	7.56	0.79	0.68	RV
NGC 6293	13.38	65	7.15	0.72	0.63	RV
NGC 6293	22.23	65	7.22	0.74	0.64	RV
NGC 6293	29.53	65	5.47	0.59	0.51	RV
NGC 6293	44.00	70	6.58	0.63	0.55	VB21
NGC 6293	79.61	26	4.83	0.80	0.63	RV
NGC 6293	120.10	70	4.62	0.48	0.42	VB21
NGC 6304	6.64	68	5.02	0.35	0.35	LI22
NGC 6304	13.93	117	5.10	0.26	0.26	LI22
NGC 6304	21.61	117	5.54	0.29	0.29	LI22
NGC 6304	27.73	51	5.68	0.62	0.53	RV
NGC 6304	27.80	117	5.48	0.29	0.29	LI22
NGC 6304	35.55	117	5.34	0.29	0.29	LI22
NGC 6304	44.07	117	5.25	0.26	0.26	LI22
NGC 6304	55.28	117	5.05	0.26	0.26	LI22
NGC 6304	56.82	51	4.93	0.55	0.46	RV
NGC 6304	73.94	117	4.64	0.23	0.23	LI22
NGC 6304	84.03	90	3.80	0.41	0.36	VB21
NGC 6304	102.23	51	4.76	0.53	0.45	RV
NGC 6304	162.44	30	3.75	0.64	0.53	VB21
NGC 6304	177.87	52	3.42	0.38	0.32	RV
NGC 6316	43.79	37	6.09	0.81	0.67	RV
NGC 6316	44.19	60	7.48	0.84	0.72	VB21
NGC 6316	88.51	20	5.91	1.26	0.98	VB21
NGC 6316	122.59	36	4.72	0.64	0.53	RV
NGC 6325	4.73	79	4.93	0.32	0.32	C21
NGC 6325	9.51	25	5.43	0.98	0.78	RV
NGC 6325	10.81	149	5.25	0.25	0.25	C21
NGC 6325	16.95	149	4.68	0.21	0.21	C21
NGC 6325	22.77	121	4.75	0.25	0.25	C21
NGC 6325	28.78	121	4.54	0.21	0.21	C21
NGC 6325	32.98	60	4.11	0.49	0.42	VB21
NGC 6325	35.52	121	4.50	0.21	0.21	C21
NGC 6325	43.34	121	4.07	0.21	0.21	C21
NGC 6325	49.83	20	5.24	1.12	0.87	RV
NGC 6325	62.36	124	3.75	0.21	0.21	C21
NGC 6325	102.60	50	3.32	0.44	0.37	VB21
NGC 6333	13.16	25	8.97	1.47	1.17	RV
NGC 6333	113.91	250	5.87	0.34	0.32	VB21
NGC 6333	180.08	250	4.62	0.31	0.29	VB21
NGC 6333	193.20	26	4.98	0.97	0.78	RV
NGC 6333	231.13	76	4.74	0.59	0.52	VB21
NGC 6341	3.24	54	7.78	0.56	0.56	LI22
NGC 6341	7.81	126	8.02	0.36	0.36	LI22
NGC 6341	12.09	146	8.34	0.36	0.36	LI22
NGC 6341	13.23	50	7.81	0.86	0.73	RV
NGC 6341	15.52	146	8.26	0.36	0.36	LI22
NGC 6341	18.95	146	8.50	0.36	0.36	LI22
NGC 6341	22.32	146	7.98	0.32	0.32	LI22
NGC 6341	25.43	146	7.70	0.32	0.32	LI22
NGC 6341	28.79	146	7.90	0.32	0.32	LI22
NGC 6341	32.31	146	7.54	0.32	0.32	LI22
NGC 6341	35.45	146	8.02	0.32	0.32	LI22
NGC 6341	39.37	146	7.46	0.32	0.32	LI22
NGC 6341	42.83	146	7.78	0.32	0.32	LI22
NGC 6341	46.91	146	7.46	0.32	0.32	LI22
NGC 6341	50.57	146	7.09	0.28	0.28	LI22
NGC 6341	54.43	50	6.62	0.73	0.62	RV
NGC 6341	55.07	146	6.81	0.28	0.28	LI22
NGC 6341	59.56	146	7.25	0.32	0.32	LI22
NGC 6341	63.67	145	6.93	0.28	0.28	LI22
NGC 6341	66.60	100	6.05	0.48	0.42	VB21
NGC 6341	68.70	145	6.45	0.28	0.28	LI22
NGC 6341	74.56	145	6.97	0.28	0.28	LI22
NGC 6341	80.20	145	6.21	0.28	0.28	LI22
NGC 6341	88.98	145	6.00	0.24	0.24	LI22
NGC 6341	94.99	50	6.14	0.67	0.58	RV
NGC 6341	100.76	145	6.37	0.28	0.28	LI22
NGC 6341	137.85	50	4.94	0.55	0.46	RV
NGC 6341	182.82	50	4.50	0.50	0.43	RV
NGC 6341	183.76	100	5.21	0.42	0.38	VB21
NGC 6341	236.19	50	4.44	0.50	0.42	RV
NGC 6341	321.80	50	3.16	0.36	0.31	RV
NGC 6341	389.89	44	3.03	0.42	0.36	VB21
NGC 6341	570.84	47	3.10	0.38	0.32	RV
NGC 6342	3.24	79	4.48	0.27	0.27	C21
NGC 6342	6.14	83	4.67	0.27	0.27	C21
NGC 6342	8.25	30	5.57	0.89	0.72	RV
NGC 6342	8.50	83	4.60	0.27	0.27	C21
NGC 6342	12.57	192	4.06	0.15	0.15	C21
NGC 6342	17.22	192	3.95	0.15	0.15	C21
NGC 6342	22.99	148	3.84	0.19	0.19	C21
NGC 6342	28.12	148	3.80	0.15	0.15	C21
NGC 6342	29.87	100	4.20	0.42	0.39	VB21
NGC 6342	33.34	22	3.74	0.74	0.59	RV
NGC 6342	33.83	148	3.80	0.15	0.15	C21
NGC 6342	40.23	148	3.49	0.15	0.15	C21
NGC 6342	50.40	148	3.27	0.15	0.15	C21
NGC 6342	65.49	150	3.19	0.15	0.15	C21
NGC 6342	95.25	100	2.64	0.37	0.34	VB21
NGC 6352	11.69	57	3.15	0.24	0.24	LI22
NGC 6352	23.13	148	3.47	0.16	0.16	LI22
NGC 6352	36.71	148	3.34	0.16	0.16	LI22
NGC 6352	51.05	147	3.05	0.13	0.13	LI22
NGC 6352	63.72	147	3.15	0.13	0.13	LI22
NGC 6352	63.74	35	3.86	0.58	0.48	RV
NGC 6352	65.78	200	3.21	0.25	0.23	VB21
NGC 6352	76.89	147	3.36	0.16	0.16	LI22
NGC 6352	95.91	200	2.92	0.23	0.22	VB21
NGC 6352	128.42	200	3.10	0.26	0.24	VB21
NGC 6352	246.08	32	1.57	0.48	0.40	RV
NGC 6355	3.46	24	5.83	0.62	0.62	C21
NGC 6355	7.95	106	5.42	0.29	0.29	C21
NGC 6355	8.45	25	4.71	0.89	0.71	RV
NGC 6355	15.20	327	5.29	0.16	0.16	C21
NGC 6355	22.67	202	5.21	0.21	0.21	C21
NGC 6355	27.54	80	5.83	0.62	0.54	VB21
NGC 6355	27.84	202	5.05	0.21	0.21	C21
NGC 6355	33.83	202	4.96	0.21	0.21	C21
NGC 6355	39.15	23	4.19	0.75	0.58	RV
NGC 6355	40.78	202	4.68	0.16	0.16	C21
NGC 6355	51.74	202	4.64	0.16	0.16	C21
NGC 6355	68.74	205	4.43	0.16	0.16	C21
NGC 6355	122.51	70	3.76	0.50	0.45	VB21
NGC 6356	13.12	27	6.85	1.13	0.90	RV
NGC 6356	106.40	70	7.41	0.78	0.68	VB21
NGC 6356	146.63	27	3.83	0.87	0.73	RV
NGC 6356	175.70	28	4.88	1.02	0.83	VB21
NGC 6362	14.29	80	3.90	0.36	0.32	RV
NGC 6362	16.63	110	3.59	0.18	0.18	LI22
NGC 6362	25.30	80	3.18	0.33	0.29	RV
NGC 6362	31.36	110	3.37	0.18	0.18	LI22
NGC 6362	32.90	80	3.71	0.35	0.31	RV
NGC 6362	41.01	110	3.59	0.18	0.18	LI22
NGC 6362	49.85	110	3.41	0.18	0.18	LI22
NGC 6362	55.98		4.29	0.45	0.40	D21
NGC 6362	56.85	109	3.52	0.18	0.18	LI22
NGC 6362	60.02	80	4.05	0.36	0.32	RV
NGC 6362	64.00	109	3.37	0.18	0.18	LI22
NGC 6362	72.29	109	3.19	0.18	0.18	LI22
NGC 6362	72.30		4.21	0.43	0.38	D21
NGC 6362	78.97	109	3.44	0.18	0.18	LI22
NGC 6362	79.68		3.88	0.39	0.34	D21
NGC 6362	84.54		3.71	0.47	0.42	D21
NGC 6362	87.67	109	3.34	0.18	0.18	LI22
NGC 6362	88.14		3.68	0.36	0.33	D21
NGC 6362	90.02	250	3.74	0.20	0.19	VB21
NGC 6362	97.45	109	3.55	0.18	0.18	LI22
NGC 6362	106.33	80	3.15	0.29	0.26	RV
NGC 6362	151.45	250	2.93	0.17	0.16	VB21
NGC 6362	177.13	80	2.68	0.25	0.22	RV
NGC 6362	211.74	250	3.08	0.18	0.16	VB21
NGC 6362	297.28	80	2.56	0.24	0.21	RV
NGC 6362	306.97	198	2.43	0.16	0.15	VB21
NGC 6362	451.18	12	1.82	0.57	0.40	RV
NGC 6366	35.80	95	2.30	0.13	0.13	LI22
NGC 6366	56.84	200	2.23	0.16	0.14	VB21
NGC 6366	61.11	95	2.40	0.15	0.15	LI22
NGC 6366	83.46	95	2.53	0.15	0.15	LI22
NGC 6366	84.77	80	2.03	0.22	0.20	RV
NGC 6366	115.99	200	2.41	0.16	0.15	VB21
NGC 6366	163.86	200	2.00	0.14	0.13	VB21
NGC 6366	184.60	80	2.23	0.22	0.20	RV
NGC 6366	226.49	200	2.11	0.15	0.14	VB21
NGC 6366	298.39	200	1.93	0.15	0.13	VB21
NGC 6366	342.84	72	2.17	0.24	0.21	RV
NGC 6366	438.90	170	1.79	0.15	0.14	VB21
NGC 6380	2.15	39	8.11	0.73	0.73	C21
NGC 6380	4.02	57	8.74	0.59	0.59	C21
NGC 6380	7.82	25	7.67	1.31	1.05	RV
NGC 6380	8.11	254	8.93	0.32	0.32	C21
NGC 6380	15.49	912	8.38	0.18	0.18	C21
NGC 6380	18.97	25	6.23	1.13	0.91	RV
NGC 6380	21.46	289	7.88	0.23	0.23	C21
NGC 6380	24.41	289	7.97	0.23	0.23	C21
NGC 6380	27.12	289	7.92	0.23	0.23	C21
NGC 6380	29.94	289	7.88	0.23	0.23	C21
NGC 6380	32.59	289	7.83	0.23	0.23	C21
NGC 6380	35.23	289	7.61	0.23	0.23	C21
NGC 6380	38.38	289	7.61	0.23	0.23	C21
NGC 6380	41.70	289	7.97	0.23	0.23	C21
NGC 6380	42.87	120	8.11	0.66	0.60	VB21
NGC 6380	45.67	289	7.47	0.23	0.23	C21
NGC 6380	50.06	289	7.42	0.23	0.23	C21
NGC 6380	54.77	289	7.33	0.23	0.23	C21
NGC 6380	61.23	289	7.33	0.23	0.23	C21
NGC 6380	69.32	289	7.06	0.23	0.23	C21
NGC 6380	77.83	289	6.79	0.23	0.23	C21
NGC 6380	97.99	299	6.19	0.18	0.18	C21
NGC 6380	134.96	56	5.06	0.69	0.60	VB21
NGC 6380	139.89	20	5.42	1.07	0.82	RV
NGC 6388	0.89		23.30	5.20	5.20	L15
NGC 6388	1.82		25.70	4.00	4.00	L15
NGC 6388	2.69		24.00	2.90	2.90	L15
NGC 6388	3.63		22.20	2.00	2.00	L15
NGC 6388	4.47		20.50	1.90	1.90	L15
NGC 6388	6.03		18.60	1.50	1.50	L15
NGC 6388	6.47	48	17.10	1.27	1.27	LI22
NGC 6388	7.60	300	17.86	0.77	0.71	RV
NGC 6388	10.96		16.80	2.90	2.90	L15
NGC 6388	13.31	300	17.68	0.75	0.70	RV
NGC 6388	16.63	300	15.41	0.66	0.62	RV
NGC 6388	17.54	398	16.20	0.42	0.42	LI22
NGC 6388	18.20		13.60	2.90	2.90	L15
NGC 6388	19.52	300	15.13	0.65	0.61	RV
NGC 6388	22.48	300	15.23	0.65	0.62	RV
NGC 6388	23.18	398	15.15	0.42	0.42	LI22
NGC 6388	25.15	300	15.84	0.68	0.64	RV
NGC 6388	26.58	398	15.36	0.42	0.42	LI22
NGC 6388	28.03	300	15.24	0.66	0.61	RV
NGC 6388	29.48	398	14.93	0.42	0.42	LI22
NGC 6388	30.92	300	14.62	0.63	0.59	RV
NGC 6388	31.84	398	15.15	0.42	0.42	LI22
NGC 6388	33.78	300	14.73	0.64	0.59	RV
NGC 6388	34.03	398	14.35	0.37	0.37	LI22
NGC 6388	36.27	398	14.25	0.37	0.37	LI22
NGC 6388	37.11	300	13.41	0.58	0.54	RV
NGC 6388	38.25	398	14.25	0.37	0.37	LI22
NGC 6388	40.31	398	13.93	0.37	0.37	LI22
NGC 6388	41.03	300	13.26	0.57	0.54	RV
NGC 6388	42.52	398	13.24	0.37	0.37	LI22
NGC 6388	44.50	398	13.24	0.37	0.37	LI22
NGC 6388	46.42	398	13.87	0.37	0.37	LI22
NGC 6388	47.52	300	13.79	0.59	0.55	RV
NGC 6388	48.52	398	13.61	0.37	0.37	LI22
NGC 6388	50.55	398	12.92	0.37	0.37	LI22
NGC 6388	52.54	398	12.97	0.37	0.37	LI22
NGC 6388	54.60	398	13.13	0.37	0.37	LI22
NGC 6388	55.06	300	13.23	0.57	0.53	RV
NGC 6388	56.79	398	13.08	0.37	0.37	LI22
NGC 6388	58.99	398	12.29	0.32	0.32	LI22
NGC 6388	61.18	398	12.39	0.32	0.32	LI22
NGC 6388	63.32	398	12.34	0.32	0.32	LI22
NGC 6388	65.78	398	12.44	0.32	0.32	LI22
NGC 6388	67.49	100	11.85	0.91	0.80	RV
NGC 6388	68.26	398	12.34	0.32	0.32	LI22
NGC 6388	70.87	398	11.81	0.32	0.32	LI22
NGC 6388	73.91	398	11.70	0.32	0.32	LI22
NGC 6388	77.08	397	11.76	0.32	0.32	LI22
NGC 6388	80.48	397	11.76	0.32	0.32	LI22
NGC 6388	84.72	397	11.44	0.32	0.32	LI22
NGC 6388	89.98	397	10.70	0.26	0.26	LI22
NGC 6388	94.32	100	10.92	0.82	0.73	RV
NGC 6388	97.32	397	11.28	0.32	0.32	LI22
NGC 6388	108.86	397	10.86	0.32	0.32	LI22
NGC 6388	132.76	190	10.13	0.60	0.55	VB21
NGC 6388	138.45	100	8.39	0.63	0.56	RV
NGC 6388	181.38	190	9.58	0.58	0.53	VB21
NGC 6388	200.86	100	8.48	0.64	0.57	RV
NGC 6388	239.96	190	8.28	0.52	0.47	VB21
NGC 6388	331.13	140	6.65	0.51	0.47	VB21
NGC 6388	348.42	88	5.71	0.46	0.41	RV
NGC 6397	6.20	42	5.39	0.42	0.42	LI22
NGC 6397	7.17	200	5.74	0.33	0.30	RV
NGC 6397	15.11	200	5.51	0.31	0.29	RV
NGC 6397	20.34	96	5.14	0.27	0.27	LI22
NGC 6397	21.11	200	5.50	0.31	0.29	RV
NGC 6397	28.51	200	5.48	0.31	0.29	RV
NGC 6397	37.04	96	5.24	0.28	0.28	LI22
NGC 6397	37.13	200	4.96	0.29	0.26	RV
NGC 6397	50.63	96	5.25	0.28	0.28	LI22
NGC 6397	55.43	200	5.02	0.28	0.26	RV
NGC 6397	63.60	96	4.49	0.24	0.24	LI22
NGC 6397	80.97	96	5.42	0.28	0.28	LI22
NGC 6397	87.11	200	4.65	0.25	0.24	RV
NGC 6397	98.86	95	4.17	0.24	0.24	LI22
NGC 6397	119.11	450	4.54	0.16	0.15	VB21
NGC 6397	119.40	200	4.02	0.22	0.21	RV
NGC 6397	150.05	200	4.02	0.22	0.21	RV
NGC 6397	175.71	450	4.23	0.15	0.14	VB21
NGC 6397	186.23	200	3.99	0.21	0.20	RV
NGC 6397	223.82	450	4.05	0.15	0.14	VB21
NGC 6397	227.78	200	3.70	0.20	0.19	RV
NGC 6397	270.32	200	3.62	0.20	0.19	RV
NGC 6397	272.82	450	3.79	0.14	0.13	VB21
NGC 6397	318.22	200	3.64	0.20	0.18	RV
NGC 6397	323.04	450	3.51	0.13	0.12	VB21
NGC 6397	365.37	200	3.31	0.18	0.17	RV
NGC 6397	379.31	450	3.27	0.12	0.12	VB21
NGC 6397	404.01	100	3.40	0.27	0.24	RV
NGC 6397	435.81	100	3.64	0.29	0.25	RV
NGC 6397	448.95	450	3.43	0.13	0.12	VB21
NGC 6397	466.92	100	3.27	0.26	0.23	RV
NGC 6397	499.01	100	2.82	0.23	0.20	RV
NGC 6397	529.80	450	3.20	0.12	0.11	VB21
NGC 6397	544.50	100	2.98	0.24	0.21	RV
NGC 6397	610.33	100	2.77	0.22	0.20	RV
NGC 6397	675.77	200	2.94	0.16	0.15	VB21
NGC 6397	993.77	67	2.37	0.25	0.22	RV
NGC 6401	2.00	24	6.00	0.63	0.63	C21
NGC 6401	4.26	31	5.89	0.56	0.56	C21
NGC 6401	6.45	83	6.17	0.39	0.39	C21
NGC 6401	8.75	83	5.96	0.35	0.35	C21
NGC 6401	12.64	252	6.07	0.18	0.18	C21
NGC 6401	17.54	252	5.89	0.18	0.18	C21
NGC 6401	22.86	320	5.57	0.18	0.18	C21
NGC 6401	28.52	320	5.71	0.14	0.14	C21
NGC 6401	34.87	320	5.61	0.14	0.14	C21
NGC 6401	41.20	320	5.22	0.14	0.14	C21
NGC 6401	43.58	120	4.97	0.49	0.45	VB21
NGC 6401	49.36	320	5.29	0.14	0.14	C21
NGC 6401	51.82	25	6.32	1.07	0.85	RV
NGC 6401	58.51	320	5.26	0.14	0.14	C21
NGC 6401	72.78	320	4.80	0.14	0.14	C21
NGC 6401	92.14	323	4.34	0.14	0.14	C21
NGC 6401	96.33	120	4.51	0.48	0.44	VB21
NGC 6401	165.23	62	3.39	0.51	0.44	VB21
NGC 6402	50.92	55	8.79	0.92	0.78	RV
NGC 6402	88.24	55	7.66	0.80	0.68	RV
NGC 6402	119.97	55	7.20	0.75	0.65	RV
NGC 6402	125.89	180	6.97	0.42	0.39	VB21
NGC 6402	161.03	55	7.14	0.74	0.64	RV
NGC 6402	161.13	180	6.50	0.41	0.38	VB21
NGC 6402	191.46	180	6.32	0.42	0.39	VB21
NGC 6402	245.24	55	5.61	0.59	0.50	RV
NGC 6402	245.31	180	5.80	0.38	0.35	VB21
NGC 6402	424.01	27	4.25	0.67	0.53	RV
NGC 6426	39.66	100	2.58	0.76	0.72	VB21
NGC 6426	87.37	33	1.98	0.45	0.36	RV
NGC 6440	10.65	50	13.39	1.50	1.27	RV
NGC 6440	13.72	50	13.82	1.55	1.32	RV
NGC 6440	27.98	50	11.83	1.32	1.13	RV
NGC 6440	85.25	100	9.37	0.79	0.71	VB21
NGC 6440	87.87	50	9.06	1.03	0.88	RV
NGC 6440	133.57	49	7.64	1.00	0.85	VB21
NGC 6440	177.16	20	4.21	0.78	0.59	RV
NGC 6441	0.76		19.07	2.05	2.05	H21
NGC 6441	1.86		18.40	0.91	0.91	H21
NGC 6441	2.98		19.37	0.97	0.97	H21
NGC 6441	3.91		21.06	1.09	1.09	H21
NGC 6441	4.62		18.83	0.91	0.91	H21
NGC 6441	5.44		16.77	0.91	0.91	H21
NGC 6441	6.16		19.07	1.03	1.03	H21
NGC 6441	7.01		18.22	0.97	0.97	H21
NGC 6441	7.07	49	15.81	1.21	1.21	LI22
NGC 6441	7.09	400	16.98	0.63	0.59	RV
NGC 6441	7.68		19.79	1.03	1.03	H21
NGC 6441	8.29		17.32	0.91	0.91	H21
NGC 6441	8.95		17.38	0.91	0.91	H21
NGC 6441	9.98		17.98	0.97	0.97	H21
NGC 6441	11.75		17.32	0.97	0.97	H21
NGC 6441	12.97	400	18.13	0.67	0.63	RV
NGC 6441	16.11	110	15.51	0.78	0.78	LI22
NGC 6441	17.01	400	16.23	0.61	0.56	RV
NGC 6441	20.94	400	16.29	0.60	0.56	RV
NGC 6441	23.76	230	15.51	0.54	0.54	LI22
NGC 6441	25.41	400	17.00	0.62	0.59	RV
NGC 6441	28.65	230	14.72	0.54	0.54	LI22
NGC 6441	30.13	400	16.30	0.60	0.57	RV
NGC 6441	32.26	230	15.27	0.54	0.54	LI22
NGC 6441	35.14	400	16.18	0.60	0.56	RV
NGC 6441	35.17	230	14.48	0.48	0.48	LI22
NGC 6441	37.92	230	14.54	0.54	0.54	LI22
NGC 6441	40.42	230	14.48	0.54	0.54	LI22
NGC 6441	41.12	400	13.89	0.52	0.48	RV
NGC 6441	42.97	230	14.42	0.48	0.48	LI22
NGC 6441	45.43	230	13.46	0.48	0.48	LI22
NGC 6441	47.84	230	13.64	0.48	0.48	LI22
NGC 6441	49.10	400	14.04	0.52	0.49	RV
NGC 6441	50.00	230	13.94	0.48	0.48	LI22
NGC 6441	52.55	230	13.33	0.48	0.48	LI22
NGC 6441	54.98	230	12.97	0.42	0.42	LI22
NGC 6441	55.91	100	12.64	0.96	0.86	RV
NGC 6441	57.26	230	13.15	0.48	0.48	LI22
NGC 6441	59.81	230	12.61	0.42	0.42	LI22
NGC 6441	61.19	100	13.37	1.01	0.91	RV
NGC 6441	62.22	230	12.19	0.42	0.42	LI22
NGC 6441	64.89	230	12.37	0.42	0.42	LI22
NGC 6441	67.62	230	13.09	0.48	0.48	LI22
NGC 6441	70.55	230	12.91	0.42	0.42	LI22
NGC 6441	73.81	230	11.77	0.42	0.42	LI22
NGC 6441	77.59	230	13.03	0.48	0.48	LI22
NGC 6441	81.81	230	12.25	0.42	0.42	LI22
NGC 6441	86.44	230	12.73	0.48	0.48	LI22
NGC 6441	91.48	230	11.40	0.42	0.42	LI22
NGC 6441	91.54	100	10.70	0.82	0.73	RV
NGC 6441	99.17	230	12.19	0.42	0.42	LI22
NGC 6441	110.14	230	12.61	0.42	0.42	LI22
NGC 6441	128.85	66	10.44	1.05	0.91	VB21
NGC 6441	171.68	22	7.63	1.34	1.04	RV
NGC 6453	3.81	29	7.35	0.76	0.76	C21
NGC 6453	6.02	81	7.21	0.43	0.43	C21
NGC 6453	8.48	81	7.30	0.43	0.43	C21
NGC 6453	8.94	21	5.90	1.16	0.90	RV
NGC 6453	12.54	226	7.11	0.24	0.24	C21
NGC 6453	17.57	226	6.68	0.24	0.24	C21
NGC 6453	21.65	180	6.92	0.29	0.29	C21
NGC 6453	25.14	180	6.21	0.29	0.29	C21
NGC 6453	28.54	180	6.21	0.24	0.24	C21
NGC 6453	32.08	180	6.06	0.24	0.24	C21
NGC 6453	35.69	180	5.87	0.24	0.24	C21
NGC 6453	40.96	180	5.82	0.24	0.24	C21
NGC 6453	46.30	180	6.06	0.24	0.24	C21
NGC 6453	53.49	180	5.35	0.24	0.24	C21
NGC 6453	63.32	180	4.96	0.19	0.19	C21
NGC 6453	78.24	181	4.73	0.19	0.19	C21
NGC 6496	33.46	47	3.13	0.58	0.48	RV
NGC 6496	63.59	125	2.82	0.29	0.27	VB21
NGC 6496	64.62	47	2.73	0.43	0.35	RV
NGC 6496	103.62	47	2.56	0.36	0.30	RV
NGC 6496	109.94	125	2.40	0.33	0.31	VB21
NGC 6496	158.59	47	1.97	0.28	0.24	RV
NGC 6496	179.29	70	2.04	0.38	0.36	VB21
NGC 6496	302.74	15	1.53	0.45	0.34	RV
NGC 6517	8.04	14	8.57	2.01	1.47	RV
NGC 6517	37.35	180	6.92	0.55	0.51	VB21
NGC 6517	112.01	13	4.45	1.75	1.36	RV
NGC 6517	113.08	174	5.11	0.50	0.46	VB21
NGC 6522	6.86	100	8.38	0.68	0.60	RV
NGC 6522	13.02	100	9.06	0.72	0.64	RV
NGC 6522	16.94	100	7.64	0.63	0.57	RV
NGC 6522	21.03	100	8.95	0.80	0.71	RV
NGC 6522	25.46	100	8.37	0.68	0.61	RV
NGC 6522	29.57	100	8.22	0.68	0.61	RV
NGC 6522	42.93	100	6.84	0.56	0.50	RV
NGC 6522	118.95	18	4.22	0.83	0.63	RV
NGC 6522	123.74	60	4.85	0.61	0.53	VB21
NGC 6528	7.13	71	4.08	0.43	0.37	RV
NGC 6528	14.94	71	4.47	0.46	0.41	RV
NGC 6528	22.35	71	4.83	0.49	0.42	RV
NGC 6528	38.04	73	4.28	0.42	0.37	RV
NGC 6528	75.78	30	4.57	0.79	0.65	VB21
NGC 6535	9.09	39	3.59	0.33	0.33	LI22
NGC 6535	26.31	39	2.62	0.27	0.27	LI22
NGC 6535	46.45	39	2.08	0.21	0.21	LI22
NGC 6535	50.14	19	2.07	0.40	0.31	RV
NGC 6535	62.48	112	2.08	0.23	0.21	VB21
NGC 6535	71.13	39	1.99	0.21	0.21	LI22
NGC 6535	157.84	10	1.69	0.50	0.35	RV
NGC 6539	42.22	200	5.76	0.41	0.39	VB21
NGC 6539	45.86	43	5.75	0.71	0.59	RV
NGC 6539	82.56	200	4.96	0.40	0.37	VB21
NGC 6539	107.41	43	4.73	0.59	0.49	RV
NGC 6539	145.67	128	4.48	0.43	0.40	VB21
NGC 6539	248.46	37	3.75	0.51	0.42	RV
NGC 6540	19.47	18	2.79	0.61	0.46	RV
NGC 6540	101.56	8	2.02	0.98	0.59	VB21
NGC 6541	3.75	93	9.05	0.47	0.47	LI22
NGC 6541	7.44	182	9.09	0.32	0.32	LI22
NGC 6541	8.32	400	9.00	0.35	0.33	RV
NGC 6541	10.75	182	8.66	0.32	0.32	LI22
NGC 6541	13.63	182	8.51	0.32	0.32	LI22
NGC 6541	16.05	400	7.71	0.31	0.29	RV
NGC 6541	16.76	182	8.44	0.32	0.32	LI22
NGC 6541	19.85	182	7.86	0.29	0.29	LI22
NGC 6541	21.96	400	7.23	0.29	0.28	RV
